week_end,n_days,tone_mean,tone_z_mean,vol_mean
2021-07-11,7,-0.8004,0.1571,0.0558
2021-07-18,7,-0.6701,0.4294,0.0472
2021-07-25,7,-0.6799,0.4089,0.0528
2021-08-01,7,-0.4803,0.8262,0.0588
2021-08-08,7,-0.6054,0.5647,0.0571
2021-08-15,7,-0.7674,0.2261,0.0595
2021-08-22,7,-0.5842,0.609,0.0626
2021-08-29,7,-0.3351,1.1296,0.0621
2021-09-05,7,-0.3215,1.158,0.063
2021-09-12,7,-0.4029,0.9879,0.0604
2021-09-19,7,-0.5401,0.7011,0.0545
2021-09-26,7,-0.4912,0.8034,0.0584
2021-10-03,7,-0.6537,0.4638,0.0635
2021-10-10,7,-0.5731,0.6323,0.0692
2021-10-17,7,-0.5487,0.6832,0.0651
2021-10-24,7,-0.6071,0.561,0.0609
2021-10-31,7,-0.5588,0.662,0.0633
2021-11-07,7,-0.7373,0.289,0.0497
2021-11-14,7,-0.8949,-0.0405,0.053
2021-11-21,7,-0.5545,0.671,0.0675
2021-11-28,7,-0.5964,0.5835,0.0598
2021-12-05,7,-0.4894,0.8072,0.0647
2021-12-12,7,-0.4006,0.9928,0.0764
2021-12-19,7,-0.6019,0.572,0.0641
2021-12-26,7,-0.4766,0.834,0.0882
2022-01-02,7,-0.5719,0.6347,0.0741
2022-01-09,7,-1.1413,-0.5552,0.0448
2022-01-16,7,-0.6768,0.4153,0.0591
2022-01-23,7,-0.6991,0.369,0.0709
2022-01-30,7,-0.9791,-0.2164,0.0768
2022-02-06,7,-0.9279,-0.1093,0.0801
2022-02-13,7,-0.6516,0.4682,0.0713
2022-02-20,7,-0.9391,-0.1328,0.0906
2022-02-27,7,-1.5076,-1.321,0.1318
2022-03-06,7,-1.5597,-1.4298,0.2229
2022-03-13,7,-1.5494,-1.4083,0.1929
2022-03-20,7,-1.5366,-1.3816,0.2059
2022-03-27,7,-1.236,-0.7532,0.1502
2022-04-03,7,-1.1679,-0.611,0.1588
2022-04-10,7,-1.148,-0.5693,0.1487
2022-04-17,7,-1.198,-0.6739,0.1385
2022-04-24,7,-1.1236,-0.5184,0.1283
2022-05-01,7,-0.8926,-0.0355,0.132
2022-05-08,7,-1.1746,-0.625,0.1234
2022-05-15,7,-1.3755,-1.0449,0.1045
2022-05-22,7,-1.2281,-0.7367,0.1024
2022-05-29,7,-1.2751,-0.835,0.1103
2022-06-05,7,-1.0272,-0.3169,0.1116
2022-06-12,7,-0.9805,-0.2192,0.0941
2022-06-19,7,-1.0649,-0.3956,0.1096
2022-06-26,7,-1.1882,-0.6534,0.1072
2022-07-03,7,-1.1276,-0.5268,0.1015
2022-07-10,7,-1.1031,-0.4755,0.132
2022-07-17,7,-1.1806,-0.6375,0.0882
2022-07-24,7,-0.8778,-0.0046,0.09
2022-07-31,7,-1.3106,-0.9092,0.0981
2022-08-07,7,-1.5607,-1.4318,0.092
2022-08-14,7,-1.2157,-0.7108,0.0849
2022-08-21,7,-1.2393,-0.7602,0.0861
2022-08-28,7,-1.2588,-0.8009,0.0793
2022-09-04,7,-1.0418,-0.3473,0.0754
2022-09-11,7,-0.6944,0.3787,0.0873
2022-09-18,7,-1.0659,-0.3979,0.0845
2022-09-25,7,-1.2176,-0.7149,0.1165
2022-10-02,7,-1.4429,-1.1857,0.1006
2022-10-09,7,-1.0415,-0.3467,0.0909
2022-10-16,7,-1.2886,-0.8633,0.115
2022-10-23,7,-1.3471,-0.9856,0.1081
2022-10-30,7,-1.2844,-0.8544,0.1019
2022-11-06,7,-1.2848,-0.8553,0.0906
2022-11-13,7,-1.2484,-0.7791,0.086
2022-11-20,7,-1.1381,-0.5487,0.0957
2022-11-27,7,-0.9169,-0.0865,0.0793
2022-12-04,7,-1.064,-0.3937,0.0975
2022-12-11,7,-1.0825,-0.4325,0.1021
2022-12-18,7,-1.0186,-0.2989,0.1129
2022-12-25,7,-1.1081,-0.4861,0.1255
2023-01-01,7,-1.1881,-0.6531,0.1315
2023-01-08,7,-1.3826,-1.0596,0.1497
2023-01-15,7,-1.3406,-0.9719,0.6804
2023-01-22,7,-1.3797,-1.0536,0.7271
2023-01-29,7,-1.419,-1.1357,0.7685
2023-02-05,7,-1.4189,-1.1356,0.7366
2023-02-12,7,-1.4675,-1.2372,0.6917
2023-02-19,7,-1.4348,-1.1688,0.7126
2023-02-26,7,-1.5092,-1.3242,0.6427
2023-03-05,7,-1.4574,-1.216,0.5529
2023-03-12,7,-1.5563,-1.4228,0.593
2023-03-19,7,-1.6143,-1.544,0.6141
2023-03-26,6,-1.6269,-1.5703,0.3556
2023-04-02,7,-1.5491,-1.4076,0.402
2023-04-09,7,-1.6204,-1.5567,0.4559
2023-04-16,7,-1.7325,-1.7909,0.5223
2023-04-23,7,-0.7901,0.1786,0.0835
2023-04-30,7,-0.5454,0.69,0.068
2023-05-07,7,-0.7405,0.2823,0.0535
2023-05-14,7,-1.0769,-0.4207,0.051
2023-05-21,7,-0.6153,0.544,0.0575
2023-05-28,7,-0.8418,0.0705,0.0678
2023-06-04,7,-0.7502,0.2621,0.0644
2023-06-11,7,-1.0261,-0.3147,0.0615
2023-06-18,7,-0.4794,0.8279,0.058
2023-06-25,7,-0.5924,0.5918,0.0572
2023-07-02,7,-0.9126,-0.0773,0.0619
2023-07-09,7,-0.4877,0.8107,0.0603
2023-07-16,7,-0.5015,0.7817,0.0577
2023-07-23,7,-0.5868,0.6035,0.0616
2023-07-30,7,-0.8807,-0.0106,0.0582
2023-08-06,7,-0.9849,-0.2285,0.0559
2023-08-13,7,-0.8669,0.0181,0.0626
2023-08-20,7,-0.7554,0.2511,0.0656
2023-08-27,7,-0.8808,-0.0109,0.0617
2023-09-03,7,-0.6222,0.5296,0.0569
2023-09-10,7,-0.3706,1.0553,0.0656
2023-09-17,7,-0.327,1.1465,0.0651
2023-09-24,7,-0.7035,0.3596,0.0576
2023-10-01,7,-0.8744,0.0026,0.0641
2023-10-08,7,-0.9343,-0.1227,0.0557
2023-10-15,7,-1.1151,-0.5005,0.0514
2023-10-22,7,-0.8194,0.1175,0.0517
2023-10-29,7,-0.7629,0.2355,0.0654
2023-11-05,7,-0.6997,0.3676,0.059
2023-11-12,7,-0.4398,0.9108,0.0555
2023-11-19,7,-0.7168,0.3318,0.0579
2023-11-26,7,-0.4551,0.8788,0.0556
2023-12-03,7,-0.6448,0.4824,0.0505
2023-12-10,7,-0.7497,0.2631,0.06
2023-12-17,7,-0.3838,1.0278,0.0672
2023-12-24,7,-0.671,0.4275,0.06
2023-12-31,7,-0.8312,0.0927,0.0795
2024-01-07,7,-1.2792,-0.8435,0.0445
2024-01-14,7,-0.8822,-0.0139,0.05
2024-01-21,7,-0.5947,0.5871,0.0567
2024-01-28,7,-0.5404,0.7006,0.0566
2024-02-04,7,-0.6573,0.4561,0.0596
2024-02-11,7,-0.5839,0.6096,0.0521
2024-02-18,7,-0.7107,0.3446,0.0596
2024-02-25,7,-1.0654,-0.3967,0.06
2024-03-03,7,-0.445,0.8998,0.0636
2024-03-10,7,-0.3485,1.1015,0.0584
2024-03-17,7,-0.4237,0.9444,0.0606
2024-03-24,7,-1.3937,-1.0829,0.0622
2024-03-31,7,-1.062,-0.3896,0.0523
2024-04-07,7,-0.8046,0.1484,0.0588
2024-04-14,7,-0.9039,-0.0591,0.0606
2024-04-21,7,-1.0469,-0.3581,0.0548
2024-04-28,7,-1.098,-0.4649,0.0673
2024-05-05,7,-0.8628,0.0269,0.0395
2024-05-12,7,-0.5866,0.604,0.0466
2024-05-19,7,-0.7535,0.2552,0.0632
2024-05-26,7,-0.593,0.5907,0.0541
2024-06-02,7,-0.5914,0.594,0.056
2024-06-09,7,-0.365,1.0672,0.053
2024-06-16,7,-0.7832,0.1931,0.053
2024-06-23,7,-0.6465,0.4788,0.0536
2024-06-30,7,-0.7647,0.2318,0.0502
2024-07-07,7,-0.0296,1.7682,0.0616
2024-07-14,7,-0.3293,1.1417,0.0572
2024-07-21,7,-0.5603,0.659,0.0523
2024-07-28,7,-0.6166,0.5412,0.0514
2024-08-04,7,-0.7386,0.2862,0.0488
2024-08-11,7,-0.7165,0.3326,0.0565
2024-08-18,7,-0.9139,-0.0799,0.0564
2024-08-25,7,-0.7351,0.2936,0.0587
2024-09-01,7,-0.7548,0.2525,0.0541
2024-09-08,7,-0.4936,0.7984,0.0578
2024-09-15,7,-0.8403,0.0737,0.0563
2024-09-22,7,-0.7387,0.2861,0.0604
2024-09-29,7,-0.2096,1.392,0.0546
2024-10-06,7,-0.4321,0.9269,0.0507
2024-10-13,7,-0.6353,0.5021,0.0511
2024-10-20,7,-0.4019,0.9901,0.0504
2024-10-27,7,-0.6881,0.3918,0.0597
2024-11-03,7,-0.8636,0.025,0.0591
2024-11-10,7,-1.0541,-0.3731,0.0699
2024-11-17,7,-0.5428,0.6955,0.0655
2024-11-24,7,-0.8693,0.0132,0.0659
2024-12-01,7,-0.9008,-0.0527,0.0602
2024-12-08,7,-0.6737,0.4219,0.0657
2024-12-15,7,-0.6347,0.5035,0.0661
2024-12-22,7,-0.6615,0.4474,0.0755
2024-12-29,7,-0.373,1.0505,0.0784
2025-01-05,7,-0.9571,-0.1703,0.0425
2025-01-12,7,-1.0206,-0.303,0.0451
2025-01-19,7,-1.1238,-0.5188,0.056
2025-01-26,7,-0.7576,0.2465,0.0553
2025-02-02,7,-0.7047,0.3571,0.0459
2025-02-09,7,-1.0354,-0.334,0.0558
2025-02-16,7,-0.8256,0.1044,0.0624
2025-02-23,7,-0.9637,-0.1841,0.0714
2025-03-02,7,-0.2807,1.2434,0.0659
2025-03-09,7,-0.6058,0.5638,0.0715
2025-03-16,7,-0.7355,0.2928,0.0606
2025-03-23,7,-0.7598,0.242,0.0621
2025-03-30,7,-0.473,0.8413,0.0631
2025-04-06,7,-0.9323,-0.1185,0.0605
2025-04-13,7,-0.9495,-0.1545,0.0539
2025-04-20,7,-0.7788,0.2023,0.0683
2025-04-27,7,-0.6358,0.5012,0.0609
2025-05-04,7,-0.7487,0.2652,0.0523
2025-05-11,7,-0.7873,0.1845,0.0391
2025-05-18,7,-0.491,0.8039,0.0554
