GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71
Томская область;3 015;14;0;129;0;31 500;594;15;2 880;3 206;914;573;610;165;60;6;36;2;3;2 254;564;1 052;5 048;562;3 444;2 836;6 251;502;213;23 959;278;89;0;0;3;7;127;87;15;1 754;5 098;3 858;5 522;21 304;3 251;3 676;643;1;6;3;7 259;5 645;1 675;17 665;3 638;40 414;57 249;268;621;171 354;246;1 151;0;0;17;250;1 013;691;3 775;114;0;10 678
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;24 084;240;2;990;2;251 079;7 318;174;17 749;30 597;6 237;3 777;4 408;1 023;403;48;235;61;93;14 533;5 092;7 261;35 337;6 431;19 041;26 191;58 554;2 340;1 006;175 191;3 609;1 211;21;23;12;26;820;929;170;19 449;57 285;26 442;50 190;159 212;24 560;24 959;5 798;4;14;143;59 783;77 187;10 360;130 728;41 826;220 166;584 836;1 486;2 977;1 435 258;4 270;27 386;72;2 892;103;882;9 132;90 718;28 718;18 912;186;78 697
Республика Бурятия;2 462;2;0;49;0;19 240;332;3;2 194;2 300;373;222;215;37;21;1;21;18;7;1 636;153;695;3 214;425;1 225;1 292;3 372;118;31;13 746;137;54;2;1;1;8;35;37;6;1 707;4 989;1 525;1 893;5 532;628;741;6;2;5;8;4 408;1 542;812;12 072;2 476;10 583;23 391;26;33;70 127;45;555;2;0;0;167;366;274;9;12;0;3 296
Республика Саха (Якутия);3 667;84;0;99;0;37 920;1 180;24;2 124;5 404;801;437;574;74;20;2;41;9;3;2 017;616;531;4 079;754;3 964;5 004;8 485;424;93;24 439;466;322;0;1;0;0;196;127;21;1 511;9 048;1 718;2 860;10 746;1 079;578;77;1;2;6;11 593;9 640;1 047;19 633;6 705;57 632;139 635;94;68;277 592;211;1 633;0;6;8;0;1 704;726;5 402;5 045;0;6 565
Приморский край;4 589;51;1;233;0;42 278;1 032;25;2 750;6 152;1 500;894;1 096;349;140;16;43;13;32;2 269;1 320;1 195;6 354;1 151;2 571;4 413;8 748;121;47;31 978;392;207;12;11;1;10;104;282;25;1 362;8 224;5 899;7 840;44 514;9 777;10 522;2 463;0;1;54;3 744;9 026;1 148;17 419;5 836;18 354;79 952;68;101;206 367;740;13 233;58;1 762;30;303;3 133;69 426;7 539;2 496;186;26 178
Хабаровский край;3 312;36;1;131;0;39 458;1 842;37;2 113;4 895;1 243;711;861;210;105;12;28;2;11;1 802;1 203;1 194;5 499;1 199;2 652;4 716;8 708;387;124;28 023;917;240;0;5;1;1;249;182;37;2 082;9 437;5 806;9 393;35 872;4 797;5 494;1 587;0;0;14;13 105;27 755;2 328;26 375;9 490;35 945;99 383;423;306;276 765;374;3 504;0;207;2;23;1 499;5 350;5 179;3 437;0;11 789
Амурская область;2 403;0;0;141;0;28 387;325;13;2 538;2 940;537;292;387;87;24;8;28;3;3;1 744;350;949;4 280;743;2 308;2 666;6 966;109;29;19 763;149;74;0;2;0;2;58;31;11;3 015;7 112;2 521;4 536;16 890;2 738;1 758;22;0;1;4;6 067;5 002;1 094;13 016;3 356;30 819;68 849;92;109;158 557;294;1 737;6;67;0;210;680;824;1 070;0;0;13 424
Камчатский край;1 337;0;0;39;0;12 476;1 182;14;810;1 350;356;211;252;25;28;4;5;7;10;580;260;351;1 748;319;906;883;3 450;447;331;8 042;743;117;1;1;0;0;111;88;14;667;4 954;2 587;11 922;13 418;1 084;1 997;790;0;5;17;3 121;5 474;645;8 545;2 663;12 501;20 290;312;1 323;79 267;1 423;3 053;2;30;0;0;1 217;5 615;2 207;0;0;1 909
Магаданская область;762;15;0;56;2;11 659;222;25;496;1 101;212;157;236;42;11;0;4;2;0;389;198;287;1 239;255;856;1 562;3 771;124;78;6 993;149;34;0;0;0;0;20;18;23;5 883;1 364;524;809;3 498;560;270;0;0;0;0;1 054;2 119;556;5 799;2 135;11 822;33 414;72;185;69 218;208;563;0;0;0;0;38;357;3 425;3 064;0;5 490
Сахалинская область;2 083;23;0;96;0;23 533;838;20;1 097;2 525;723;531;462;99;33;2;18;2;19;1 507;515;674;2 744;619;1 665;3 060;6 011;374;159;16 391;438;72;6;2;7;3;41;119;20;969;6 214;3 977;8 326;21 521;2 677;2 673;421;1;0;32;9 223;12 178;1 292;13 046;4 855;22 030;78 751;312;660;183 241;809;2 507;4;820;51;148;474;7 754;2 514;3 994;0;3 481
Забайкальский край;2 765;3;0;128;0;26 871;62;0;3 012;3 058;335;238;267;69;15;1;39;3;4;2 191;313;1 185;5 247;686;1 991;1 786;6 111;15;1;20 355;50;8;0;0;2;2;0;0;0;1 755;3 667;1 059;1 657;5 339;1 010;646;107;0;0;5;5 776;2 415;1 204;12 032;2 931;13 636;27 381;3;0;78 855;19;54;0;0;12;31;0;0;0;1;0;5 787
