GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155
   Забайкальский край;40561973;40478319;3522;2676579;2676523;26765277;594;8042;1126;12384;10;20285;30422154;30404918;152017970;3327;0;171658;157678;946070;101;374;374;2491;3;0;0;0;0;239884;239898;1199491;56;5172576;5162766;31281641;1204;1687256;1651811;481;57;57;1;1850731;1814817;887;196512;194601;1253;0;0;0;87;87;5;105011;0;0;8;8;1;40324717;40301159;3170;30992208;30977230;3107;3311569;3312794;232;6109;6109;10;1967748;1967175;445;180635;180606;50;3748172;3739710;1096;118228;117491;106;0;0;0;0;0;0;5970036;5938701;161;7122733;7109218;4300;0;0;0;12538736;12643069;482;243290;192194;20;111963658;10075349;2015069;1381397;276282;107632;1631155;50492;10098;44893;8979;39836;-38717;5;0;16105550;3221111;519434;103886;23069;3094156;0;0;0;0;26180899;5236180;1900831;380168;130701;4725311;5954188;1190839;62785;12557;33450;1144832;9294;31451;6290;22780;-19776;0;5954188;8339;0;3;0;111963658;5869385
   Амурская область;108289017;108168317;6269;7462476;7433015;74330157;1348;104248;104248;1146732;14;35629;61244151;61191469;305957833;5789;0;180293;179715;1078291;99;838;838;6357;3;0;0;0;0;694036;693855;3469275;51;20631801;20639156;127358099;2422;17750193;17730737;1095;0;0;0;17936321;17919059;1668;2974217;2974140;965;0;0;0;536;553;6;250573;83;1;166;166;2;144224314;144149415;5906;98062101;98240653;5803;2284258;2283864;568;470236;470000;38;25572377;25331667;1062;694013;693833;51;14299231;14287568;2170;2842358;2842091;87;0;0;0;0;0;0;5100276;5093585;149;19391068;19009669;6572;0;0;0;57216070;57059699;614;32494269;32494269;22;97315629;14713038;2942607;6713186;1342640;57188;1542779;528522;105704;52724;10545;3020;92139;8;0;119771377;23954274;57274917;11454982;384509;12114783;0;0;0;0;134484415;26896881;63988103;12797622;441697;13657562;143208122;28641626;76102;15220;4236;28622170;132408;0;0;13;132395;712944;143921066;35472;4417;3;0;97315629;4840954
   Архангельская область;95327503;95040902;6017;3749760;3749429;37495016;869;476;480;5275;4;47710;54461456;54435344;272158047;5852;-18205;574226;577643;3465856;181;4;4;18;1;0;0;0;0;541236;539615;2698073;138;27960553;27896556;169138828;2680;6413089;6223922;933;27853;27853;11;8010065;7811911;1785;212217;212089;1673;105;105;1;8281;8281;21;6134;5900;1;217;0;1;83791684;83768598;5660;65988483;66059708;5601;901626;898837;86;72337;72176;32;5948115;5949582;820;536866;535080;135;10221201;10130110;2556;123055;123103;189;0;0;0;0;0;0;6357184;6164206;88;20863776;20606054;7238;0;0;0;15433632;15259666;277;2341455;2342473;41;133830106;51324450;10264891;3059910;611984;3358555;6294352;5;1;410;82;0;-81;1;0;8638937;1727786;1559559;311912;3721;1412153;0;0;0;0;59963387;11992677;4619469;923896;3362276;7706505;4004271;800855;36038;7207;115710;677938;42276;0;0;0;42276;4553754;8558025;0;0;0;0;133830106;6153266
   Астраханская область;47492688;47523652;4082;1590327;1587825;15878232;607;1617;1616;17774;14;26021;38533874;38566055;192831089;3790;-2126;618745;618630;3711738;120;151;151;1976;2;0;0;0;0;31485;27658;138292;25;5091618;5098684;31630390;1770;1441444;1438683;647;31770;31770;11;1601005;1597278;1345;60593;59162;310;0;0;0;193;193;6;-855;318;2;2;2;1;35455797;35493216;3845;28560777;28583773;3784;835264;849914;194;50580;50580;49;1409854;1409518;621;31485;27658;25;4536385;4540321;1607;31307;31307;79;145;145;1;957;69;2;6111869;6110878;251;15709123;15692874;3902;0;0;0;9715066;9699141;489;1666442;1666331;15;174545018;11091264;2218252;550010;110005;86578;2021669;3701;740;169;34;0;706;8;0;2253688;450738;1019924;203985;5280;241473;0;0;0;0;13344952;2668990;1569934;313990;91858;2263142;3346677;669335;48836;9768;5835;653732;30280;39331;7866;0;22414;8003882;11350559;746572;30240;37;0;174545018;5065128
   Белгородская область;317723641;320060217;23584;70576548;70614264;706145398;3381;5177;5177;56950;20;-242439;174408780;176431316;882156105;22451;25;2545502;2546863;15281178;353;-3540;263;1753;4;0;0;450;0;541251;540096;2700480;228;51290908;51286536;412503247;10942;17904092;17866312;4818;114289;114741;30;18598022;18578102;6673;415824;426596;1543;3214;3214;4;6416;6407;25;16553;12497;28;-3;0;0;277258157;279816114;22944;203407479;206010119;22760;9933974;9918802;1509;1433249;1433497;498;19228819;19457282;4526;538439;537744;223;42327951;42087645;10279;390583;374835;402;0;0;0;67;16;2;1690933;1706546;145;63774332;63472963;23920;0;0;0;23680373;23497112;762;2132752;2108493;81;231468868;16008618;3201724;2226243;445248;111195;2645281;387185;77437;28684;5737;427;71273;18;0;11797720;2359544;2032420;406483;9139;1943922;0;0;0;0;27806338;5561268;4258663;851731;120334;4589203;2301323;460265;289172;57834;482;401949;137;0;0;0;137;828645;3129968;423046;30;26;0;231468868;1698403
   Брянская область;117119111;117003533;9461;15296654;15253501;152535011;1529;28318;28318;311501;6;28489;71644018;71609120;358045600;9011;0;2396886;2395985;14375913;220;1077;1077;5383;6;0;0;0;0;162513;161924;809623;109;21155747;21148266;136971448;4620;5495033;5466533;1657;223715;223485;9;6406332;6364820;2686;341473;340975;834;0;0;0;2660;2660;9;10905;4510;12;22;22;1;104103453;104052782;8912;70948943;70960826;8787;4655308;4610106;461;3231752;3230811;774;5792024;5788483;1516;162353;161430;105;19128859;19117137;4341;185110;184959;160;0;0;0;729;2;1;775907;786546;281;16459820;16367684;9571;0;0;0;4498054;3713203;614;1714006;1714005;23;21725191;16513036;3302605;2030057;406012;253383;2643210;6355;1271;149;30;0;1241;6;0;3464635;692926;52276;10455;301;682170;0;0;0;0;19977671;3995531;2082333;416467;253684;3325380;958481;191696;91203;18240;47492;125964;3081;0;0;0;3081;493399;1451880;311670;32;28;0;21725191;786139
   Владимирская область;182910259;182879602;13327;20358516;20345741;203456880;1549;252;1651;18159;5;-6673;128948872;128900427;641671875;12899;-20;1446992;1455111;8730947;272;0;0;0;0;0;0;0;0;209362;209274;1046370;147;28068498;28038984;173086627;6904;3025572;3022112;2557;10660;46435;73;3885886;3920985;3987;1026201;1024352;1117;208;208;1;548;548;20;42764;1898;15;0;0;2;154874906;154863053;12794;107654773;107669465;12696;16568017;16559779;730;352522;352522;331;3326860;3328019;2350;203679;202742;139;25821782;25804249;6625;946142;945111;226;0;0;0;3;3;1;331051;361323;180;32000125;31889682;13852;0;0;0;3116636;3108525;209;497061;497061;40;45417214;16017520;3203504;3860385;772077;273312;2158115;430843;86169;131;26;0;86143;5;0;3245449;649090;262159;52432;4521;592137;0;0;0;0;19262969;3852594;4122544;824509;277833;2750252;8748432;1749685;158067;31614;19886;1698185;615;0;0;31;584;790729;9539161;0;0;0;0;45417214;312032
   Волгоградская область;221676271;221713436;16795;16474273;16468453;164684554;2597;72046;74658;821239;33;-39470;143763901;143734877;718669690;15588;895;12114537;12104393;72626350;502;0;0;0;0;0;0;0;0;634707;632350;3161754;155;41727514;41736066;260243264;8978;5706545;5736202;3687;120393;120393;40;6924959;6950674;5397;264959;260519;2137;93;10;3;2402;2675;40;16990;2337;14;0;0;0;190330131;190473343;15742;138325935;138439420;15604;5690982;5690948;465;1131739;1131739;213;7051444;7100374;3434;634188;631831;150;37260321;37245936;8460;238393;235935;236;0;0;0;505;505;1;494727;494799;131;41794110;41668036;18196;0;0;0;10643553;10640553;240;1987680;1987680;74;120236218;33646677;6729335;6971835;1394367;1295225;4039743;19316;3863;0;0;0;3863;7;0;26072284;5214456;22284941;4456987;50401;707068;0;0;0;0;59718961;11943791;29256776;5851354;1345626;4746811;5020462;1004093;118251;23651;1400;979042;7903;0;0;0;7903;3763546;8784008;0;0;0;0;120236218;397131
   Вологодская область;270493376;269012020;20274;10140543;10142042;101424323;1615;8;8;86;2;1261610;204678948;204498289;1022491607;19899;-2794;2969432;2969857;17819140;243;0;0;193;0;0;0;0;0;175342;175342;876708;165;43153029;43153896;261005512;6409;7394483;7351821;2900;863;1334;3;8124618;8062627;4354;518454;515714;1074;31;0;0;2979;2977;24;5916;0;0;0;1;1;272418948;271177153;19745;216849133;215673427;19649;6789084;6789453;290;1729082;1712196;139;6755036;6723258;2767;173849;173849;161;39704042;39686478;5916;414061;413832;200;173;173;2;42;0;0;5133031;5149374;168;22800355;22525226;20441;0;0;0;29323323;29304341;356;8584055;8587450;50;316920721;18261579;3652313;1506113;301225;124399;3226689;23835;4767;84;17;0;4750;3;0;550606993;110121400;533295657;106659131;53598;3408671;0;0;0;0;568868572;113773713;534801770;106960356;177997;6635360;4616391;923277;47216;9444;5901;907932;0;0;0;0;0;2339984;6956375;0;0;0;0;316920721;5142646
   Воронежская область;389152510;387611278;38641;51566695;51540000;515399940;5312;37821;37821;416034;20;2056310;236366563;236921754;1185251269;37104;7316;3204970;3250936;19508908;528;0;0;0;0;0;0;0;0;328501;326731;1633650;224;78024611;78000967;526650402;16866;16326814;16304806;7111;32851;33008;27;17557445;17497703;10085;347890;344637;1401;1070;963;8;2279;2340;21;22263;16456;14;0;0;1;357803134;356931739;37483;261388353;260546620;37258;9859447;9855549;1041;1578714;1575849;556;18872179;18880855;6963;218405;217593;205;65186782;65163681;15661;363731;355967;273;0;0;0;52;52;2;652655;652890;173;40561825;39848797;38590;0;0;0;9469080;9432811;455;623006;625575;57;54723218;60537250;12107450;12186661;2437333;878129;8791988;16471;3294;1422;284;557;2453;15;0;23068445;4613691;563483;112697;10711;4490283;0;0;0;0;83605695;16721141;12750144;2550030;888840;13282271;11983241;2396650;312858;62571;7325;2326754;121851;1467;293;0;121558;2683548;14666789;22848;1141;9;0;54723218;644312
   Ивановская область;88084780;89799599;15951;4369460;4370977;43709742;1630;1;1;14;2;-60041;68693226;70186422;350921491;15570;-13;1169958;1177773;7066600;252;19922;19922;109145;2;0;0;0;0;97867;97800;488998;59;12076182;12108036;72983520;5996;1442269;1561371;2198;120416;120416;21;1738006;1857370;3169;67829;66137;476;0;0;0;463;271;9;3311;530;11;0;0;0;79903324;82133133;15316;59998878;62065995;15204;6477513;6478578;686;454439;462650;212;2287787;2420900;2201;97923;97800;59;10534423;10554669;5595;50432;50613;81;548;548;1;0;0;0;327105;325992;64;9019634;8471822;15909;0;0;0;1138433;1053284;165;18221;18221;14;10220878;10851322;2170263;2608422;521685;220391;1428187;17;3;10;2;0;1;1;0;51762543;10352508;126217;25244;7226;10320038;0;0;0;0;62613865;12522771;2734639;546929;227617;11748225;2172809;434562;167236;33447;9371;391744;62;0;0;0;62;398364;2571173;12590;0;4;0;10220878;323866
   Иркутская область;385722629;385347736;21930;13156878;13107217;131072109;2391;5531;5588;61465;23;74724;288979707;288749920;1443736581;21224;5392;1393168;1389009;8334036;409;-1348;611;3053;2;0;0;0;0;833031;832051;4160255;161;64465474;64555141;391683360;10015;15738850;15893764;5022;530;322;7;16808698;16706104;7244;808657;806961;2426;338;73;3;873;873;31;23164;1289;8;26;28;5;304032370;304348925;20864;217699794;217901132;20671;6954855;7046179;633;292119;297444;128;16956524;16917083;4719;678518;677537;156;60700182;60756986;9398;750380;752560;309;0;0;0;3856;392;4;8591869;8479259;465;100352466;99732028;22986;0;0;0;26349563;26361058;1008;8237435;8192590;61;258954826;41908777;8381757;11011241;2202248;555337;5624172;7809;1562;485;97;0;1465;4;0;19601527;3920305;360949;72189;12645;3835471;0;0;0;0;61510304;12302062;11372190;2274437;567982;9459643;52655302;10531062;234627;46926;62241;10421895;5236;74;15;15;5206;1257237;53912539;0;0;0;0;258954826;8440311
   Калининградская область;210452993;210742661;8731;26859846;26849985;268493063;1371;24781;24737;272108;33;-430881;136221600;136257050;681409563;8234;0;967333;966936;5801615;264;19;19;174;1;0;0;1652;0;119529;119622;598108;76;42968436;42803522;267667756;4039;2907760;2899904;1426;2914;2914;6;3382007;3372288;2198;800427;797645;684;251;251;5;652;648;22;3125;877;6;11;5;2;136170473;136536952;8267;86304015;86756776;8088;5444404;5449367;1019;2710216;2712977;357;4128776;4111084;1332;118081;118083;75;36913965;36837668;3784;412043;412021;269;0;0;0;1254;10;1;2060008;2055251;393;84207513;84102928;8598;0;0;0;11146184;11118993;539;816483;816483;41;145391738;21736634;4347323;6106266;1221253;179915;2946155;19379;3876;14846;2969;359;548;10;0;247695158;49539031;74181341;14836268;3463;34699300;0;0;0;0;269431792;53886354;80287607;16057521;183378;37645455;45848907;9169782;24568817;4913762;12656;4243364;9624;617;123;0;9501;42592091;88440998;47953;0;7;0;145391738;2048561
   Калужская область;310740338;310812145;13667;17687323;17685170;176851863;1441;6;6;62;2;55276;234470597;234490538;1172447266;13102;1;1534781;1536450;9218703;268;0;0;0;0;0;0;62;0;112310;111151;555758;125;44642616;44743074;273005448;7362;11432076;11409725;2744;171403;171497;49;12237430;12238822;4032;1538885;1505307;936;1753;1753;2;1244;1208;29;3777;2942;17;-3;0;1;279537145;279738976;12949;150200529;150458921;12794;75122877;75146277;817;988899;988953;330;12188161;12209135;2529;118254;109458;123;39451908;39365397;6930;1466518;1460834;345;0;0;0;101;7;3;3023639;3023695;112;38142541;37856327;13778;0;0;0;8267429;8267453;419;434813;434813;28;76330637;22274348;4454868;5632402;1126482;508469;2819917;42827;8565;0;0;0;8565;9;0;47392555;9478512;22210207;4442041;43980;4992491;0;0;0;0;69666903;13933380;27842609;5568523;552449;7812408;7425320;1485063;564492;112899;3554;1368610;21687;6616;1323;0;20364;2515050;9940370;339328;19144;15;0;76330637;3021150
   Камчатский край;42018233;42026893;2362;5478509;5473890;54738897;709;4474;4474;49210;12;1100;26704182;26686964;133433746;2192;0;172416;172055;1032330;81;0;0;0;0;0;0;0;0;493637;493637;2468186;43;5756893;5788104;38497231;986;3235620;3239483;367;40873;40873;3;3406880;3407667;672;175996;176050;232;0;0;0;0;0;0;0;0;0;0;0;0;40630292;40585065;2153;28984014;28948608;2132;2718695;2718359;166;9108;9108;12;3354515;3357618;349;477819;477819;43;4929380;4917452;937;153575;154104;89;0;0;0;0;0;0;907945;946555;48;7038383;7046194;2257;0;0;0;6364207;6364758;299;216745;216745;6;69211813;4076345;815271;730940;146190;35560;633521;0;0;32794;6559;0;-6559;0;0;2045316;409063;78147;15629;10921;382513;0;0;0;0;6121661;1224334;809087;161819;46481;1016034;263751;52750;14571;2914;1;49835;0;0;0;0;0;5262660;5526411;118;0;1;0;69211813;946556
   Кемеровская область - Кузбасс;489994852;489820051;18275;7255609;7246741;72467412;1650;2447;2447;26917;8;24226;316174248;316062823;1580314576;17726;0;40490875;40399677;242398063;410;0;0;0;0;0;0;0;0;2776983;2742619;13713094;267;83548440;83535120;504265562;7901;37440284;37672391;3222;635764;403141;42;39721311;39822403;5224;208251;206295;1375;63;63;1;2516;2516;23;134701;6636;21;0;0;0;453326056;453242212;16994;325086221;325082964;16861;6425378;6380618;521;876516;876516;137;42931788;42825261;2958;2701366;2666254;264;75128273;75240915;7496;154389;154020;279;0;0;0;47361;26;3;29300091;29299985;242;66821178;66669145;18607;0;0;0;59136121;59122947;494;2274093;2433832;168;564201557;37369177;7473833;8998069;1799616;947062;4727155;5366;1073;1833;367;31;675;12;0;93467643;18693529;66551395;13310279;43682;5339568;0;0;0;0;130836820;26167362;75549464;15109895;990744;10066723;10934002;2186801;189342;37869;16234;2132698;34805;75138;15028;9162;10615;616259;11550261;0;0;0;0;564201557;29154707
   Кировская область;87654669;87296861;10944;8273951;8275800;82759225;1898;7;7;77;3;-16677;57664398;57291236;286456599;10608;0;2030664;2030757;12182765;238;0;0;0;0;0;0;0;0;108917;108642;543207;182;16798281;16799527;104325149;5749;2440550;2438170;2104;167549;167508;17;2795129;2788447;3303;91668;91002;2117;0;0;0;1111;1111;18;1263;559;8;0;0;0;76053926;75485487;10492;56508307;55938513;10418;2434712;2435121;270;262203;261911;117;2874340;2877564;1971;102947;102673;165;13811775;13810193;5463;59653;59514;164;0;0;0;-4;0;0;96823;96823;90;13538322;13737997;12643;0;0;0;1916437;1907284;210;151282;156511;42;27545539;16667997;3333595;3699681;739935;516846;2076814;3287;657;0;0;0;657;3;0;79782518;15956502;38206091;7641218;64310;8250974;0;0;0;0;96450515;19290097;41905772;8381153;581156;10327788;4892545;978509;241532;48306;11197;919006;30;0;0;0;30;78042;4970587;11472;366;15;0;27545539;86253
   Костромская область;54421884;54443764;5055;4018047;4017966;40179660;730;50;50;555;1;-28083;41236358;41224850;206124243;4854;24;240233;240133;1440795;107;0;0;0;0;0;0;0;0;89753;89697;448487;60;7782070;7781086;47856987;2530;830985;835930;975;5273;5273;5;1082286;1088793;1654;214169;214076;586;0;0;0;712;712;20;3656;1114;7;0;0;0;47824557;47862917;4799;36459320;36501656;4765;2300521;2301817;246;226085;226085;114;910466;908675;898;89416;89361;60;7641028;7637602;2421;198767;198767;100;0;0;0;18;9;3;59826;59565;74;8724639;8704277;5388;0;0;0;1922078;1921498;88;19541;19565;13;22720247;138004639;27600925;133758510;26751700;24199;825026;0;0;0;0;0;0;0;0;655666795;131133359;501033756;100206751;2041771;28884837;0;0;0;0;793671434;158734284;634792266;126958451;2065970;29709863;2901476;580295;3746;750;0;579545;0;0;0;0;0;6497;2907973;0;0;0;0;22720247;57090
   Курганская область;59356004;59318230;4896;6309553;6308684;63086833;963;6692;6528;71812;12;9299;38662586;38672285;193361600;4564;20811;484108;456910;2740932;162;1779;1779;17788;1;0;0;0;0;45858;42434;212172;75;10210675;10208774;62983186;2148;3393867;3391120;923;54291;54215;11;3604923;3599410;1395;48690;48481;475;0;0;0;1393;1393;23;0;0;0;1501;1501;4;49922457;50154930;4632;35593200;35930566;4592;814134;814172;104;305357;306279;86;2856395;2844439;857;45858;42434;75;10162665;10178239;2015;34382;34382;81;0;0;0;0;0;0;73585;73585;35;9925161;9639450;5027;0;0;0;513663;498405;191;135158;135158;14;5433361;7505569;1501114;906051;181210;59666;1260238;2541;508;0;0;0;508;2;0;682968;136593;54071;10813;2565;123215;0;0;0;0;8188537;1637707;960122;192023;62231;1383453;554735;110948;749;150;9;110789;343;0;0;0;343;93110;647845;68704;559;10;0;5433361;73584
   Курская область;147641014;147663107;12392;31111372;31107740;311077403;2668;6445;3148;34634;15;27814;83174063;83254474;416272375;11346;-117;1558361;1552419;9314511;194;2702;2702;24061;4;136;136;1161;2;260655;258087;1290436;127;20950466;20943765;146907041;5051;12393439;10176733;1997;525;525;2;12756158;10542314;2982;132067;128950;827;0;0;0;1220;1043;18;396;381;3;167;167;1;135437893;135559105;11853;98716789;98851784;11763;5008761;5008868;390;550330;550330;265;11536293;11541028;1866;262276;256708;127;19300072;19288808;4644;78731;74467;143;0;0;0;60;55;2;1870673;1870673;40;24991141;24901137;12314;0;0;0;14605699;14533798;575;6270155;4611475;38;51411593;13228430;2645684;2428801;485759;395435;1764490;9081;1816;71;14;0;1802;3;0;6204261;1240852;1911084;382216;8231;850405;0;0;0;0;19432691;3886536;4339885;867975;403666;2614895;2938231;587647;14302;2862;4005;580780;2391;13;3;13;2375;173572;3111803;202;0;1;0;51411593;1870589
   Ленинградская область;380292111;379365024;20132;19348803;15652213;156522064;1720;309;359;3470;9;-91339;289288775;287339938;1436678752;19539;-527;2548914;2544272;15265635;368;9497;9497;47487;3;0;0;0;0;1851014;1850053;9250262;217;62632718;62600122;386649374;9865;8514542;8503119;4040;25208;26553;30;9374716;9373656;5967;4901976;4906806;2840;48693;48693;8;584;584;27;8047;6709;20;7;7;4;348350453;348492587;19383;233711811;233903988;19157;41622403;41617304;1338;1676669;1678556;334;11711794;11692471;3743;1848453;1847532;208;53126850;53114214;9395;4632593;4637484;578;221;221;1;1;0;0;6778863;6711137;479;93661860;92856295;21564;0;0;0;62375216;63589165;680;3015783;3072542;91;452861797;44375880;8875174;7091076;1418214;696839;6760121;100377;20075;4760;952;730;18393;16;0;6761439;1352287;146780;29356;2602;1320329;0;0;0;0;51137319;10227461;7237856;1447570;699441;8080450;10984086;2196818;809809;161962;283497;1751359;3719;6223;1245;1392;1082;77853957;88838043;187744;15853;27;0;452861797;6698512
   Липецкая область;220320629;222413271;13780;30722719;30713240;307132414;1754;5117;5567;61237;8;-554476;133964918;135377376;676908912;13145;-298;1576596;1576828;9460966;228;-52;0;384;0;0;0;0;0;186667;186734;933669;129;40715860;40867080;264331012;5684;13304582;13307128;2350;10864;10864;24;13701986;13677308;3559;616849;603955;879;0;0;0;442;442;8;440764;433804;8;869;670;2;226929393;229205083;13232;163664733;165661459;13140;10689062;10656333;452;1015436;1016614;191;13163530;13333753;2260;185594;186692;127;37646614;37787992;5263;586845;585686;242;0;0;0;0;0;0;50768;47339;61;19759464;19560275;14054;0;0;0;25438530;25354352;246;4871648;4905365;85;200633038;12765896;2553181;4088380;817676;180084;1555421;21007;4201;2728;546;538;3117;10;0;14028994;2805797;295130;59027;2040;2744730;0;0;0;0;26794890;5358978;4383510;876703;182124;4300151;829643;165928;133044;26608;52;139268;2390;71;14;0;2376;348774;1178417;69953;2760;10;0;200633038;46853
   Магаданская область;34314511;34377600;1448;861233;849465;8494645;243;0;0;0;0;-32910;25477792;25463014;127315066;1382;0;18088;18088;108528;28;0;0;0;0;0;0;0;0;1261481;1261481;6307403;42;4507858;4558806;27502653;486;2129443;2125884;213;554;554;4;2220971;2226631;441;201636;166266;339;0;0;0;22;22;3;0;0;0;0;0;0;34998887;35740367;1388;26865521;27619507;1360;556161;556161;47;1401;1401;3;1976870;1975602;208;1260788;1260788;41;4180835;4169639;442;157269;157269;59;0;0;0;0;0;0;10658218;9865818;174;7207240;7161397;1528;0;0;0;18348495;18205215;345;907287;927321;14;180089289;1479207;295843;175649;35129;29465;231249;2579;516;1139;228;1139;-851;5;0;2164860;432972;1578;316;35;432621;0;0;0;0;3644067;728815;177227;35445;29500;663870;314802;62962;1282;256;2078;60628;93;0;0;0;93;3097604;3412406;0;0;0;0;180089289;9865818
   Московская область;3089921260;3087208954;131572;202409253;202551925;2025519223;11468;9138;9582;105399;59;655215;2221490934;2219648790;11098211488;127453;-33997;16872339;16881580;101290627;1768;21104;21045;107183;18;384658;384658;1923786;9;994907;984017;4920090;624;563355088;562857431;3424924656;75973;66482623;66053142;28656;7514145;7530143;240;84132050;83621698;40382;13280291;13265584;7279;12071;12071;34;14510;15685;117;1399515;689319;174;-1502;527;18;2763639843;2763437291;126793;1830662331;1831103994;125416;304674666;304546129;10790;23983163;23864063;3511;80535131;80469026;26515;853339;842285;603;510300070;509953764;72575;12452353;12445858;2591;194536;194536;14;419183;62621;15;19996050;20026645;1254;397266601;394694077;132980;0;0;0;75898058;76602447;1598;10984176;10251592;363;693656870;476187615;95237531;108123722;21624747;9707839;63904945;49500;9900;1637;327;298;9275;23;0;366743586;73348714;294632774;58926557;1166650;13255507;0;0;0;0;842931201;168586245;402756496;80551304;10874489;77160452;115541305;23108261;7692966;1538594;253741;21315926;158241;213378;42676;27250;88315;40470077;156011382;1489331;173910;99;0;693656870;19239359
   Мурманская область;82746577;82657295;4651;5659588;5658803;56588001;1172;322;322;3544;2;1265;59410340;59346080;296730381;4336;0;486624;486618;2919710;113;0;0;0;0;0;0;0;0;315733;311542;1557709;51;12340264;12334889;80437331;1926;4010155;4006041;787;153236;153236;8;4532441;4518778;1262;1260954;1256688;1593;179;179;1;3435;3435;19;0;0;0;0;0;0;122088657;122099307;4324;100194348;100235154;4284;2843705;2843705;160;49120;48952;38;4851539;4843182;684;313551;309360;47;12362168;12345240;1861;1474214;1473713;161;0;0;0;0;0;0;4900422;4900467;63;16655652;16540092;5866;0;0;0;59609017;59597639;267;10384378;10384697;29;616007777;16127143;3225432;1591494;318298;239271;2667863;54851;10970;2752;550;542;9878;2;0;2225966;445194;41427;8286;22967;413941;0;0;0;0;18353109;3670626;1632921;326584;262238;3081804;6853935;1370787;291560;58312;7898;1304577;5374;49;10;0;5364;21883323;28737258;0;0;0;0;616007777;4899978
   Нижегородская область;774217169;777667199;58874;46863755;46826585;468265839;4684;215;215;2366;14;-718865;570261194;573324629;2866622624;57312;-2602;11490249;11494112;68964674;1020;0;0;0;0;0;0;0;0;723982;720007;3600036;309;123056375;123046199;746905426;28390;18404965;18179932;11961;1393165;1394941;133;22520529;22222785;17399;2258775;2244343;2559;10;10;1;1890;1902;43;1048197;343455;33;78;78;7;688373443;692208816;57208;522971549;526763344;56857;34189351;34190008;2390;2720900;2727899;788;20418398;20459116;11696;720581;716558;295;105007939;105026376;26689;2340793;2324949;792;0;0;0;265236;2724;9;18007966;18023157;615;112416056;111676007;59440;0;0;0;41519652;41600223;822;7938061;7929789;95;304389044;136825955;27365194;20972886;4194577;4621372;18549245;167684;33537;90257;18051;658;14828;49;0;41596382;8319274;15867542;3173509;74316;5071449;0;0;0;0;178422337;35684468;36840428;7368086;4695688;23620694;9937818;1987563;3108460;621694;9615;1356254;67984;10765;2153;0;65831;102230911;112168729;188089;17786;49;0;304389044;17420290
   Новгородская область;69002176;68963559;5828;5694942;5691107;56911067;627;-633;142;1557;6;19211;47602795;47586428;237947177;5623;-250;686345;690903;4145416;163;0;0;36;0;0;0;0;0;120720;123841;619203;65;13009567;13003734;79038867;2676;1090751;1089009;1007;351328;351328;18;1869477;1861739;1721;264813;265086;478;0;0;0;629;649;17;27377;4191;2;0;0;0;67313534;67374915;5535;49269372;49325980;5489;4874933;4885222;288;258304;259621;122;1539722;1539215;976;118714;121835;63;10879373;10870052;2530;279861;279898;117;3;0;0;0;0;0;763216;763216;84;9329999;9230902;5905;0;0;0;8172453;8124778;182;441002;441002;18;84786179;8797815;1759562;861031;172209;194580;1392773;30177;6035;3238;648;31;5356;3;0;2337571;467513;911391;182278;4483;280752;0;0;0;0;11135386;2227075;1772422;354487;199063;1673525;483625;96725;95748;19149;307;77269;543;0;0;0;543;280113;763738;0;0;0;0;84786179;753290
   Новосибирская область;476255878;474339053;60664;51634719;51573364;515734926;6749;22211;15919;171207;40;508460;329317933;327588902;1637888137;58697;-1962;3044882;3048919;18466185;912;7169;7169;31814;4;0;0;175;0;268080;269263;1346313;170;76827012;77020787;488152288;28945;13372807;13328887;12457;-8022;143811;69;14775403;14753745;17837;521439;521232;1798;751;751;13;22700;22700;38;82102;51444;46;667;667;5;425662467;423558999;59283;316844493;314952345;58875;18649165;18511581;2530;4759682;4753532;814;16659856;16655507;11880;256440;257907;156;68161690;68018045;27362;446673;446805;352;173;173;4;45986;44606;13;11001273;11051930;389;60484991;60014612;60079;0;0;0;20149504;19660585;1038;889634;889996;58;192772967;99124154;19824830;29159853;5831968;1617753;12375109;262747;52549;135000;27000;1196;24353;37;0;154951407;30990283;59058209;11811643;716554;18462086;0;0;0;0;254075561;50815113;88218062;17643611;2334307;30837195;106913856;21382769;529065;105814;10544;21266411;239230;78173;15635;1787;221808;7565048;114478904;186077;764;46;0;192772967;10941764
