GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86
Республика Коми;462245;418482;7510;2117095;0;2913401;396449;0;151107;123853;2332895;2332895;259225;2627;43207;0;107058;0;132272;5248;0;5047;846289;1105674;28864;191149;0;191131;69172;0;71553;110944;60497;1502;0;0;0;47;0;0;39;0;557;24629;4779;0;5608;5608;0;898238;1200434;151491;900864;411192;1714;36871;1701458;2221915;620292;1325694;37907;3454118;35715;463782;1007759;196617;384351;37837;380061;35964;189090;114627;27919;8433;833480;1701808;632356;3265619;4490946;4679714;847776;280894;274907;47101;33;192449;5845
Республика Марий-Эл;1019557;74020;1661;0;0;0;0;0;0;25033;123;123;795447;496467;72658;0;13357;0;32719;62531;49;62291;161271;399850;35722;114234;0;114234;94594;54135;31595;118860;566573;268;0;0;1;840;0;0;2710;2599;1306138;405628;318137;94187;23024;19094;0;200942;210915;140101;337937;127521;8295;23980;545669;1279314;459475;695953;54;306349;49212;6264;88883;76660;169053;13246;219301;23309;13827;94361;24202;8305;439363;289900;167083;1394332;1601604;1454151;341315;75325;121142;22915;38;87415;1200
Республика Мордовия;1667080;22426;2485;0;0;0;0;0;0;14347;5;5;1069147;543635;123151;80142;141116;0;42764;142;0;142;129641;26298;25604;2745;0;2745;24402;103010;155617;455761;528640;308;0;0;2662;548;101893;0;222223;0;544242;878853;46274;63629;420002;0;0;165395;538042;527;88589;104805;6399;61128;837781;1599650;505602;978826;1381;297812;68;30389;174207;106978;144114;32698;176819;36731;23016;247797;45981;10899;470372;535813;271782;1531143;2184672;2206803;558881;282603;155650;31527;229;137635;1476
Республика Саха (Якутия);539250;206127;56220;1448051;15980;522618;342300;30444;3320869;9363495;120880;2256;432489;83661;151434;0;53597;0;25685;10145;31;9551;68525;971;57993;28;0;28;31727;53;18871;272147;60910;0;0;0;0;1196;5620;463;0;0;551;1054;80726;693;496;496;0;146636;2638795;11455;2332564;265781;61681;28043;1791170;3003679;1122934;1662415;255305;553017;980919;1056919;2095253;228865;288193;32413;646158;125027;133007;464929;144556;27517;900381;1965607;649463;5050513;10171067;6794868;2128490;380312;287892;50081;1212;245198;1206
Республика Северная Осетия-Алания;129249;4770;7376;0;27067;1234;0;0;1444;23815;0;0;53692;15063;3631;0;116961;2090;26257;-22;0;-63;16434;2403;6686;2196;0;2196;4689;425;19748;61127;406014;0;0;0;0;0;392212;0;166;0;85122;5169;2911;167;29256;0;0;21013;384538;151018;42977;88693;30655;23876;307692;800217;195790;552107;8981;106708;18;28;84411;74382;95112;12881;121649;24624;37039;37621;4487;2911;125371;189374;163522;1208212;1816225;1660693;363828;97882;92145;18323;564;188950;774
Республика Татарстан;4216085;197158;11606;32;0;5719567;0;0;2;103700;2992577;2992538;2861152;522097;648821;195320;509173;674;345002;95047;3288;64675;457685;627794;248470;1633889;0;1633357;6208425;149711;2031015;1278374;2254028;56300;0;0;160723;27260;2769;531;75625;51081;1717761;1689373;1583548;6505580;1832129;704842;1124145;1989920;3675519;13337;693387;808753;53938;393005;9561857;15398707;5817363;6617871;204204;3712227;196747;598872;1681899;648351;1727860;372983;3782896;326532;1050878;2609901;653076;189331;3020253;8961330;3054265;6167439;15622459;10922456;3119382;1514793;1008791;126928;576;1060212;2408
Республика Тыва;59277;24998;1100;247992;0;0;16;0;148308;2535;0;0;23784;3506;3958;0;138;0;5530;766;32;545;7368;0;3541;212;0;212;36;0;344;133137;223478;11;0;0;0;0;222455;222455;0;0;0;0;41;0;0;0;0;3261;133516;451;111835;34013;92;913;82154;300258;29400;251517;959;0;56;12419;41659;47349;49843;14149;101934;8780;58244;55717;2082;1923;87414;158176;86184;1266527;1614903;1454373;259132;64141;34367;5487;0;75160;548
Удмуртская Республика;1992449;143352;21992;0;0;464831;0;0;0;26862;1732820;1732820;981925;102931;457387;187;174456;0;171271;17891;0;9620;370801;62938;58817;-1;0;-1;79461;22839;162106;328362;6578015;335300;0;0;5016;6504;590631;6973;64914;30738;2506699;723835;827453;711281;61318;23;38216;564438;819098;225669;470083;252783;3918;100622;2258308;4442160;1475034;2459060;16336;404158;7596;132398;582382;206586;502837;43377;534537;59117;122527;339866;72873;61907;878790;1808498;817513;2629447;5219862;4498331;1048656;335335;364219;79561;37;358486;503
Республика Хакасия;157695;45479;6652;935157;0;0;0;123052;231059;234810;0;0;253009;47429;47914;0;211592;0;17071;1662;0;1470;23776;9159;12967;178;0;176;2227;0;20817;61370;776136;77189;0;0;56;432;635000;0;101;0;2382;1090;7681;34844;36866;0;0;204586;657734;2781;152989;48237;40466;7491;697305;1344016;291816;900411;112238;0;-1680;4193;257021;62624;129878;39835;153095;36785;32951;102457;26178;6310;288757;300811;380338;1691245;2535847;1826869;432760;117979;127506;25142;118;134934;49
Чеченская Республика;152790;36504;401;0;0;283620;0;0;0;1703;35713;35713;25092;1756;10199;123;22657;0;5579;40;0;0;2703;1157;1043;5210;0;5210;1910;0;3963;90355;4804;0;0;0;0;3;0;0;44;0;248;3304;30;20477;0;0;0;12451;249560;164398;51325;57590;79894;25469;205010;479884;156087;291771;1656;113838;50;353;50659;115775;49429;5180;163627;24706;65553;22805;1108;18654;75744;181391;79317;1767818;4503943;2176059;441796;150818;42066;5755;0;197776;653
