GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Астраханская область;60387257;60148175;5833;1809352;1809815;18098155;855;4824;4279;47071;23;10368;0;49223904;49178984;245855202;5414;-3302;0;663071;661790;3970736;196;651;644;5106;2;0;0;0;0;55927;55927;279637;32;6726759;6607887;41357009;2437;1706692;1618642;827;16771;16771;10;1896364;1809973;1677;92690;91678;434;253;250;6;212;225;8;9951;3400;7;0;0;0;45633422;45699003;5379;36467452;36564802;5281;1040919;1018339;265;49495;71946;75;2428888;2429520;826;55927;55927;32;5518226;5486155;2205;70107;69893;103;3200;3200;5;1571;292;4;10388881;10389019;380;20544295;20337407;5589;0;0;0;16073650;16172752;645;2238901;2240903;17;191239671;7015433;1403090;619975;123995;99170;1179925;11358;2272;1111;222;873;1177;17;6;3962442;792489;870842;174169;8866;609454;0;0;0;0;10977875;2195579;1490817;298164;108036;1789379;980376;12007223;12987599;871206;22349;58;25;191239674;10367357
Белгородская область;349045875;348378616;33565;71118330;71120996;711210062;4520;13796;13796;151770;27;1750057;0;200999764;201644560;1008223001;32030;2490;0;2192946;2192276;13154291;449;1183;1183;10539;5;0;0;0;0;699287;695835;3479171;331;53444131;53472255;410469034;14507;17654325;17597683;5924;417141;419193;64;18825036;18775133;8274;544880;538877;2373;103;103;1;9236;9679;38;-1092;13485;58;21;21;1;320044030;320112189;32699;239165504;239105724;32498;12814821;12808688;2023;1387915;1391137;637;19036990;19094649;5494;698095;694659;326;46561366;46542846;13734;464454;476114;531;0;0;0;1202;1149;5;1643067;1647500;226;51585326;50885394;34125;0;0;0;23899384;23743952;1137;2543021;2517437;116;210700074;18328844;3665771;2686024;537205;195894;2932672;158873;31774;38955;7791;0;23983;11;6;22100882;4420176;9358375;1871675;2738;2545763;0;0;0;0;40429726;8085947;12044399;2408880;198632;5478435;2491056;1089321;3580377;561331;15;28;16;210700073;1638558
Брянская область;147672165;147766802;12905;17531382;17520297;175202972;1991;2787;2785;30629;6;-82373;0;90299448;90177761;450888804;12304;-50517;0;2322402;2379090;14274533;262;3488;3488;17441;4;0;0;0;0;275572;275269;1376348;137;29926272;29980625;210653469;6129;6731101;6716952;2064;240473;233085;29;7438627;7415176;3417;304938;298788;1294;0;0;0;4824;4541;18;19691;1029;14;8564;8564;3;138328325;138522459;12197;89706418;89862923;12051;8239831;8246983;640;3843717;3848864;1058;7235343;7247741;1872;275854;275408;134;28862936;28879032;5762;162061;162175;224;9;9;1;519;167;3;1010102;998149;425;15894588;15753444;13140;0;0;0;7420378;7178736;852;3124038;3123998;31;26238738;18255487;3651095;2008509;401703;292055;2957337;14;3;11;2;0;1;2;2;13099763;2619952;8233051;1646610;248;973094;0;0;0;0;31355250;6271047;10241560;2048313;292303;3930431;1038031;555839;1593870;723995;58;34;19;26238737;997988
Владимирская область;197909479;197843642;18009;23987859;23990208;239916109;2012;4464;4464;49096;7;-8302;0;137136908;137173711;685896214;17434;-27010;0;1560837;1542305;9253829;387;0;0;0;0;0;0;0;0;234202;234177;1170881;221;30584647;30525501;189043707;9188;3689884;3628334;3277;103255;91428;138;4435868;4364803;5050;1279364;1296538;1631;0;0;0;-15588;381;32;15809;15012;39;0;0;0;167927603;167884746;17247;115125637;115172036;17093;18504323;18485268;946;437661;437269;399;4166527;4152352;2979;232453;232322;216;28231551;28175012;8823;1232311;1232569;311;0;0;0;147;126;3;231573;326714;279;34596531;34475638;18916;0;0;0;3486987;3463968;226;284887;284887;48;48727632;19388638;3877729;4732098;946416;396459;2534854;3206;641;0;0;0;641;4;3;2947468;589496;650773;130155;5754;453587;0;0;0;0;22336106;4467225;5382871;1076571;402213;2988441;9132471;985580;10118051;43;0;1;1;48727635;320570
Волгоградская область;349605065;349509461;23104;17660865;17637732;176368580;3300;79727;79727;876991;55;72090;0;226436720;226465990;1123221507;21545;1772;0;11095006;11083249;66499486;733;0;0;0;0;0;0;0;0;579457;578980;2894893;207;79063663;79001651;487169105;12146;8540728;8497526;4646;135907;170323;62;14616859;14604237;6787;410983;402859;2989;186;0;1;4864;5766;66;46768;34837;24;0;0;0;319987717;320099390;21505;230160236;230375984;21321;7017442;7015924;638;1087786;1087318;264;9093796;9079442;4340;609089;608639;206;71733149;71652263;11496;312015;307229;339;-192;0;0;25882;581;2;1214590;1251282;215;49439727;49169179;24982;0;0;0;20586646;20549210;353;2785268;2728852;109;266277254;36614336;7322868;9621252;1924250;1744099;3654519;2376675;475335;157854;31571;340436;103328;10;6;19310439;3862088;7749316;1549864;9423;2302801;0;0;0;0;55924775;11184956;17370568;3474114;1753522;5957320;6457298;5106859;11564157;0;0;0;0;266277251;1227867
Вологодская область;315577616;300575356;26645;12134619;12132577;121325363;2050;247;247;2722;3;12504562;0;235861546;233441580;1167089073;26179;16628;0;1866390;1866835;11201003;318;0;0;0;0;0;0;0;0;272750;273253;1366263;261;43515203;43500210;264228943;8216;7602766;7547884;3692;44035;44874;15;9384801;9336758;5470;349703;359441;1534;0;0;0;376;376;34;15264;9429;13;760;781;4;311516572;296571144;25831;249228099;234429159;25708;10705300;10672365;350;1955749;1955922;180;8153553;8067738;3248;271179;270015;253;40837405;40800544;7681;338587;353110;257;0;0;0;-73;2;1;5787712;5816948;229;30620218;30337813;26971;0;0;0;32150893;31747920;450;8328473;8318688;67;335515386;20497161;4099429;1585143;317029;129900;3652500;0;0;0;0;0;0;0;0;1549944158;309988832;1529869112;305973822;69572;3945438;0;0;0;0;1570441319;314088261;1531454255;306290851;199472;7597938;7409400;2598709;10008109;0;0;0;0;335515385;5800681
Воронежская область;487465673;474892322;51309;56260873;56306430;563056607;7002;9297;9599;105585;20;10638599;0;313371311;311101487;1556137031;49121;1554;0;4776998;4808053;28848326;731;0;0;0;0;0;0;0;0;544457;542127;2710641;323;82823722;82759913;574288829;21796;17470201;17508040;8442;84329;82923;49;19083711;19328280;11856;514496;512358;2074;115;115;4;4125;4136;24;8422;3020;25;-92;1;1;452097700;440742756;49184;347939808;336724483;48857;8861440;8850211;1316;1879081;1886705;734;19690207;19712964;8265;363632;361141;296;72576704;72446422;20365;438318;437098;410;0;0;0;216;194;3;829745;881238;272;48559431;47298975;51391;0;0;0;13796931;13488050;715;860545;897137;85;63573829;76132369;15226472;13965280;2793056;638190;11795226;10350;2070;896;179;100;1791;30;12;24461004;4892201;2844167;568834;6582;4316785;0;0;0;0;100593373;20118673;16809447;3361890;644772;16112011;13278865;2970878;16249743;22844;245;15;9;63601020;871962
Ивановская область;107059599;106952866;22416;5581624;5580596;55805814;2230;-89;8;102;11;620589;0;85425969;85936705;429641391;21869;-4;0;699159;706144;4236849;323;4560;4560;36627;5;0;0;0;0;77112;75193;375965;64;13020955;13000264;78715005;7773;1349812;1364300;2470;57188;57737;30;1633899;1636028;3588;59047;56978;713;0;0;0;1153;1153;13;5518;2496;12;0;0;0;97400080;97600207;21436;77654583;77891489;21312;6366436;6361810;851;600000;603192;293;1703555;1703293;2537;77114;75194;62;10939504;10906273;7167;38293;38309;124;0;0;0;1;0;0;355691;358129;113;10360801;10058924;22322;0;0;0;969475;991816;247;32185;32929;19;10418913;12301279;2460257;2967376;593474;276939;1589844;13;3;13;3;0;0;1;1;10306582;2061317;881089;176218;4542;1880557;0;0;0;0;22607861;4521574;3848465;769692;281481;3470401;1805446;423617;2229063;6152;606;7;4;10418914;355802
Иркутская область;442936751;442142422;30169;15263753;15249248;152492044;3033;6978;6978;76758;26;198811;0;341425275;340951913;1704521397;29210;32229;0;1479589;1287766;7726569;526;527;2715;15226;10;0;0;0;0;1232823;1200165;6000817;249;64088511;64122080;388357487;13497;18128360;18022953;6329;472;171;8;19208769;19313513;8958;958733;940271;3516;216;216;2;1553;1553;43;115992;26609;25;2;2;1;346646807;346626772;28529;256155322;256143126;28289;8022871;8024232;925;281372;281472;158;19135227;19087998;5877;824748;902942;247;61335539;61296134;12635;892559;890865;371;-831;2;1;41827;2740;2;13166402;12941227;763;110941845;109991807;31930;0;0;0;26729361;26344474;1354;6172551;5426930;61;323086526;48479273;9695853;13069792;2613958;648733;6433162;4000;800;3212;642;0;158;4;3;42873650;8574730;1683380;336677;52028;8186025;0;0;0;0;91352923;18270583;14753172;2950635;700761;14619187;4014697;607958;4622655;0;0;0;0;323086526;12838286
Калининградская область;219843541;218530206;11827;24794977;24782834;247806816;1838;20656;20101;221104;34;1537786;0;147878224;148181725;740908344;11158;446;0;751368;751173;4507030;372;776;776;4332;7;0;0;0;0;113464;112725;563625;119;40705246;40620355;256000990;5316;3051185;3061967;1695;396;396;10;3712870;3715348;2652;607359;604803;923;378;378;6;3923;3727;23;21629;13502;15;945;0;0;141791888;140745090;11068;91405003;90460422;10799;5886030;5892205;1410;2581587;2581012;464;4484326;4507973;1587;101706;101740;110;36687256;36558353;5039;460519;460616;364;64;64;1;2645;309;5;2567717;2584718;530;85715858;85401285;11672;0;0;0;9696781;9524377;704;1161667;1037972;57;140718193;34365693;6873139;7829439;1565886;628642;4678611;17427;3485;15887;3177;336;-28;11;6;92012837;18402567;57303076;11460616;4754;6937197;0;0;0;0;126378530;25275706;65132515;13026502;633396;11615808;77649679;15602021;93251700;134697;5;11;7;140718195;2573432
Калужская область;339037295;338820032;18621;21595359;21604206;216042525;1921;175;116;1281;7;-75434;0;257201471;256991174;1284954636;17850;10817;0;1165853;1173462;7040021;362;0;0;0;0;0;0;0;0;148555;145932;729660;166;46519040;46554016;284720624;9715;11071310;11002551;3444;570081;571457;75;12471865;12344696;5034;1943402;2051460;1267;1172;1172;4;4428;4428;49;12409;8514;55;-404;0;2;295411415;295756496;17633;168511786;168872749;17449;70378777;70345049;1089;1212004;1210895;417;10776315;10712655;3223;140992;137980;159;42428405;42514201;9260;1963137;1962966;428;0;0;0;-197;0;1;4698126;4729076;150;50051967;49707363;18778;0;0;0;9688485;9268463;581;742921;738588;39;90168179;25081731;5016350;7606782;1521359;663802;2831189;40369;8073;15811;3162;0;4911;21;10;72377850;14475569;52007711;10401543;40345;4033681;0;0;0;0;97459581;19491919;59614493;11922902;704147;6864870;7739545;2258073;9997618;520672;53529;18;8;90168180;4715585
Камчатский край;53692980;53206848;3176;7845361;7639275;76392748;941;5279;5274;58019;14;193017;0;33202485;33191656;165958287;2961;212;0;196183;181561;1089368;101;341;71;521;1;0;0;0;0;599537;598116;2990582;67;7483550;7440725;50143907;1305;3904608;3892702;452;73869;73869;2;4167353;4150740;804;197505;193342;272;0;0;0;0;0;0;6094;0;0;0;0;0;49933498;49317487;2897;35045745;34528774;2866;3246916;3191795;233;14496;11016;14;3898590;3895131;439;576702;573277;65;6965188;6932469;1240;186534;186260;95;0;0;0;0;0;0;1209260;1397976;70;10560645;10360605;3049;0;0;0;7878339;7667304;404;277097;275775;6;98754633;4621942;924388;1054864;210974;99976;613438;3013;603;0;0;121;482;1;1;3277732;655545;221204;44241;21445;589859;0;0;0;0;7899674;1579933;1276068;255215;121421;1203297;353101;6257389;6610490;0;0;0;0;98754630;1396784
Кемеровская область - Кузбасс;499742274;497590661;24886;7632072;7633000;76329834;2088;1304;1304;14342;9;314015;0;343848301;343884532;1719422313;24166;1838208;0;37503163;42882869;257297074;473;0;0;0;0;0;0;0;0;3773875;3833737;19168678;411;71612653;68874723;416219191;10516;31064356;28382856;4080;351679;352669;55;33198745;30448217;6621;348736;341905;2024;3;3;1;2828;2829;36;312869;117008;61;0;0;0;470068381;468372361;23041;363302664;367160017;22899;9740732;9785329;673;385480;380348;172;29784542;27100303;3572;3506616;3566587;408;63111333;60159363;9965;281214;275684;372;0;0;0;140125;32469;21;40028785;40018960;321;67842830;67477742;25358;0;0;0;77991118;77923143;658;4816353;4572012;231;693738092;42938975;8587795;10953342;2190669;1246721;5150405;20270;4054;0;0;0;4054;9;5;66246065;13249214;34911866;6982373;66527;6200314;0;0;0;0;109185040;21837009;45865208;9173042;1313248;11350719;12724038;943197;13667235;0;0;0;0;693738092;39839695
Кировская область;101816691;101546922;14944;9272952;9272035;92720520;2491;16;16;171;10;-54990;0;69167737;68880536;344403470;14500;6702;0;1819622;1819814;10918904;339;0;0;0;0;0;0;0;0;146907;149837;749190;265;18854597;18827806;116220630;7619;2335046;2293775;2658;62384;67050;30;2603150;2588297;4163;129910;119723;3146;0;0;1;1629;1613;32;10284;7932;23;0;0;0;89543928;89644171;14271;67515419;67622900;14191;2435501;2438935;336;247672;247672;160;2800064;2871873;2461;142612;145543;248;16287423;16198572;7322;115240;118680;218;0;0;0;209;209;3;152088;159207;126;17414359;17011962;17576;0;0;0;5114794;5104315;274;572360;572048;64;28155595;17273474;3454694;4233399;846683;656471;1951540;939385;187877;0;0;184424;3453;3;2;48761909;9752381;46695922;9339185;59244;353952;0;0;0;0;66035383;13207075;50929321;10185868;715715;2305492;42199324;1207818;43407142;10978;591;10;8;28155598;158933
Костромская область;61577898;61518051;6607;4353673;4346246;43462464;876;96;96;1056;3;-10687;0;47035416;47016746;235083727;6378;1632;0;175102;175297;1051780;135;0;0;0;0;0;0;0;0;127277;127277;636381;85;8859923;8795785;54619760;3263;719555;721902;1212;245;313;2;1036689;1050864;1969;242587;240858;856;0;0;0;830;709;28;5467;1315;13;0;0;0;52191408;52314151;6271;40876470;41002556;6219;1738862;1737641;306;214653;213505;129;886964;922614;1072;125949;125949;84;8188321;8144496;3101;168055;167390;145;0;0;0;138;138;4;65887;67886;96;10487752;10291840;7148;0;0;0;914883;867672;110;26245;26245;19;18116916;254383586;50876718;251083033;50216607;25493;634618;0;0;0;0;0;0;0;0;737614689;147522938;517287888;103457578;1792654;42272706;0;0;0;0;991998275;198399656;768370921;153674185;1818147;42907324;2742565;10014;2752579;0;0;0;0;18116916;60563
Курганская область;65516521;65467481;6539;6767304;6765487;67654864;1282;1613;1801;19807;9;88;0;44766320;44774575;223874550;6096;19047;0;351662;348927;2093606;201;1956;1956;11376;1;0;0;0;0;68617;68199;340695;113;9559154;9544656;59187324;2829;3748000;3750808;1159;98805;98805;22;3982660;3960206;1757;51965;46812;692;0;0;0;4504;4154;37;762;31;4;6;6;2;55695664;55715312;6147;41575559;41548466;6089;1175463;1175494;142;268107;268474;121;4004454;4006510;1081;68604;68126;111;8656159;8673494;2641;27373;27377;106;7;7;1;0;0;0;114421;120457;67;10597091;10504907;6816;0;0;0;856599;822614;207;93354;108947;17;6521053;10773918;2154780;1997065;399414;79865;1675501;262;52;0;0;0;52;3;1;2583983;516795;55602;11120;2918;502757;0;0;0;0;13357901;2671575;2052667;410534;82783;2178258;393978;598449;992427;9033;437;9;5;6521053;119961
Курская область;163462807;162636342;16530;32790267;32587930;325879299;3546;4135;2746;30203;19;678723;0;90043207;90089801;450450696;15076;140;0;1590359;1587560;9525358;311;-60;60;1251;3;0;0;421;0;339969;337550;1687756;156;23660281;23656039;168253306;6660;13843972;13898017;2347;2853;2886;8;14355889;14365289;3565;102416;101205;1201;0;0;0;2243;2070;29;5636;1486;11;0;0;1;152227166;151882490;15737;111683269;111356010;15619;5278471;5281153;524;650197;658460;354;12140699;12134569;2225;338300;333761;149;22060327;22043731;6149;72980;71883;195;0;0;0;71;69;5;2254462;2262994;79;21651328;21143212;16580;0;0;0;12561790;12541942;736;6708410;6708410;44;46253171;16888314;3377664;2855907;571183;454976;2351505;12580;2516;215;43;0;2473;6;3;11353843;2270767;504035;100807;12431;2157529;0;0;0;0;28242157;5648431;3359942;671990;467407;4509034;3171418;23556;3194974;0;0;0;0;46253170;2261291
Ленинградская область;454056548;452446583;26824;18467214;18467057;184670573;2226;1822;1822;20038;15;912957;0;338835321;338922388;1694608610;26006;-10;0;2135309;2126878;12760184;498;50;50;268;3;0;0;0;0;826780;825813;4129063;307;78020842;77893634;482090656;12893;13725390;12740411;4914;59041;57227;48;15125044;14100796;7193;4837199;4829893;4056;67467;67467;9;670;670;37;7355;6536;30;6;6;1;401900575;402422251;25587;267850310;268792805;25329;45293678;45176298;1717;1774778;1774359;463;15999241;15998176;4622;824890;824048;300;65376786;65082627;12181;4770469;4766845;774;36;36;1;-1402;864;3;7527995;7537689;663;114672032;112490163;29060;0;0;0;65256337;65131903;824;6721210;6789979;131;440430245;62455415;12491082;9833094;1966621;863936;9660525;162609;32522;3549;710;4287;27525;26;11;8864601;1772922;1144371;228874;2020;1542028;0;0;0;0;71320016;14264004;10977465;2195495;865956;11202553;10923596;87474144;98397740;731492;10207;29;15;440430247;7533412
Липецкая область;233439287;232234775;18381;31453495;31450818;314508122;2309;3052;3052;33564;10;639841;39;145276242;144775095;723873685;17511;-356;0;1111621;1111422;6668532;292;1743;1743;9134;3;11;11;78;1;440082;440583;2202908;177;41779716;41727999;277118343;7494;12239581;12225139;2925;28186;43852;44;12734041;12712347;4448;970035;862256;1227;-4;0;0;463;512;16;17757;1402;10;2;2;1;243164925;242235696;17570;174669745;173754477;17444;13609244;13630489;576;1608522;1609031;242;13344828;13352221;2821;437253;437754;170;38822991;38780931;6932;584076;581841;309;-13;0;0;180;180;1;109351;104755;97;22366326;21888795;18818;0;0;0;31627149;31031355;386;5916080;5818161;115;226168888;13038014;2607602;3910552;782111;153617;1671874;33274;6655;45552;9110;769;-3224;12;7;15471619;3094324;113764;22753;3624;3067947;0;0;0;0;28509633;5701926;4024316;804864;157241;4739821;982612;384277;1366889;59460;3532;9;5;229176307;88042
Магаданская область;42660194;42622459;1940;1035234;1033117;10331175;311;0;0;0;0;32766;0;32956700;32947798;164739102;1877;0;0;41087;38237;229426;50;363;363;1813;1;0;0;0;0;910566;910566;4552835;52;5630824;5601625;33659240;599;1860493;1860048;263;210;210;5;2053016;2051015;528;101429;101125;529;0;0;0;45;45;3;0;0;0;0;0;0;43927471;43669443;1824;34606918;34403602;1793;621147;598691;55;4480;4480;6;2233023;2243813;246;903395;903284;52;5422311;5379258;582;136390;136316;87;0;0;0;0;0;0;11790842;12028993;253;9006353;9000744;2104;0;0;0;21996818;21960935;497;1735963;1735963;19;217539112;2195951;439191;244637;48926;35254;355011;124;25;0;0;0;25;3;1;3797053;759411;21369;4274;918;754219;0;0;0;0;5993004;1198602;266006;53200;36172;1109230;385379;2989803;3375182;1766770;257472;9;3;217539112;12028993
Московская область;3518758761;3517593756;176991;227704027;227753839;2277536811;14819;9652;9559;105151;65;2631971;0;2605912953;2607095919;13035239115;171360;-57211;0;15689265;15718599;94332460;2449;181469;181411;919219;33;245163;245310;1230387;14;951603;938664;4693315;830;587575101;587611020;3583022406;100396;64313572;63451088;35807;711297;757642;392;78320812;77436006;49905;16749266;16309572;9974;14752;14752;31;14089;14402;158;1059373;950112;324;17906;2966;33;3106958659;3112203872;170160;2122722295;2128552531;168299;314956247;315129810;13837;26281611;26278134;4376;73472633;73637089;33223;935404;923833;787;552708852;551956234;95813;15461024;15314481;3351;362558;362558;22;102843;100585;42;15842061;15917567;1902;478010922;471297770;179428;0;0;0;65465552;64418935;2123;17619800;17293217;602;624255743;501794955;100358995;132528743;26505749;10381699;63471547;526357;105271;147390;29478;2288;73505;52;45;546216570;109243314;383078875;76615775;1255164;31372375;0;0;0;0;1048011525;209602309;515607618;103121524;11636863;94843922;89590633;49322717;138913350;2502386;345213;150;74;624255745;15205932
Мурманская область;100583590;100403212;6690;7079376;7079398;70793968;1596;0;0;0;0;8044;0;64247234;64235347;321175686;6211;-2217;0;469392;469333;2815997;149;0;0;0;0;167;167;837;1;306235;306487;1532434;72;16880945;16858464;109193594;2763;3904824;3900893;1025;243233;242166;11;11594580;11451942;1689;1751985;1742396;2343;0;0;0;2584;2584;28;991;0;0;0;0;0;189600477;189527682;6219;163813081;163748215;6164;2984156;2983521;201;60578;61208;49;6569482;6567092;949;304444;304696;68;14698175;14692339;2640;1171696;1171744;219;0;0;0;0;0;0;4804810;4804589;106;19826390;19759852;8479;0;0;0;111878291;111924799;406;10308301;10323056;36;543144573;20825590;4165119;2888055;577611;411493;3176015;55021;11004;3143;629;620;9755;5;3;2768340;553668;17630;3525;10288;539855;0;0;0;0;23593930;4718787;2905685;581136;421781;3715870;8532408;34051162;42583570;0;0;0;0;543144574;4803600
Нижегородская область;919163282;915766555;79850;50342990;50361879;503618797;6072;6758;6758;74334;34;3417920;245;685525267;686391074;3431955371;77856;-1418;0;9200903;9218772;55312626;1353;-3688;2070;502847;9;0;0;0;0;829657;832143;4160707;401;135175235;134805227;820507661;37353;24958468;23521133;14801;2372919;2375466;223;34664157;34139158;21506;6914639;6917024;3597;620;391;3;2197;2192;57;4613448;2015268;104;-598;310;20;829070640;827884743;77373;634448780;633321435;76938;41370737;41376663;3061;2395827;2396274;1016;24315258;24205163;14217;824421;825483;384;120093651;120127242;35432;5618940;5626968;1038;956;956;4;3894692;1851093;31;16359577;19325799;896;124951097;123439053;80922;0;0;0;43438283;47632493;1103;9261890;9327762;125;363381805;139411362;27882270;24022113;4804418;4569456;18508396;286026;57205;106129;21225;5408;30572;76;38;45441106;9088224;10943121;2188624;103730;6795870;0;0;0;0;184852468;36970494;34965234;6993042;4673186;25304266;17073976;160954504;178028480;53879;1736;36;18;363381803;18573518
Новгородская область;82513814;82447981;7941;6672449;6667984;66679833;851;496;509;5602;15;122918;0;58307308;58299375;291497397;7668;1135;0;711265;712925;4277399;218;0;0;0;0;0;0;0;0;259571;259371;1296855;104;14441199;14479366;87646742;3501;1072889;1060340;1284;433610;426495;32;1999067;1986955;2145;361163;358944;697;0;0;0;562;571;19;32240;24066;13;0;0;0;79555865;79655839;7507;56922105;56958854;7454;7350720;7366797;394;289287;289084;173;1390526;1383581;1234;256156;255956;102;12989011;13043140;3408;296247;296638;177;0;0;0;194;194;1;971624;971746;138;12114883;11947560;8101;0;0;0;9728110;9738647;214;717505;714463;31;83589294;9289475;1857896;1137292;227459;273532;1356905;0;0;0;0;0;0;0;0;10384687;2076938;793890;158779;6912;1911247;0;0;0;0;19674162;3934834;1931182;386238;280444;3268152;954766;671957;1626723;71576;1139;1;1;83589292;936173
Новосибирская область;560166437;553875439;83129;58672871;58663567;586635659;8867;24128;25529;280821;62;6060493;131;393091844;392985452;1965346313;80418;21330;1;2419142;2385061;14320931;1277;2778;2776;26593;8;0;0;0;0;383753;382958;1914789;234;83239241;83234414;536314811;38410;13620604;13542552;15419;754918;745129;127;16243943;16165782;22270;679103;669643;2545;305;281;10;15573;15421;54;233554;136205;114;-22;0;0;497831907;492569612;80993;377803985;372650437;80472;20432967;20391912;3251;4378789;4399318;1077;16471316;16508096;14750;374633;373870;211;77708327;77576671;36161;645853;644325;516;0;0;0;180910;116239;20;16961715;16989012;611;72954945;71873906;82419;0;0;0;28517049;26629727;1330;1555555;1525217;78;244396005;115998880;23199781;38225787;7645155;1940364;13614262;212597;42519;23890;4778;800;36941;40;22;156686766;31337352;66523233;13304646;685114;17347592;0;0;0;0;272685646;54537133;104749020;20949801;2625478;30961854;112326715;6781602;119108317;333512;10746;59;33;244764150;16790534
Омская область;260480600;262398945;27679;16989608;17026835;170268354;4030;396;864;11966;12;-938231;0;190303017;191136348;955681539;26484;-11156;0;310347;342016;2052108;283;378;378;1892;3;0;0;0;0;272896;270625;1353123;175;37818304;37949510;235932405;11237;14487189;14426219;4507;41274;46003;76;15735303;15664723;6886;268779;268099;1418;180;180;1;499;530;28;46640;14070;37;21;0;0;220524913;222709121;26591;167567347;169653352;26381;3351258;3347896;582;965581;965270;483;13942580;13964386;4242;273171;269214;171;34176275;34269236;10600;251753;242823;216;0;0;0;1330;469;2;594546;600745;439;47858201;47520021;27971;0;0;0;8124885;8087940;742;11934250;11936996;74;58801743;31557537;6311507;7123216;1424644;570331;4316532;0;0;0;0;0;0;0;0;13731587;2746316;11477103;2295421;6415;444480;0;0;0;0;45289124;9057823;18600319;3720065;576746;4761012;17421463;1660798;19082261;2049;38;4;2;58801744;593903
Оренбургская область;253904088;253418222;19362;11667023;11442358;114423682;2767;381;381;4194;14;77076;0;204031954;203984598;1019923747;18458;-483;0;1933596;1935717;11614300;350;3863;3874;19371;3;-15;0;0;0;698874;695778;3478894;152;29579376;29451142;184746344;8293;4819911;4810948;3531;194468;194462;27;5918413;5899606;5295;324596;314228;1297;2;2;1;11419;1886;46;20416;17698;29;128;3;3;188302212;188305359;17863;150517835;150624305;17706;3409105;3407551;284;570469;569933;247;4976997;4983699;3216;691911;688549;147;27925468;27820620;7705;193546;193548;261;0;0;0;15493;13971;12;4769429;4826764;271;70804961;70311306;19820;0;0;0;9688453;9670099;546;9039524;9041440;73;98719266;24950164;4990032;5507732;1101547;618351;3270134;44453;8890;24595;4919;53;3918;12;5;117318315;23463661;109817172;21963435;58155;1442071;0;0;0;0;142268479;28453693;115324904;23064982;676506;4712205;6121870;1919046;8040916;22341;1289;23;10;98719034;4822743
Орловская область;86599091;86664624;10829;11623168;11582593;115825942;1949;242;37;405;1;-55844;0;50753321;50894157;254469822;10035;-832;0;970920;971141;5826820;226;0;0;0;0;0;0;0;0;146236;146512;732559;85;18309808;18238496;122292969;4689;4633326;4609132;1449;4728;4811;19;4851703;4829130;2201;277619;272213;656;45;45;2;3826;3811;30;6161;979;11;0;0;0;79231165;79353633;10233;53402776;53554422;10162;3284379;3277509;302;423279;423854;215;4707398;4709598;1419;145523;145503;76;17023380;16997915;4367;243576;244081;118;2;2;1;157;157;3;110364;110443;69;11260332;11178346;10986;0;0;0;3713507;3694497;333;1112793;1112793;29;17342283;8846106;1769221;2499122;499826;159862;1109533;26865;5373;27288;5458;0;-85;9;3;1303193;260639;80217;16043;840;243756;0;0;0;0;10149299;2029860;2579339;515869;160702;1353289;1841995;20784;1862779;140365;577;14;8;17342285;106838
Пензенская область;152075833;152542291;16543;18056587;18255724;182544314;2380;-57;372;4095;5;-132050;0;110569810;110813746;512062926;15700;3008;0;1013592;1014213;6085268;439;0;0;20443;0;0;0;33;0;79730;78865;394320;165;22747946;22678378;146314925;7868;7758375;7732768;2893;6612;6081;12;8119227;8096504;4346;121276;120075;1293;10;8;4;3442;3283;51;30775;25766;34;0;0;0;134421734;135371809;15865;101898510;102834014;15748;3575692;3579846;484;364704;365066;188;7673227;7687139;2710;79249;78385;161;20733407;20732269;7438;95437;94942;194;0;0;0;762;316;3;15101;15988;26;22623522;22122693;17096;0;0;0;4825648;4814259;319;1684893;1684520;53;20490705;15298645;3059730;1904256;380852;132103;2546775;0;0;0;0;0;0;0;0;6363754;1272751;2521496;504300;12430;756021;0;0;0;0;21662399;4332481;4425752;885152;144533;3302796;2575697;771043;3346740;0;0;0;0;20490706;12589
