GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Свердловская область;212 765 277;74 132 884;184 529 795;58 610 030;1 502 394;975 072;49 699 874;63 794 419;32 435 646;17 149 349;1 271 512;519 565;2 981 990;3 751 375;2 109 925;1 097 373;1 109 859;992 090;0;0;1 872 128;2 759 285;1 666 237;975 081;1 181 238;249 254;20 184;38 614;36 058;18 278;9 831;12 788;11 955;7 178;346;207
Смоленская область;32 640 658;13 830 951;27 501 258;9 861 075;130 221;69 320;8 202 933;6 485 131;5 666 960;3 984 553;0;0;492 176;389 110;285 177;201 301;200 783;127 250;0;0;291 394;261 859;208 700;173 822;212 585;52 992;3 086;4 665;5 331;3 135;1 407;1 421;1 786;952;0;0
Тамбовская область;15 025 829;6 384 667;14 050 198;5 909 265;105 132;40 608;9 980 113;7 505 018;1 130 575;541 352;41 355;2 076;595 320;446 746;151 607;75 998;230 805;128 499;0;0;364 515;318 247;129 482;67 061;65 834;19 233;3 494;5 312;2 812;1 144;1 462;1 250;1 189;306;24;5
Тверская область;34 596 021;6 535 114;32 402 669;6 141 035;162 095;25 382;20 531 911;14 924 287;2 696 182;671 373;13 021;2 068;1 231 690;895 022;404 094;100 386;487 718;251 357;0;0;744 148;649 018;347 419;92 481;158 766;17 880;7 138;8 953;6 102;1 705;2 998;2 548;1 986;555;4;2
Томская область;37 311 785;7 664 386;33 968 440;6 835 023;209 443;84 378;14 953 604;13 796 993;4 057 711;1 079 588;33 401;4 745;897 173;825 757;388 677;104 612;317 588;227 833;0;0;579 583;597 973;318 214;95 747;198 523;21 327;5 925;9 012;7 556;2 454;2 906;2 708;2 835;751;30;11
Тульская область;31 486 340;8 845 995;30 037 903;7 964 224;177 451;81 106;21 800 504;16 400 328;2 417 573;877 570;339 562;45 744;1 284 076;952 100;345 521;118 685;499 995;264 984;0;0;784 085;687 120;283 134;109 035;166 435;24 392;6 560;10 089;5 058;2 079;2 739;3 177;1 756;794;138;21
Тюменская область;73 247 209;24 405 894;60 349 623;15 761 980;359 520;115 178;18 364 977;13 436 462;14 111 559;9 477 899;84 118;16 839;1 101 434;798 619;706 275;471 905;407 911;203 208;0;0;696 832;595 308;549 727;435 203;423 236;75 198;6 363;8 188;13 044;5 705;3 108;2 245;4 420;1 605;76;25
Ульяновская область;31 751 836;9 091 771;29 139 222;7 955 296;126 072;13 901;14 951 710;11 151 074;2 739 512;1 174 196;348 842;162 132;835 657;593 468;333 793;112 563;316 101;178 728;0;0;519 559;414 743;275 159;99 953;148 243;24 879;5 110;8 120;5 450;2 275;2 307;2 357;1 965;772;74;37
Челябинская область;93 771 649;23 514 320;87 635 478;21 716 775;704 468;131 097;49 170 373;44 828 889;7 448 553;2 442 762;1 685 058;211 456;2 947 734;2 589 760;1 118 840;330 453;1 076 947;681 150;0;0;1 870 792;1 908 631;887 447;299 961;508 682;67 138;16 938;25 979;16 219;6 242;6 978;7 040;5 136;2 336;481;89
Забайкальский край;19 307 217;7 591 838;18 047 365;6 958 635;75 243;24 319;10 159 217;6 698 610;1 490 943;720 726;6 266;3 556;609 530;400 956;221 579;107 432;195 278;104 866;0;0;414 002;295 867;188 248;95 465;92 207;25 354;3 118;4 794;3 072;1 566;1 523;1 549;1 189;533;14;8
