GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125
Волгоградская область;334050630;333158167;24828;14741930;14659060;146584998;3282;45450;45191;497097;64;60999259;60282588;334902965;6802;169362386;169362386;846820669;16877;2212928;2201799;14434009;243;6501654;6501654;39009940;653;0;0;0;0;0;0;0;0;509978;507335;2635234;220;67354646;67301174;421222924;12397;8175535;8145553;4569;326014;325184;92;12321966;12296675;6349;391374;372653;3616;129;125;19;133;133;4;4130;4700;65;41206;31218;20;124;0;3;302513375;302076427;23189;217478950;217114615;22962;8009304;7999264;649;1483571;1492037;294;7348999;7358100;4128;510036;507190;218;67407330;67330078;11763;273119;273078;385;192;192;2;245;63;5;30777287;30895674;283;37715763;37117576;27447;2857560;2851346;107;305996551;35558046;7111611;7692008;1538402;1534857;4038352;64595422;12919087;26427947;5285589;1545275;6088223;4193816;4386821;311961891;31505031
Вологодская область;318055244;305260088;25659;10797096;10784198;107736908;2140;1832;1827;20102;11;65245736;58167597;322967260;7276;183566339;183566339;919995255;18209;112992;225407;1477678;124;1157855;1157855;6947138;275;0;0;0;11;0;0;0;0;254695;239635;1236050;274;45569946;43388240;267491115;8147;6828452;6664466;3437;3704335;402768;24;11236607;7727589;4705;494363;444466;1739;15410;8175;6;0;0;0;1332;1283;35;26590;7686;16;26;26;2;317092142;305989852;24879;252349232;243766678;24750;8481860;8247256;353;1658313;1639895;165;8538385;8540367;3057;244737;229872;266;45408405;43184406;7692;397666;375921;260;0;0;0;28150;3987;6;10552145;6575911;303;24965056;24237026;26573;5661447;5133633;70;369489960;20145111;4029021;1813756;362751;319284;3346986;2071960612;414392121;1914761467;382952293;400859;31038969;8332742;2173808;372231546;6045498
Воронежская область;478477579;458991699;52625;51236823;50972886;509999325;7239;4299;5207;57280;35;106550575;87895374;488307808;14326;228798803;228806913;1144524330;36788;1535291;1464681;9601796;205;4272900;4272900;25637391;578;0;0;0;6;0;0;0;0;421357;371973;1914635;300;70038049;69750550;480484059;21472;12572288;12519789;7486;183019;185293;76;15617561;15451213;10104;946969;861151;2577;673;673;16;38;38;3;30851;17892;38;40524;33132;34;3;11;3;445027875;426711166;50962;357701338;339761989;50640;7940551;7926991;1228;1844033;1837636;663;13795850;13785101;7318;294530;248743;279;62696547;62394616;20026;753246;753615;449;0;0;0;8396;8513;3;2250472;2256126;329;44640770;43209665;53437;769057;781970;110;68779870;67497158;13499430;15103309;3020663;546728;9932039;93128746;18625747;16836957;3367392;556155;14702200;8701449;1868989;68780194;2252034
Ивановская область;108177176;104451365;22210;5318299;5256935;52565438;2224;1729;1729;19019;13;27914080;24170394;134279787;6060;61137520;61137520;305685313;15953;324480;315296;2066265;104;627940;627940;3766396;272;9764;9764;58075;7;0;0;0;0;62908;58276;300513;83;11523759;11401859;71135242;7543;989145;1010435;2035;55380;58849;37;1265096;1275217;2956;61189;60796;839;2379;2364;12;249;249;4;4469;4452;15;10083;1647;27;0;0;0;100442005;96830796;21225;81637260;78280306;21115;5986196;5882676;836;501875;496216;307;1113391;1140884;2026;62760;58129;80;11094926;10927216;7058;46325;46098;134;0;0;1;6984;392;6;539238;540862;197;8676076;8546727;22315;36225;22393;21;11038685;12236899;2447375;2094174;418835;219904;1808636;26943267;5388649;4062995;812600;228183;4347866;1943413;248077;11046780;528880
Иркутская область;456446168;453348148;32948;13424668;12944430;129444306;3135;12745;5935;65284;30;91958818;89709123;498384175;9465;253357362;253382149;1266904117;22337;277756;277973;1822270;220;687865;687865;4124145;460;3840;3840;24261;16;14;14;69;3;1142430;1133181;5814602;264;74523565;74228013;462812071;13790;19902543;19824199;5833;6640;4284;12;21069799;20987379;7923;2020480;1980905;4304;1104;1104;26;264;183;11;1506;1506;39;66961;13108;26;44;44;7;351495994;349474765;30567;249081019;247389380;30255;7302197;7282038;942;338056;337195;170;19059783;19107622;5477;1133340;1123914;263;72735247;72382135;12961;1852472;1851446;439;0;0;1;51789;28773;62;19358512;19372294;1019;118497881;117377456;35131;7872762;7872762;64;379727964;49654439;9930890;14119390;2823880;628126;6478884;86822103;17364420;28102256;5620452;1037093;10706875;3254670;440500;379750166;19117780
Калининградская область;220282841;219086117;12123;22231037;22227592;222275874;1717;11128;10800;118798;26;38624246;38203391;212241053;3324;113936838;113936838;569684207;8344;208753;202946;1327865;98;644669;644669;3868018;263;1572;1572;12108;10;0;0;0;0;100725;100700;515479;93;40533099;40516034;266927430;5212;2240506;2229667;1563;154149;152019;23;2745335;2741134;2460;480684;477047;1087;730;730;36;109;109;11;2579;2579;15;17027;9284;21;7;7;1;132370523;132177472;11320;83691389;83553229;11101;5275088;5266233;1364;2260822;2257483;467;2480332;2476288;1439;68536;68510;87;37915671;37876974;4898;426042;425819;382;0;0;0;805;423;15;3308289;3303876;574;93120409;92942869;12256;1896587;1594276;58;146237378;28866848;5773368;4744490;948897;251180;4573291;116849393;23369877;76329469;15265894;257430;7846553;25342517;11039383;146240922;3285931
Калужская область;356570643;354038523;18972;18968087;18867445;188674442;1925;723;723;7951;11;76830716;75315409;427648580;5322;195595300;195595300;978342232;13317;167544;171289;1120913;94;856804;856804;5140949;320;0;0;0;0;0;0;0;0;149352;146024;765092;188;51629924;50934400;320159207;9593;10954937;10776418;3144;829684;833665;103;12587208;12362491;4339;2501260;2229272;1568;4124;324;15;35;35;8;40200;40251;49;67630;6479;42;0;0;0;320791246;318661635;17940;175259953;174151367;17718;83252168;83239519;1087;1075782;1084905;434;11063253;10772842;2838;147310;144013;180;47787538;47064579;9173;2205242;2204408;517;0;0;0;18440;8129;7;6997229;6969654;233;43680339;42975000;19608;1783145;1641038;57;106078819;23948272;4789655;6084381;1216878;545934;3026843;121966904;24393380;87128602;17425724;568469;6399187;8835545;1570497;106077851;6944294
Камчатский край;46477287;46315707;3071;7116845;7002069;70020695;853;3846;3559;39150;17;7340963;7299345;40551918;836;21681884;21681884;108409422;2149;41523;35934;235570;29;85884;85884;515305;67;0;0;0;0;0;0;0;0;302883;299584;1524470;61;5962948;5962907;41181674;1207;3705066;3707615;357;0;0;0;3994956;3951988;633;133006;131656;332;63;63;3;0;0;1;0;0;1;0;0;0;0;0;0;41867449;41726526;2774;31006521;30954274;2753;1543361;1589666;201;4653;4653;12;3673530;3669437;379;254140;250841;58;5237372;5193122;1090;63646;63930;96;0;0;0;0;0;0;2104720;2106988;64;8471712;8261463;3123;210951;210951;12;85497202;5767499;1153501;2741509;548302;361267;243932;7630619;1526126;3223914;644782;377020;504324;245798;5513253;84901827;1922123
Кемеровская область - Кузбасс;561452801;556400457;26521;6913946;6890093;68900838;2072;651;651;7166;14;106387640;102311474;569101225;7719;293658719;293658583;1468735903;18728;18790552;18874044;123729813;146;53040202;53040202;318237616;345;0;0;0;0;0;0;0;0;3190160;3161913;16152713;417;59221585;58812541;364441358;10710;17734622;17077831;3719;532983;520293;76;20243802;19646060;5820;468916;446977;2222;137;137;18;72;72;4;3301;2639;50;521456;144218;54;0;0;0;509302003;505131024;24729;424196974;420779288;24551;9324700;9326232;743;545134;546853;194;19326633;18785650;3527;3154548;3127327;413;52364591;52169063;10111;396240;396737;397;0;0;1;208604;21126;20;67605892;67396961;399;75209910;73976296;27435;2796247;2802287;246;881400646;39745119;7949026;10027602;2005520;1533844;4409662;123814039;24762810;35206349;7041268;1806256;15915286;15431187;256489;881400646;67031816
Кировская область;95424345;95378001;15944;8603471;8603270;86032681;2592;10;10;116;12;17619389;17644527;98025145;4468;48204154;48204154;241033992;11319;711064;691376;4532350;102;1450568;1450568;8703386;285;0;0;0;1;0;0;0;0;156791;156477;800542;252;16381765;16301062;103479077;7882;2011572;1940273;2462;10341;9204;35;2313083;2316840;3689;128347;123086;3847;300;300;25;22;22;6;1612;1524;28;6344;475;13;0;0;0;83453807;83550158;15205;62734511;62660973;15090;2577731;2560648;338;172827;173620;157;1995395;1998127;2233;156110;154277;241;15942884;15911565;7581;85931;90984;257;0;0;1;289;260;4;170284;172603;171;14981181;14810396;19347;238742;255354;70;21599304;15662375;3132476;4188459;837695;414946;1879835;64330714;12866143;50985465;10197096;468207;2200840;3557762;193826;21599304;171517
Костромская область;60914235;60984506;6894;4436061;2439036;24390360;876;14;14;156;5;12461926;12415999;68977776;1954;34414339;34414339;172071695;4863;41230;40196;263505;52;127150;127150;762900;119;0;0;0;0;0;0;0;0;128548;128483;665746;90;8480072;8456382;52873340;3283;566031;562538;1064;-129037;2065;11;1048978;1175131;1754;186443;169614;1049;435;358;16;8;8;6;670;567;23;8477;4747;16;0;0;0;52256798;52480918;6547;41960543;42197828;6501;1564305;1569403;296;326910;323947;136;639357;635567;942;125708;125634;90;7514719;7503110;3194;160728;161587;166;0;0;0;1519;78;6;180874;182959;146;10245689;10083951;7714;76911;76911;22;20149493;6921110;1384219;4014685;802938;37466;543815;499592562;99918510;282736222;56547246;907589;42463675;1870696;12425;20149493;180552
Курганская область;63516175;62317327;6755;6040852;6032467;60347472;1241;3049;3049;33541;13;12876306;12089648;67163548;1828;31918824;31918812;159594109;4623;98545;99986;655463;59;296027;296027;1776165;165;0;0;0;1;0;0;0;0;94198;85605;439473;113;10142023;10054928;63649699;2656;1545388;1435983;980;416099;219708;44;2043955;1731976;1486;51181;43059;799;33;33;5;9;9;1;2401;2069;38;5432;1679;8;3;3;1;54114344;53342135;6341;41400274;40924896;6257;973278;957450;117;390638;375523;139;2883557;2801574;888;94007;85413;110;8332204;8159192;2495;38351;36737;139;0;0;0;599;190;1;229145;224637;98;9804735;9575689;7191;142078;142078;20;12999427;8352452;1670490;1292496;258499;79926;1332065;9419706;1883942;1367920;273583;83163;1527196;321500;46782;13024243;222956
Курская область;154667361;153570445;16331;29545053;29603640;296036398;3516;-78;655;7207;24;26026172;24903281;138351557;4243;67341932;67342409;336712030;10882;538888;537987;3526808;98;1114247;1114247;6685475;250;292;292;1459;9;0;0;0;0;294104;287110;1483242;160;22566471;22563592;164610176;6456;6949706;6837056;2178;10702;10540;25;7239102;7215372;3153;105996;99595;1221;1;1;1;0;0;0;5057;5007;38;2081;143;9;0;0;0;139534700;138415962;15501;103247457;102754814;15374;4947053;4917751;518;664834;663397;337;8866478;8439231;2041;285576;278772;153;21441507;21278225;6090;82555;83761;201;0;0;0;135;20;5;1809250;1814489;129;23708705;23680843;16467;3009282;3008807;52;45837066;15490392;3098078;2809919;561985;614089;1922004;37652818;7530563;4719154;943832;629190;5957541;3249699;2001;45837888;1813641
Ленинградская область;462590552;457880373;25938;21284351;21037447;210374451;2229;2904;4097;45057;19;99791905;95987633;533395587;7042;251604295;251603825;1258108941;18429;417639;401559;2632440;177;1362490;1362490;8174948;413;864;864;4485;8;6;6;38;1;618347;563562;2915506;306;69735220;68850983;433647919;12048;12554531;12478886;4346;182383;164008;86;14857253;14753145;6009;4266573;4170509;4512;1887;1887;31;64566;64566;12;23987;23972;52;91623;68272;32;0;0;0;398242215;394430330;24714;267102153;264323977;24424;48135527;47972180;1578;1862814;1860731;403;10634222;10633432;3936;610098;555123;294;65818775;65090873;11454;3997247;3991703;832;400;400;1;8308;8308;35;49050718;49055721;783;96211432;94841141;29067;6800663;6519613;136;553289169;68078593;13615716;12970611;2594120;1018609;10002987;82164492;16432896;14724377;2944872;1038374;12449650;9944833;103118752;573523938;49929961
Липецкая область;229891504;224930367;17910;27549749;27006386;270039049;2265;-10902;5699;62690;18;40109028;36129721;200711623;4903;106968932;106968932;534844799;12565;37301;89669;587819;99;737694;737694;4426168;275;0;0;1287;2;14;14;104;2;228010;224340;1160724;183;42024062;41648316;286686385;7351;11431823;11390685;2719;155853;156469;45;12247393;12177345;3792;613720;592699;1383;28;28;8;5;5;5;577;568;38;6968;4989;13;5;5;0;239697769;235341381;17074;172789978;168805124;16927;12653407;12550968;575;1665766;1670170;212;12717663;12710866;2587;226043;221270;177;39028039;38721520;6722;684091;677831;350;471;471;2;10;8;2;277519;323203;113;19667048;18952722;18631;4288551;4167566;113;292362373;11885359;2377074;3554578;710920;133424;1532730;25919400;5183881;8503136;1700630;181062;3302189;5477727;275681;295710136;378909
Магаданская область;38192050;37420094;2019;897150;893943;8939428;331;0;0;0;0;8615357;7505434;41696855;649;21903392;21903392;109516955;1383;-57071;-57222;-375120;18;27660;27660;165961;29;653;653;3287;2;0;0;0;0;652895;647446;3361046;52;5526138;5296017;32587231;601;1889938;1807802;239;83;83;3;2064893;1981515;490;132511;131981;596;0;0;0;0;0;0;217;217;6;0;0;0;0;0;0;36691873;35380648;1887;30374323;29325854;1850;574744;575014;61;3623;3623;5;2190504;2128590;221;650442;644993;50;4577140;4381596;570;82501;82381;106;0;0;0;-928;0;0;11508213;11495258;243;7993379;7786840;2295;4997422;4959711;17;156092050;2757882;551574;196483;39297;59040;453237;6858921;1371781;203487;40697;60317;1270767;1954504;2182287;156358090;11668625
Московская область;3427626983;3385571958;178829;206876093;205424074;2054253908;14481;12696;9828;108086;84;716456261;689070375;3826031485;50090;1843647447;1843647448;9217733346;126989;4379563;4218034;27651580;776;12322020;12322020;73938423;1963;30699;30699;171709;29;274107;274107;1370718;14;1120012;1110173;5858512;905;570950726;561381003;3545476699;98842;59033617;55887769;32127;1855292;1775741;602;72329068;68777572;43611;18001060;16108075;11681;46198;41238;118;18504;18504;24;17624;17759;192;1020301;785677;397;2430;2437;38;3049292846;3015474284;172672;2088976842;2067153730;170795;321007310;318755761;13376;24776700;25131685;4225;64757267;63403801;29888;1094637;1084194;865;533948014;527328720;94875;15593613;15530256;3857;203535;203535;14;216767;205632;66;17823425;17873551;2501;440358564;428360798;184601;18702641;18238802;526;607642031;536211054;107242207;138152782;27630557;9467721;70143929;948764805;189752962;428077450;85615492;10855611;93281859;105242135;51647244;606821109;17223918
Мурманская область;81008578;80889007;7396;6926548;6889484;68894834;1573;1392;1366;15022;11;13293843;13222178;73456301;2094;39765744;39765744;198828277;4908;230590;226635;1484821;71;388444;388444;2330662;154;0;0;0;3;0;0;0;0;240919;238234;1206878;86;17464562;17454523;111248063;2813;2082266;2104594;930;342608;308744;12;2698936;2702154;1613;989354;987749;2693;423;326;17;0;0;0;1910;3297;31;0;0;0;-357;0;1;98711540;98720735;6911;79043304;79061995;6855;2500365;2498334;191;43842;44468;61;4552216;4550994;863;239834;237942;79;11390831;11388573;2690;940858;938156;217;0;0;0;0;0;0;3404877;3402143;105;22257672;22130724;9632;5590919;5300116;24;117063166;19357631;3871526;3712761;742553;438194;2690779;25012144;5002427;3742116;748424;445540;3808463;22720827;30739826;117063163;3402143
Нижегородская область;901407762;895182981;83268;43205938;42596568;425965670;6192;2134;2333;25655;57;184804625;180842823;1004682345;23139;500802141;500802140;2504010713;58228;1532211;1473102;9657006;433;6939908;6939908;41639448;1133;1998;1998;9926;21;0;0;0;0;686826;685632;3521504;402;129152886;128644479;800411973;37295;24043654;23043888;13745;2544167;2540113;297;34361849;33467035;19102;1950572;1884727;4244;1234;1268;42;130;130;9;1948;3274;66;4549432;121458;90;9287;9286;15;802782153;797901486;79339;603352733;598401372;79164;44478170;44417109;2954;2172501;2159493;967;29639416;30178116;12998;681884;680641;381;120525809;120106701;35473;1903937;1942425;1121;2190;2190;3;3930880;188610;21;48554276;49270814;1145;110645152;109732163;84307;7316684;7300426;153;479176202;126219053;24666225;25116528;5021402;4391080;15253743;201687057;39726478;52122745;10422644;4490132;24813702;24311252;149771391;479176200;48297282
Новгородская область;79717240;78904852;8178;6678990;6674125;66741229;852;1027;1036;11400;26;14122402;13398202;74434573;2312;41258642;41258642;206297370;5697;216615;199676;1308130;96;527070;527070;3162421;212;0;0;0;0;0;0;0;0;227647;225396;1156724;111;14166729;14144908;89043377;3586;1189744;1171880;1156;860327;848932;56;2518374;2475991;1866;344140;333967;859;73;64;6;0;0;0;425;425;27;47195;30081;11;0;0;0;76331265;75652802;7715;53140461;52765269;7647;7560483;7552100;367;308358;317768;182;1283358;1273568;1082;225229;223020;110;13479076;13195627;3408;273378;263934;215;0;0;1;9252;550;2;1743837;1740471;176;11447644;11211823;8539;581630;582006;34;90685036;11368825;2273763;1596651;319329;293529;1660905;15875958;3175191;1990177;398034;301250;2475907;821785;306205;90685035;1706883
Новосибирская область;573527621;567871451;88680;59652018;59469209;594658314;9163;38813;38801;426827;64;111068759;105956640;588598551;25236;291833237;291833237;1459153769;62142;155684;523876;3435531;411;1907583;1907583;11476353;1074;862;862;11005;14;0;0;0;1;277754;243786;1246662;238;92784087;92001894;611169063;38448;12678181;12613511;13714;1308595;1308753;165;15508595;15416217;19084;838927;797317;2965;104388;91403;36;134;134;16;9424;9424;50;316246;161298;133;175;190;13;514941238;510696909;86693;393183776;389420125;86100;19324201;19274144;3242;3381509;3352739;1087;14038402;14115592;13254;274018;239915;225;83782554;83317989;36471;807425;794829;581;1;1;4;217445;99544;34;18713902;18710929;844;65766893;64361483;89026;1790774;1716653;131;319158505;101944379;20388889;30859079;6171813;1830675;12386401;393639114;78727837;125181786;25036354;2361815;51329668;41609001;6672223;319178216;18354961
Омская область;231412793;231230975;29300;16786724;16778611;167786116;3995;4446;4435;48789;29;42418754;42424591;235692137;8059;125102962;125102962;625516248;20410;91441;100326;657684;124;453608;453608;2721653;337;0;0;0;3;0;0;0;0;236607;233541;1206966;170;35001365;34892274;220067257;11510;10490111;10404273;4167;115444;112825;121;11315141;11238925;6051;632365;624775;1669;1177;499;22;592;587;4;2566;2270;47;7757;1796;30;-21;-21;1;204191908;204601986;28095;155726737;156490124;27912;3855849;3844787;589;922440;917402;509;12071328;11973190;3968;233195;230079;160;30769455;30539321;10778;612458;606562;224;0;0;1;2075;843;6;694806;692837;564;35805474;35216508;30021;10936568;10929870;84;59736711;31018597;6203714;7070974;1414196;519252;4270266;54811462;10962286;28120189;5624039;524603;4813644;7193591;1832697;59736713;684561
Оренбургская область;284176474;282869510;20427;9973067;9895660;98956784;2609;1607;943;10364;23;60256430;59438878;330216120;5812;172584439;172584439;862908828;14050;669870;669276;4387462;131;1206232;1206232;7237591;332;7225;7225;36221;10;0;0;0;0;870052;844190;4333095;162;31471410;31149024;197440641;8457;5360735;5290006;3244;553428;554118;54;7137809;7058089;4620;287055;265819;1501;30;30;5;41;0;2;2283;1886;44;31474;17899;26;533;533;3;203203331;202532693;18903;162606588;162400471;18744;2316378;2309019;288;637937;637195;252;5676621;5647487;3026;864457;838565;165;30868542;30472609;7876;250903;249149;302;0;0;1;7027;2095;9;4300550;4297925;349;91554325;90873038;21253;9586752;9586932;77;112052170;20158094;4031620;4148999;829802;494541;2707277;163113835;32622770;138356898;27671383;552594;4398793;3746953;1609871;112779623;4387728
Орловская область;78057436;77377498;11013;10202955;10193528;101935263;1928;-5552;62;682;7;11922660;11954491;67011473;2901;36325048;36325048;182757296;7517;116603;117141;767921;60;630511;630511;3783073;181;0;0;0;0;0;0;0;0;92886;92557;477507;82;14904200;14699001;97432589;4550;3019716;3015506;1354;6642;6470;34;3256439;3251181;1992;257219;237353;733;13308;1054;5;0;0;0;24688;24688;32;3766;1739;8;765;765;1;72722375;72111560;10363;50531328;50570252;10270;3536917;3525699;309;375251;374785;295;2885347;2882278;1275;89113;88782;73;14438608;14427187;4301;214113;213471;132;200;200;1;54;0;1;189316;189150;106;9828886;9674408;11309;1099168;1099788;34;14598589;7875120;1575022;2874843;574967;101661;898394;9740632;1948125;2909737;581945;102505;1263675;1970240;181725;14631136;182600
Пензенская область;137599910;136528897;17195;15637419;15612274;156118462;2337;5843;5804;63851;13;25784188;25405907;141142821;4728;67660850;67174787;339450528;11828;206290;199732;1309349;127;799725;799725;4798305;364;0;0;0;0;0;0;0;0;149728;150134;765630;176;20125746;19999723;129833601;7902;6524656;6786906;2645;9622;8867;46;7226209;7175353;3825;93979;87968;1376;75;75;12;20;20;5;2302;2287;35;19099;2714;37;0;0;0;125425401;124408082;16562;96071462;95077319;16415;2583407;2554755;462;390802;401623;210;7609845;7584846;2422;150049;149801;173;18566492;18563464;7539;55341;76270;221;0;0;1;1303;212;4;44940;66528;104;17316328;17170860;17918;1526826;1527800;65;17296804;15496477;3099296;2240067;448012;147756;2503528;19360680;3872136;2379072;475813;159334;3236989;2314178;1006420;17296804;32068
Пермский край;514937419;513711796;51849;12678426;12754282;127543096;4005;525;274;3014;11;105252618;105038612;583589005;14907;295351402;295351402;1476758864;36728;944945;902271;5914882;326;2629414;2629414;15776495;791;12327;12327;72803;24;0;0;0;0;1475710;1475129;7576097;413;77223514;76523942;473135041;22545;15205944;15015843;9030;216887;218658;106;19358542;18981587;12306;1143364;1092006;3941;888;891;16;12;3;7;3902;6836;77;26642;22013;38;-148;178;11;422292023;421985243;49765;317995667;318375658;49374;9767353;9527907;1124;1111003;1108133;451;17881489;17748633;8415;1468232;1467638;404;72993548;72680347;21535;1098439;1091817;509;0;0;1;27777;27550;17;23014346;22992155;503;107297427;105818585;54764;8530473;8569651;172;507831056;61425691;12285140;14541827;2908366;1083592;8293182;123969101;24793821;43017120;8603425;1154514;15035882;39164945;3648243;507831059;22996714
Псковская область;56561914;55697773;9524;9395085;9340449;93404481;982;16034;16010;176091;12;10816746;10064503;55913954;2691;25520308;25520308;127600700;6681;34594;18795;123209;58;1583231;1583231;9499385;157;0;0;67;0;0;0;0;0;116011;115878;586629;91;7372647;7336387;50167742;3368;826208;823464;1030;2279;2279;30;1030944;1025718;1560;155224;153458;949;499;328;17;10;1;1;7759;8186;8;2364;1081;14;433;415;6;50450057;49692279;9095;38275672;37531768;8997;2931480;2942622;545;675379;674748;345;819382;815962;976;134739;134606;89;7492109;7464638;3177;121189;127934;140;0;0;0;142;131;6;2987039;2965748;477;6124557;6012337;9681;183980;183980;10;21366215;7656461;1531290;1558090;311618;161416;1058256;8625678;1725133;2165776;433155;167585;1124393;974405;233849;21422714;2980746
Ростовская область;622001810;617116590;62627;48973846;48205198;482050928;7636;39881;39663;436259;102;105632002;104350335;579626180;16872;298273068;298270069;1491506953;43353;2895532;2879124;18874266;378;6853067;6853067;41118363;1004;0;0;0;1;0;0;0;0;674308;662609;3405828;443;120384867;120196949;780587747;33703;31616719;31285886;11075;816037;827376;215;36295005;35628491;15280;604661;580181;2663;2151;2127;53;2591;2591;34;3924;4114;98;41820;12923;85;1502;1010;9;573872272;571751090;59826;398802842;396694107;59020;27605270;27298606;3626;2773399;2816046;1016;30441724;31711543;10242;655278;643495;431;114520481;112868381;32103;479084;499615;605;0;0;0;28697;12633;20;27289217;27443696;1295;77079203;75635436;62448;1038069;1110890;114;585938195;78825291;15765058;19271830;3854366;1623210;10287482;126938844;25387769;23931043;4786208;1700197;18901364;11798405;16270852;585938193;27400414
Рязанская область;201433346;199190845;22527;13851007;13626182;136261810;2805;5879;6041;66450;36;38934717;37175364;206529799;6064;108899492;108899492;544497458;15622;453370;456807;2994615;164;1715643;1715643;10293856;415;120;120;600;6;0;0;0;0;83425;83255;426885;172;32676061;32475091;204316314;9466;4344741;4300515;3337;43755;43667;61;5042902;4982686;4526;197390;185655;1406;364;260;12;8;8;1;5182;5168;45;11826;5212;22;118;0;3;168163522;166322422;21702;124848975;123243983;21509;6181360;6180376;623;593092;589299;245;4873812;4807169;3037;78164;77995;160;31623840;31457291;9114;141710;140014;274;0;0;0;1302;420;6;2396919;2396086;219;36718811;36298196;23303;370083;352786;38;36033969;12738598;2547722;2128237;425648;276502;1845572;32008593;6401722;4286810;857362;309534;5234826;6592299;241981;36033968;2385161
Самарская область;886130342;867961888;94706;29586246;29099823;291001410;7240;3074;2972;32686;28;200080119;183764275;1020909370;26600;498644846;498490346;2485585255;66632;3291148;2721238;17840735;359;8286664;8286664;49714924;891;1160;1160;7856;7;2;2;12;2;449622;441376;2280555;296;116509735;116039310;737833576;37653;27112197;27006295;12771;249234;237275;148;29274003;29110997;17168;1901175;1567885;2935;3765;3400;35;158;158;9;9285;8387;62;50810;18049;106;-977;-969;2;741547191;724640850;91641;569477422;553563693;91000;27835267;27316917;2054;2127561;2107545;666;28371262;28530807;12223;443166;434450;295;112114254;111283736;35399;1178264;1403705;876;7;7;3;41296;33957;25;7246866;7310334;880;154725863;152911260;94096;12566771;12546936;227;302153444;96218876;19243779;23850262;4770052;2365162;12108565;209977451;41995497;52506896;10501379;2475332;29018786;33031010;3896831;302153444;7619850
Саратовская область;270831361;269093162;33025;19245822;18608009;186074053;4055;13165;15200;167208;28;54021657;52635132;292416320;9266;135723327;135723327;678614736;22792;769502;709261;4649599;203;1534614;1534614;9207628;527;0;0;0;0;0;0;0;0;283244;282435;1445725;189;47481523;47241245;298302467;16302;10843243;9983050;5936;474724;461135;100;12476153;12332921;8061;222682;228112;1137;1543;1331;10;187;187;1;3382;7871;37;9654;4784;36;0;0;0;227680795;226330640;31870;168333746;166532619;31598;3762339;3751618;602;470384;462539;323;11867734;11796460;5513;281093;279589;183;43666685;43332813;15387;169387;174520;266;0;0;0;398;279;12;2162233;2160860;400;47343150;46913266;33146;2177460;2180804;56;52632756;30108000;6021600;6127281;1225454;1048549;3747597;46888694;9377739;7821279;1564254;1070418;6743067;7985960;431969;52636063;2155987
Сахалинская область;87969184;86646860;5289;4029537;3971586;39715865;817;8912;1962;21588;11;20605932;19698833;109254065;1549;47902466;47902740;238376083;3716;238358;216776;1398153;35;329496;335572;1976968;54;0;0;0;2;0;0;0;0;104185;103938;537711;62;11579117;11296486;73088317;2247;2803216;2673424;668;156715;156715;10;3300732;3208007;1185;1890283;1807104;903;222;227;4;2429;626;3;-196;106;8;8644;4579;12;0;0;0;91055678;90074965;4948;72990031;71507903;4864;3056771;3009152;467;10421;10421;18;2472123;2413141;641;104185;103938;58;11491596;11245283;2152;1739228;1739347;274;0;0;0;0;0;0;6494573;6455709;142;29456972;29074052;5756;1521061;1521061;28;203621959;12063563;2412714;1479702;295942;213795;1902977;220281072;44056216;162278080;32455617;239807;11360792;2371016;19095586;203621958;6286476
Свердловская область;1350390156;1323875247;122325;39532751;39426951;396261320;8314;42286;42287;465143;61;263310196;241138185;1339637307;34292;670516617;670517284;3352727829;86827;22779239;22399268;146841295;766;66994562;66994562;401971514;1835;4327;4327;29150;21;21346;21346;122514;3;1690606;1674540;8660661;666;230539217;224898033;1405517278;62590;48606995;48054687;24338;2601480;2590930;407;57760518;56774113;31854;1640913;1581004;7120;6471;6743;44;516;516;15;23474;23491;156;293370;126921;232;0;0;0;1238290060;1214057187;118512;909767267;891663294;117504;39153566;38737305;4411;12283122;12234730;1278;53795200;53769939;22644;1685192;1669053;654;216892512;211273324;60079;4592395;4560616;1481;1926;1926;6;94722;26549;76;23490957;22826288;1636;158231646;156134705;126672;6728894;6737214;330;683897131;173665794;34733157;54100575;10820116;5759702;18153339;508219761;101643953;241260608;48252126;6201245;47190582;60839212;7280954;683911788;22623362
