"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195"
"Алтайский край","326297539","326027719","28440","2146562","2146562","42930882","2062","51665","51665","1084960","109","106108","106108","1515830","40","3525","3525","53889","2","0","0","0","0","50678623","50652084","506520405","6230","20085","19921","213128","44","2550","204925590","204757800","1023722838","24151","19","0","0","0","0","1390280","1364547","8269180","440","72","72","362","1","185","185","927","2","308508","299572","1502735","224","55915142","55912763","369682733","13568","9877056","9857172","6573","25239","25239","19","10748895","10709373","10659","139080","138972","1178","0","0","0","685","685","20","99","99","3","22104","19651","46","2","2","1","282676825","282764731","26324","209714486","209840157","25724","6312457","6301132","737","1416961","1415801","473","11003162","10989036","5839","302247","295034","205","53853877","53850911","12659","101696","101317","159","0","0","0","0","0","0","1138497","1139634","175","55202637","54875556","28196","0","0","0","0","0","0","12494641","12524273","1133","1170726","1170826","265","121579484","0","55303377","11060675","13487783","2697559","1373075","6990041","101796","20359","31266","6253","4905","9201","4","0","11881856","2376372","5124123","1024824","26071","1325477","0","0","0","0","0","0","0","0","0","0","67185233","13437047","18611906","3722383","1399146","8315518","8695202","1739041","644183","128836","12519","1597686","1137","227","7","1","0","226","4","0","421629","9116831","0","0","0","0","121579484","1124849"
"Краснодарский край","1724189270","1723630854","78250","9876064","9876064","197523658","10072","267113","267113","5609382","559","1022337","1022337","14604814","334","24101","24101","368399","10","0","0","0","0","157649926","157605668","2649782180","10784","58755","59473","654207","88","4695","1041694083","1039822014","5199164847","63320","0","0","0","0","0","15182455","15172195","91033174","1245","294","306","1628","6","2013","2013","25109","8","1530543","1524477","7623878","619","286587625","286365631","1879307590","42885","95296603","97165503","20407","188371","188371","42","102876852","104510749","28922","2453732","2426187","1422","63","24","1","14836","14786","94","342442","342229","42","22399","15437","62","3209","3212","14","1587588001","1589124805","68626","1171018507","1173333210","65507","40229706","40333211","2983","7078755","7078214","1181","111568984","111154356","17742","1504061","1495180","589","254726211","254276620","39191","1455077","1446949","480","6967","6786","15","4392","4408","13","19811810","19813229","753","243688310","241426077","77397","0","0","0","0","0","0","124488422","124330781","1418","25325817","25474765","818","852218142","0","520509538","104101906","58189936","11637985","8345380","84118541","13616","2723","9776","1955","3","765","11","0","616900414","123380083","315591705","63118340","492586","59769157","0","0","0","0","0","0","0","0","0","0","1137409952","227481989","373781641","74756325","8837966","143887698","30290424","6058085","1261418","252283","65342","5740460","126834","25367","13486","2697","19","22651","33","0","76125135","106415559","356180","17547","22","0","852218142","19708546"
"Красноярский край","1058190567","1057502607","39659","3800242","3800242","76004970","3752","115665","115665","2426299","181","338137","338137","4830529","132","3188","3188","48727","2","0","0","0","0","35426567","35349490","353509816","4380","47019","39225","399639","60","1975","777247334","776914815","3884434114","34306","0","2157","2157","21592","1","2519869","2483462","14896082","540","2967","2967","22623","8","3411","3411","30589","2","2866140","2822536","14123186","260","165138175","165095513","1015067999","18417","66158691","66032180","10198","68221","68202","17","70683646","70536058","15198","440399","444596","1846","0","0","0","31783","31783","25","60955","60955","28","264919","248503","24","206","206","5","940854225","941186850","35676","705962784","706506285","34770","13936091","13935078","1057","655159","655847","360","62930432","62817918","8611","2853763","2812950","256","154117793","154078952","17035","379491","382003","529","1610","1610","3","4833","4833","4","22860444","22856051","383","239673501","238949672","39213","0","0","0","0","0","0","144387907","144671550","1277","82944308","82899990","358","1039762925","0","144359626","28871927","37329329","7465866","3756633","17649428","0","0","0","0","0","0","0","0","85592931","17118586","12888160","2577631","21143","14519812","0","0","0","0","0","0","0","0","0","0","229952557","45990513","50217489","10043497","3777776","32169240","36733428","7346686","1497497","299500","14381","7032805","7","1","0","0","0","1","1","0","2213113","38946541","27746","0","3","0","1039762925","20948984"
"Приморский край","720390664","719258597","31867","3830949","3830949","76919004","3536","107318","107318","2237258","198","238384","238384","3405488","90","80","80","1225","3","0","0","0","0","36963939","36926457","369234729","4567","2129","1948","21423","19","153","502939446","501136071","2505633597","26986","0","0","0","0","0","1235373","1235432","7412594","358","5432","5372","26861","9","6200","6200","45949","5","470696","469565","2347827","166","117253806","117247921","723815566","14418","41403144","42142897","6325","120187","120187","15","57348178","58063939","9460","697891","689319","1219","412","412","4","1023","1023","7","24656","24656","18","21511","3534","15","0","0","0","660587799","661928282","28320","375976996","376967485","27271","106591832","106553160","4458","18051082","18925922","183","38747423","38798030","5543","464195","462886","163","120032460","119984594","13181","360118","364942","290","248","271","1","105","15","2","14401767","14507974","804","96827204","94226344","31175","0","0","0","0","0","0","50573471","50560164","1349","6085945","6083874","322","531794541","0","104200282","20840056","17883155","3576628","2475994","14787434","434418","86884","98950","19790","91241","-24147","15","0","214374609","42874922","135209455","27041889","272953","15560080","0","0","0","0","0","0","0","0","0","0","318574891","63714978","153092610","30618517","2748947","30347514","12530806","2506160","378233","75646","30644","2399870","88737","17747","55834","11167","692","5888","18","0","37858314","50389120","82991","3955","14","0","531794541","14447591"
"Ставропольский край","373126154","373170418","23552","2563071","2563071","51241023","2458","59076","59076","1240353","114","256753","256753","3667901","97","7864","7864","120211","5","0","0","0","0","40373380","40360695","403617859","4351","74515","74146","815611","42","24695","234448295","234531820","1172515027","19445","0","0","0","0","0","1364054","1330908","7985450","380","2347","2347","13940","10","3589","3589","75369","2","480665","479300","2396500","211","77070549","77121296","527710930","11522","14983482","14944054","5148","56579","56579","17","16401814","16361955","8145","312073","323895","593","0","0","0","8121","8121","43","3803","3803","14","-43347","5318","21","-56","68","3","330686246","330631059","20723","232576334","232525299","20090","6754698","6773049","694","1467480","1469949","366","15194970","15235915","4449","481156","479527","214","73940224","73858478","10391","289637","287503","157","1057","1057","1","0","0","0","418180","413622","80","53471261","52974093","23557","0","0","0","0","0","0","11057139","10416862","342","2476175","2467329","215","61781609","0","81043953","16208791","10287879","2057574","1621122","12530095","270483","54097","267523","53505","782","-190","3","0","215003894","43000778","182952599","36590519","5312","6404947","0","0","0","0","0","0","0","0","0","0","296047847","59209569","193240478","38648093","1626434","18935042","17996952","3599392","118068","23614","11173","3564605","273529","54706","8555","1711","9298","43697","22","0","1894910","19891862","18227","0","4","0","61781609","410972"
"Хабаровский край","392790176","391969375","19308","2408658","2408658","48173430","2377","68885","68885","1446594","127","246335","246335","3519067","93","67","67","1019","2","0","0","0","0","20267669","20234914","202345064","2382","2802","4253","46784","17","-35","276048834","275735548","1378740419","16170","0","0","0","0","0","6925496","6911167","41467011","261","1985","1985","39710","1","22825","23713","169561","5","704885","702955","3514777","138","66753585","66375591","401036641","9158","16887151","16831792","4615","75663","75663","10","19362331","19280757","6956","279942","261673","1603","0","0","0","272","272","7","191","191","2","86320","86320","5","662","241","4","357493655","357110893","16654","274282805","274420089","16001","8299943","8277145","895","207408","207408","112","18598985","18555203","4027","704583","702631","136","55054286","54731852","8438","325553","217714","217","12030","12030","5","7816","7818","3","6737285","6732227","204","73934570","73377261","20045","0","0","0","0","0","0","44889762","44786844","620","4828277","4742450","156","352053901","0","51125030","10225008","14780333","2956070","1158770","6110168","5256","1051","51","10","3","1038","4","0","24972242","4994448","651891","130378","15190","4848880","0","0","0","0","0","0","0","0","0","0","76097272","15219456","15432224","3086448","1173960","10959048","3748889","749779","376880","75376","688875","-14472","281293","56259","28522","5704","2535","48020","21","0","6936662","10685551","71234","0","5","0","352053901","6731471"
"Забайкальский край","99815161","99162922","6117","999115","999115","19982969","1067","45021","45021","945434","68","111136","111136","1587660","31","0","0","0","0","0","0","0","0","5028697","4929039","49290539","755","7234","3506","38563","8","1517","69904798","69717704","348599688","4684","0","0","0","0","0","360725","332087","1992520","135","0","0","5442","0","0","0","0","0","1018589","1007764","5038819","85","15773272","15593117","95347149","2203","6044853","5956207","958","43910","43910","4","6568376","6422917","1718","208006","205918","1188","0","0","0","84","71","6","277","277","3","719","719","4","0","0","0","99686509","99264867","4917","72869517","72442994","4677","3061774","3056516","353","43789","42260","20","10533622","10541528","818","890508","901952","84","12124019","12139841","1901","163073","139570","127","208","208","1","0","0","0","17674472","17680043","115","17806260","17516562","6613","0","0","0","0","0","0","35099664","35053522","588","2082072","2063689","68","279444884","0","41502708","8300541","9902985","1980597","333767","5986177","744","149","0","0","0","149","3","0","46192697","9238540","546149","109230","2867","9126443","0","0","0","0","0","0","0","0","0","0","87695405","17539081","10449134","2089827","336634","15112620","6276357","1255272","1376545","275309","1966","977997","5423","1085","19","4","461","620","6","0","60569","6336926","27940","0","2","0","279444884","17680043"
"Амурская область","204487230","204299975","9162","1227123","1227123","24541570","1201","55971","55971","1175396","69","73762","73762","1053739","27","5546","5546","84770","2","0","0","0","0","13930510","13928270","139280716","1660","277746","277747","3055202","31","16","139964756","139732091","698667548","7236","0","0","0","0","0","188207","188631","1131786","118","9387","8136","27813","4","0","0","0","0","637943","638090","3190448","57","24416345","24603670","157949433","3497","23116538","22987744","1546","0","0","0","23709260","23569014","2596","1365008","1365750","632","0","0","0","3072","3072","7","192","137","5","74","74","1","44","44","3","196033541","196257205","7893","140961737","140994415","7588","8378491","8375182","1169","142693","142694","57","23612560","23866544","1385","574764","574911","53","20846233","20833418","3125","1516663","1469631","97","0","0","0","0","0","0","4220035","4239518","116","61195741","60880578","8966","0","0","0","0","0","0","55522103","55635667","684","31614640","31681183","89","151349921","0","107729068","21545814","71525412","14305082","464850","6775882","0","0","0","0","0","0","0","0","78883568","15776715","62779954","12555990","210","3220515","0","0","0","0","0","0","0","0","0","0","186612636","37322529","134305366","26861072","465060","9996397","2154982","430996","78382","15677","52","415267","181739","36348","0","0","0","36348","2","0","462390","2617372","11915","0","2","0","151349921","4239527"
"Архангельская область","176897201","176806725","7746","1496577","1496577","29923513","1521","26878","26878","564430","55","67520","67520","965477","38","322","322","4918","3","0","0","0","0","6045751","6055946","60559519","1022","8207","8207","90282","5","83","124277738","124229830","621130194","5945","0","0","0","0","0","293362","292449","1754693","165","897","988","19351","1","645","645","3871","1","347695","347381","1710105","122","34674248","34666356","212483967","3646","7528635","7506478","1182","38596","38596","12","9658305","9615076","2337","89358","79955","1169","0","0","0","352","348","22","443","443","4","2071","1734","5","98","98","3","147311823","147418814","6341","92593562","92736752","5978","709741","705865","74","156161","155525","70","8862581","8902654","1015","312444","311261","118","44622347","44560949","3160","54453","45272","218","645","645","1","119","119","1","3611178","3619510","61","41911015","41663187","8369","0","0","0","0","0","0","15826245","15792666","249","2638009","2639531","109","99863706","0","33167221","6633445","7994350","1598871","1425846","3608728","5952","1190","0","0","0","1190","1","0","9691702","1938340","151084","30217","1678","1906445","0","0","0","0","0","0","0","0","0","0","42858923","8571785","8145434","1629088","1427524","5515173","2401601","480320","96415","19283","13729","447308","61800","12360","0","0","0","12360","2","0","8361129","10762730","0","0","0","0","99863706","3613440"
"Астраханская область","70828043","70528483","5559","1033617","1033617","20673611","966","33703","33703","707762","58","92794","92794","1325626","26","4","4","62","1","0","0","0","0","2861233","2853854","28533941","726","7015","9092","100010","18","108","51783088","51656796","258283425","4219","0","0","0","0","0","888433","887127","5322174","106","37","37","2152","1","58","3","15243","1","11654","11654","58270","31","10589833","10439949","65578435","2649","3007177","3004021","950","18","18","1","3526477","3509592","1562","156294","154645","221","0","0","0","10","10","1","0","0","0","14047","12503","11","128","128","2","49459399","49246515","4673","34092786","34018056","4400","2135117","2132164","249","195921","195974","72","3422732","3418754","867","11654","11654","31","9511757","9380582","2290","88862","88838","34","89","89","1","218","218","3","8044328","8044236","162","24858931","24777323","5328","0","0","0","0","0","0","11339035","11346630","366","636076","635659","70","275431707","0","16120463","3224095","1092727","218545","290142","2715408","548","110","0","0","0","110","3","0","1324486","264898","161149","32229","1911","230758","0","0","0","0","0","0","0","0","0","0","17444949","3488993","1253876","250774","292053","2946166","2873152","574630","411382","82276","4729","487625","137081","27416","0","0","0","27416","6","0","523746","3396898","0","0","0","0","275431707","8030644"
"Белгородская область","452298354","451836487","23628","1395806","1395806","27916726","1391","27190","27190","570996","46","93605","93605","1337219","38","0","0","0","0","0","0","0","0","100142039","100243599","1002443274","3445","20354","17247","189720","25","-70","262053350","261324288","1306613484","21092","0","0","0","0","0","2801694","2856833","17146689","329","12696","12696","81948","7","0","0","0","0","722337","721459","3607294","215","63533462","63637393","454461386","11610","20485286","20479798","6206","14189","14188","17","21530403","21518968","9333","223288","220804","973","4","4","1","4618","4618","22","5624","5867","13","178383","159466","20","5","5","1","398189150","397952213","22100","294567311","294443477","21658","20716866","20713366","833","1958643","1914545","660","19543833","19429415","5392","716510","715567","203","60676961","60721169","10906","204312","203320","158","0","0","0","-151","15","1","740757","690718","73","77335637","77166150","23729","0","0","0","0","0","0","23401101","23457084","461","2771894","2772096","257","210987188","0","30446492","6089295","3012101","602420","538314","4948561","29656","5931","16590","3318","0","2613","7","0","41980522","8396106","299066","59814","7656","8328636","0","0","0","0","0","0","0","0","0","0","72427014","14485401","3311167","662234","545970","13277197","3666708","733342","94372","18873","2044","712425","89900","17980","7072","1414","0","16566","6","0","1886649","5553357","2947","0","3","0","210987188","672373"
"Брянская область","209634315","209262405","10584","1103517","1103517","22070340","1062","29540","29540","620333","70","84610","84610","1208711","23","6856","6856","104792","2","0","0","0","0","26528591","26258953","262589525","1672","6723","6723","73958","10","20","121078158","121050299","605262285","9000","0","0","0","0","0","1375483","1374841","8249048","220","0","0","1023","0","0","0","0","0","622452","620794","3103911","100","47216852","47202688","321742144","5176","10577189","10580482","2085","182011","181787","8","11581435","11523532","3548","201782","201263","615","0","0","0","709","709","20","28221","28048","18","16823","15442","13","1","1","1","174665495","174641867","9421","110765219","110736594","9117","3342785","3341199","348","5326145","5335508","884","9407998","9401538","1797","622452","620794","100","45016126","45021711","4763","189513","189038","172","0","0","1","0","0","0","473736","473174","167","40125741","39754937","10688","0","0","0","0","0","0","5370360","5359737","322","2011060","2011456","99","31980752","0","22563243","4512649","3168120","633623","569280","3309746","0","0","0","0","0","0","0","0","16364516","3272902","24854","4970","4232","3263700","0","0","0","0","0","0","0","0","0","0","38927759","7785551","3192974","638593","573512","6573446","3046836","609369","60708","12141","17653","579575","10851","2170","0","0","0","2170","5","0","280371","3327207","527","0","1","0","31980752","458164"
"Владимирская область","301555444","301467915","15455","1646856","1646856","32937135","1683","13498","13498","283455","52","82387","82387","1176954","37","47","47","720","2","0","0","0","0","32675148","32665395","326653936","1765","2279","2279","25067","9","3","199326420","199302134","996638293","13210","0","0","0","0","0","1244954","1245404","7472424","281","505","505","4010","1","0","0","0","0","325954","325830","1629151","147","56473475","56448741","354060135","8297","8015781","7992621","3506","3768","3768","23","9755167","9726085","5592","1266827","1261650","845","33","33","1","874","874","22","5304","2928","9","10911","9195","34","0","0","0","251908836","251969528","13938","164698945","164776614","13461","24412548","24457471","687","1046267","1046131","467","8942143","8931477","3083","324239","322993","140","51286651","51241978","7745","1202842","1198038","186","0","0","0","1316","1316","2","194602","196028","86","55590749","55444901","15753","0","0","0","0","0","0","4808955","4819512","261","618786","619071","201","46310699","0","34702814","6940562","8017922","1603580","588815","4748167","204","41","12","2","0","39","2","0","7229906","1445981","519244","103847","8224","1333910","0","0","0","0","0","0","0","0","0","0","41932720","8386543","8537166","1707427","597039","6082077","13019179","2603836","459190","91837","21327","2490672","2768","554","0","0","8","546","5","0","3596003","16615182","0","0","0","0","46310699","192238"
"Волгоградская область","309179454","308764691","18394","1505363","1505363","30114578","1612","57785","57785","1213478","90","90147","90147","1287809","29","5330","5330","81473","2","0","0","0","0","24064171","24067650","240676228","3095","97803","97803","1075837","44","50","212430261","212058786","1060306230","15304","0","0","0","0","0","7840204","7820411","46922464","449","0","0","0","0","0","0","0","0","833483","830191","4150955","150","49494199","49522919","319175151","9915","11155086","11115039","4407","66176","66931","26","12760451","12707661","6652","227510","228484","1615","-15","0","0","551","494","31","804","788","10","6267","6266","15","0","0","0","251166594","251258929","16427","178258710","178408372","15919","10283242","10281250","477","1194642","1194642","271","10974725","10946646","3811","833036","829755","144","49505943","49493040","9227","115908","104263","187","0","0","0","0","0","0","411381","411766","83","72912289","72409699","19198","0","0","0","0","0","0","15028811","15032681","208","3690590","3676139","158","56536273","0","61666887","12333377","17583451","3516692","1737533","7079152","130","26","0","0","0","26","2","0","9520561","1904112","1706511","341303","31523","1531286","0","0","0","0","0","0","0","0","0","0","71187448","14237489","19289962","3857995","1769056","8610438","6306959","1261390","167245","33449","1612","1226329","933","187","2","0","0","187","2","0","1077341","7384300","370","0","1","0","56536273","409664"
"Вологодская область","389075865","388747695","17214","1352554","1352554","27051079","1417","37470","37470","784073","78","79278","79278","1132542","33","0","0","0","0","0","0","0","0","16993011","16995413","169954389","1835","6815","6815","74970","14","-3","283009830","283031692","1415199094","15321","0","854","854","5123","1","1960194","1960132","11760794","277","0","0","4","0","0","0","0","0","2772054","2771898","13842422","182","71068144","70686623","431174746","7505","10240201","10272228","4053","4813","4813","6","11795413","11824662","6211","76687","87246","768","0","0","0","73","73","9","385","385","5","33720","26267","14","129","129","3","390626364","390307663","15773","286647943","286899095","15405","13188466","13199177","273","4409452","4409952","232","11921750","11915280","3644","2761429","2761269","179","71631056","71055562","6927","69908","69244","156","68","68","1","4124","0","0","349285","348386","68","40434692","40427180","17446","0","0","0","0","0","0","42182817","42178017","268","9576280","9573774","180","336145853","0","38488356","7697670","3402279","680458","193210","6824002","11755","2351","172","34","0","2317","5","0","258047382","51609478","147829403","29565880","76813","21966785","0","0","0","0","0","0","0","0","0","0","296535738","59307148","151231682","30246338","270023","28790787","8826670","1765333","94556","18912","186","1746235","3725","745","0","0","0","745","9","0","1119443","9946113","32128","2461","4","0","336145853","337200"
"Воронежская область","587301654","585450185","38998","3018603","3018603","95015577","2898","21049","21049","442022","74","276387","276387","3948871","75","0","0","4","1","0","0","0","0","85753323","85659879","856598754","5712","-734","576","6337","10","132","335597295","333972109","1669860176","34137","-165","15","15","87","1","2931567","2942780","17654514","582","0","0","0","0","0","0","0","0","369677","369693","1848465","193","126925344","126893071","855145430","19905","28967010","28864349","9926","26657","26274","21","32409192","32295915","14391","249516","244841","1151","0","0","0","2765","2727","19","8948","8937","39","8965","8285","31","0","0","0","512681211","511516668","35752","360833152","359622378","34898","10542108","10540890","988","2302810","2308508","865","33224567","33269007","8779","250924","250906","184","105349580","105240219","18577","230619","214222","245","0","0","0","0","0","0","806396","806396","111","90604673","89905936","39022","0","0","0","0","0","0","16440633","16434232","343","1913662","1912939","381","84272132","0","115698173","23139635","17474532","3494906","1907525","17737204","0","0","0","0","0","0","0","0","217714906","43542981","175207926","35041585","7149","8494247","0","0","0","0","0","0","0","0","0","0","333413079","66682616","192682458","38536491","1914674","26231451","13867176","2773434","158913","31783","20880","2720771","0","0","0","0","0","0","0","0","3118558","16985734","0","0","0","0","84272132","802325"
"Ивановская область","195570631","195277047","16271","2458640","2458640","49172805","2012","63210","63210","1325869","105","696466","696466","9949519","70","10841","10841","165717","4","0","0","0","0","6904414","6891393","68913932","1687","34980","34980","384783","15","7","135081929","134933509","675586713","13724","0","0","0","0","0","619137","617766","3706596","294","19155","19155","99755","8","78","78","389","2","277434","279736","1398681","60","34881287","34762035","213717205","7107","9431164","9435891","2834","4607518","4602734","13","14548966","14535144","4513","163904","163492","390","0","0","0","1320","1320","17","4221","4313","4","32686","22494","27","0","0","0","163899416","164266101","14436","106367675","106688056","14026","13873962","13880035","931","1179050","1177507","336","8161845","8223339","2609","277359","279662","57","33973562","33948251","6517","115376","115070","86","0","0","0","18036","14510","6","8329492","8335527","43","26431128","25771592","16313","0","0","0","0","0","0","2891431","2895437","137","340287","331712","115","75015929","0","21578640","4315727","3491094","698217","489500","3128010","29560","5912","12113","2423","2540","949","1","0","17479858","3495971","437095","87420","85628","3322923","0","0","0","0","0","0","0","0","0","0","39058498","7811698","3928189","785637","575128","6450933","2166313","433263","498399","99680","1588","331995","0","0","0","0","0","0","0","0","379896","2546209","3723","0","3","0","75015929","8324818"
"Иркутская область","652527017","651818935","26416","2903042","2903042","58060063","2877","88906","88906","1867035","124","241316","241316","3447370","87","10411","10411","159135","2","0","0","0","0","19971020","19924980","199248006","3032","26251","26251","288763","29","26","461148452","461089601","2305452896","22588","0","0","0","0","0","1233747","1165826","6994956","435","0","0","5283","0","0","0","0","0","6403376","6401301","32006504","206","123097684","122618094","742783486","12370","35627698","35591541","6234","-1322","281","5","37396809","37348215","9899","361359","356341","1787","162","162","3","782","782","15","2600","2508","12","36512","30900","23","1214","1214","4","556291031","555951118","23374","376285990","376475580","22679","17251241","17261026","860","482727","490805","203","37832951","37674111","5439","5444749","5442376","206","118735241","118355668","11287","255522","251588","304","0","0","0","-18484","14","1","30875371","30811738","300","144177043","143785607","26888","0","0","0","0","0","0","78334913","78273207","783","11079646","11236472","215","579368347","0","86277124","17255422","19682353","3936472","987712","12331238","34392","6878","0","0","0","6878","2","0","56209224","11241846","5439900","1087980","13677","10140189","0","0","0","0","0","0","0","0","0","0","142486348","28497268","25122253","5024452","1001389","22471427","6709762","1341953","531570","106315","5528","1230110","63619","12724","0","0","0","12724","2","0","1454068","8163830","22157","0","1","0","579368347","27176226"
"Калининградская область","325688853","325227131","13785","3453687","3453687","69077146","3256","120907","120907","2539055","190","378748","378748","5410680","160","11844","11844","181045","11","0","0","0","0","39410406","39395174","394522567","1802","24546","24535","269887","23","1011","190315902","190440588","952225360","9708","0","0","0","0","0","1067501","1031221","6186351","262","1419","1419","28124","6","337","337","6731","2","316978","315612","1578062","98","79621657","79587301","516658005","6735","9697993","9476605","1971","498","498","4","10416850","10199009","3385","311635","311637","534","0","0","1","742","742","18","10513","10513","29","7440","7440","16","0","0","1","263580788","263536206","11197","163674081","163634209","10324","9645294","9666165","898","2069792","2084615","515","12779731","12781435","1802","314060","312694","97","74503027","74458914","5770","150343","157754","189","0","0","0","991","991","3","7593577","7581469","331","75255964","74912614","13515","0","0","0","0","0","0","20318064","20379006","608","1126839","1125991","115","145793516","0","76123451","15224690","11980536","2396106","1051688","11776896","219627","43925","66209","13242","4622","26061","7","0","512022479","102404495","302521946","60504389","489165","41410941","0","0","0","0","0","0","0","0","0","0","588145930","117629185","314502482","62900495","1540853","53187837","370698004","74139602","351175731","70235145","14665","3889792","385268","77054","259317","51863","7102","18089","18","0","21064933","391762937","46234","0","2","0","145793516","7573471"
"Калужская область","445521155","439526171","16200","1301466","1301466","26029532","1296","20412","20412","428650","54","134249","134249","1917836","38","423","423","6465","2","0","0","0","0","31448298","31441809","314418089","1438","2965","2965","32616","4","70","271746508","271782963","1358913730","14232","0","0","0","0","0","4603929","4601928","27611566","238","284","261","2982","4","0","0","0","0","179356","181528","920012","114","111867255","105890522","647366872","8843","22750821","22711604","4002","34427","34427","13","24215953","24167564","5851","394708","394831","726","4389","4389","2","894","894","22","32791","32787","33","14504","13819","42","58","58","2","387773591","382310807","14452","224397180","225094760","13984","39759495","39775903","814","2405292","2410285","501","24839774","24880604","3509","177159","171241","109","95813967","89599432","8355","380172","378415","271","167","167","1","0","0","0","630856","630964","69","64868938","64307096","16287","0","0","0","0","0","0","7335884","7252260","313","1343338","1346639","224","39574321","0","44800096","8960017","7365345","1473067","516095","6970855","348","70","0","0","0","70","2","0","2786977599","557395519","2733657932","546731586","122686","10541247","0","0","0","0","0","0","0","0","0","0","2831777695","566355536","2741023277","548204653","638781","17512102","28673156","5734631","21288755","4257752","17709","1459170","65733","13147","0","0","0","13147","6","0","929349","29602505","33426","0","3","0","39574321","626106"
"Камчатский край","67264384","67150452","3684","1006022","1006022","20129577","975","5189","5189","108962","9","42931","42931","613298","22","0","0","0","0","0","0","0","0","8897444","8897491","88974909","913","4330","4330","47632","2","0","39707329","39599269","197966532","2473","0","0","0","0","0","134609","134489","806934","34","10621","10621","53105","1","0","0","0","0","1055747","1056090","5280450","80","9638692","9634339","69079033","1496","6461081","6459037","549","78697","74623","4","6772819","6770015","978","53654","53392","152","0","0","0","0","0","0","212","212","2","12547","0","0","0","0","0","65786679","65680397","2827","47825921","47794240","2679","1385906","1385538","176","11658","11766","9","6223049","6221059","481","1058246","1056090","80","9238763","9169143","1233","43137","42561","70","0","0","0","3637","0","0","1999416","2002829","70","13142013","13052081","3594","0","0","0","0","0","0","13546923","13477227","260","1832200","1792271","78","129325915","0","8450080","1690017","1485137","297025","88948","1304044","0","0","0","0","0","0","0","0","8359139","1671827","418882","83776","6157","1581894","0","0","0","0","0","0","0","0","0","0","16809219","3361844","1904019","380801","95105","2885938","639401","127881","144267","28853","8178","90850","0","0","0","0","0","0","0","0","10149544","10788945","0","0","0","0","129325915","1992717"
"Кемеровская область - Кузбасс","679625433","679060910","21382","2366585","2366585","47331692","2076","53425","53425","1121902","81","160483","160483","2292612","53","0","0","0","0","0","0","0","0","13272971","13230994","132303965","2080","6527","2435","24557","5","2","502733259","502610148","2513057437","18534","0","0","0","0","0","11172958","11169216","67015294","426","901","901","18013","1","0","0","0","0","3929793","3983986","19919932","292","102542088","102459933","622460874","9460","39374372","39358748","4473","1214555","1214555","17","43498643","43240295","7276","206116","205154","1150","0","0","0","1045","1045","11","8666","8666","6","549489","547555","40","-32","4","2","618013630","618193363","18749","482139073","482391238","18195","9678426","9678550","649","2617179","2618917","258","39978412","39855598","3774","3798683","3852433","285","79863664","79858354","8786","145563","145006","290","0","0","0","90017","88057","22","50208640","50232947","214","105947179","105211271","21388","0","0","0","0","0","0","93810413","93832711","468","9613100","9619273","265","753667058","0","73123175","14624636","14876123","2975223","1558366","10091047","741","148","0","0","0","148","3","0","119356861","23871372","14917489","2983498","114675","20773199","0","0","0","0","0","0","0","0","0","0","192480036","38496008","29793612","5958721","1673041","30864246","13539164","2707834","851736","170347","4353","2533134","734","147","734","147","0","0","1","0","903011","14442175","0","0","0","0","753667058","49539292"
