"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Ленинградская область","6 543","","0","0","740","0","63 593","631","11","4 655","8 545","2 827","2 198","1 206","124","30","12","83","1 984","810","973","8 197","1 352","1 475","8 020","12 547","245","304","42 367","196","110","3","1","7","14","68","29","9","6 349","33 349","21 066","33 016","66 876","17 538","4","5","292","12 378","18 334","1 868","38 188","10 431","20 272","193 849","226","1 072","456 277","462","6 577","16","46","60","523","88","1 131","477","0","0","28 659",""
"Липецкая область","4 688","","0","0","145","0","51 776","129","14","5 384","5 670","1 653","1 400","682","58","29","7","17","2 154","783","1 093","6 192","918","1 539","6 949","6 988","69","149","34 468","74","27","0","1","2","9","1","0","14","6 147","17 776","13 390","21 815","36 825","8 702","3","2","63","13 013","17 782","2 200","29 100","7 011","21 561","211 133","64","571","397 821","159","1 229","0","67","38","910","9","0","34","0","0","11 547",""
"Магаданская область","946","","0","0","10","0","18 384","390","36","323","1 243","270","253","374","17","7","6","0","392","361","160","1 895","407","907","3 115","6 622","88","191","9 713","188","48","1","0","0","0","10","24","28","179","1 525","656","1 271","5 760","742","0","1","0","1 115","3 903","322","9 064","3 366","12 607","74 811","52","548","114 582","224","840","7","0","0","0","104","752","3 529","0","0","3 875",""
"Московская область","35 000","","0","0","113","1","319 870","858","210","21 134","46 436","15 142","12 536","7 622","837","241","63","414","11 757","5 709","6 541","48 294","10 366","8 459","48 715","61 509","494","1 051","243 436","364","192","10","5","36","53","88","11","190","15 732","171 768","116 319","188 969","438 324","126 355","40","25","1 730","62 581","117 198","12 128","183 378","63 101","108 638","1 220 016","422","4 055","2 699 946","1 611","9 245","39","634","236","1 971","381","496","152 182","0","0","31 242",""
"Мурманская область","2 434","","0","1","22","0","23 520","1 242","12","2 121","3 057","717","574","374","24","42","5","9","1 307","608","263","3 070","515","722","2 311","4 579","339","626","15 694","433","199","2","2","1","4","39","116","12","1 954","7 774","4 106","6 780","20 001","3 795","2","1","22","5 328","5 755","415","11 480","3 938","10 169","65 977","140","1 468","143 700","288","7 339","12","432","11","126","16 888","40 517","2 020","0","X","4 919",""
"Нижегородская область","13 584","","0","0","2 077","0","131 143","2 783","21","7 377","13 291","4 774","4 686","2 298","221","118","14","107","3 818","1 566","1 987","17 777","3 278","3 119","15 455","15 561","273","389","79 663","156","162","2","2","2","15","509","753","16","12 192","46 137","34 439","72 753","128 145","33 167","11","5","431","19 380","25 592","3 605","73 212","22 713","39 021","417 149","247","1 570","894 785","316","3 953","1","98","23","775","33 242","34 975","657","0","0","300 393",""
"Новгородская область","2 650","","0","0","40","0","24 086","253","9","2 301","2 621","765","594","265","18","28","2","9","910","336","554","4 074","673","676","2 849","4 130","121","157","16 657","130","22","2","1","1","3","2","14","9","2 770","7 983","5 714","8 508","12 291","1 986","3","1","24","5 330","8 382","1 134","19 344","5 367","9 470","86 102","104","614","172 425","219","691","25","252","18","185","3","382","94","0","0","806",""
"Новосибирская область","13 787","","0","0","508","0","104 536","1 738","72","6 689","13 521","4 350","3 975","2 648","219","73","24","116","4 020","907","1 877","13 830","2 201","2 394","12 112","15 804","394","863","68 736","345","141","3","3","13","29","147","111","61","5 560","25 809","31 004","57 101","133 151","37 499","5","5","302","22 746","21 944","3 775","63 316","16 985","32 450","373 985","319","2 252","788 138","486","2 702","7","1 560","90","890","2 867","2 113","2 673","0","0","51 394",""
"Омская область","7 008","","0","0","55","0","62 430","2 518","33","5 882","6 594","1 703","1 486","1 138","65","65","11","39","3 259","337","1 571","8 617","1 141","2 324","6 639","9 513","249","267","40 805","109","22","4","2","1","5","387","288","28","3 135","11 278","8 320","13 978","35 666","6 146","4","2","97","7 390","2 732","2 539","30 307","7 225","24 670","136 458","131","610","283 802","134","570","2","167","9","265","9 162","8 372","1 279","0","0","14 161",""
"Оренбургская область","5 190","","0","0","1 755","2 415","72 695","122","21","3 789","5 644","2 027","1 682","1 034","59","31","6","25","2 395","762","1 434","9 371","1 301","2 987","8 166","9 808","165","513","40 654","53","10","0","0","0","4","0","1","20","1 279","9 207","15 937","25 232","52 612","9 335","1","1","78","12 715","15 669","2 497","40 443","9 261","36 967","231 672","155","1 946","453 569","120","177","0","0","0","261","0","12","2 735","0","0","48 175",""
