GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43
  Тюменская область;139 545 446;86 212 332;112 494 594;54 515 226;414 844;444 207;24 252 262;40 293 971;29 412 716;32 295 381;366 909;577 614;1 477 953;1 609 021;146 132;297 571;0;0;220 713;280 377;1 145 729;1 499 596;769 792;210 708;7 204;6 055;1 086 312;1 816 090;20 851;37 961;5 299;14 013;14 838;10 265;2 451;2 606;4 302;1 903;207;143;2 374;9 316;10 051;8 045
  Ульяновская область;45 218 220;16 257 903;40 601 659;14 357 529;123 594;8 888;28 468 401;40 519 514;4 900 337;2 002 070;1 188 306;1 478 881;563 377;220 741;418 569;518 457;0;0;769 722;960 413;495 025;194 500;177 211;51 654;6 099;551;519 811;890 666;61 614;13 194;5 593;12 559;4 909;2 079;2 448;2 972;1 632;490;177;26;528;2 178;344;209
  Челябинская область;140 141 420;49 175 030;128 147 079;42 913 619;682 159;288 289;69 033 622;104 553 311;14 223 830;6 562 789;3 822 401;5 812 858;1 487 796;667 801;1 334 601;1 680 489;0;0;2 487 803;4 132 368;1 204 650;595 491;706 693;149 112;24 951;11 640;319 740;329 228;132 446;18 220;15 940;38 360;14 947;6 924;6 007;8 595;3 894;1 889;698;86;573;1 459;4 602;2 376
  Ярославская область;61 175 405;14 414 827;57 016 645;12 926 268;882 705;71 354;27 349 474;36 425 115;5 040 182;1 696 642;1 532 394;2 064 485;670 701;211 049;530 424;594 461;0;0;1 001 968;1 469 456;550 344;185 507;295 142;53 982;56 987;1 121;113 174;100 393;11 142;1 189;7 169;12 519;6 966;2 195;2 872;2 563;1 965;504;46;8;186;378;80;55
  г. Москва;1 339 172 693;201 648 955;1 232 497 651;175 975 185;6 454 012;1 573 903;957 556 499;1 182 605 033;130 942 797;27 368 408;57 448 798;70 432 922;19 559 981;3 999 532;19 243 481;15 392 482;189 665;341 982;38 015 651;54 696 377;17 807 105;3 824 018;4 602 298;425 828;333 639;63 235;0;0;475 353;64 257;108 054;236 107;92 430;21 805;34 591;42 668;20 296;5 769;1 772;177;0;0;493;129
  г.Санкт-Петербург;742 940 230;201 735 045;624 402 801;145 497 324;2 931 522;993 395;230 999 568;356 615 134;130 829 626;60 041 238;13 543 500;21 040 394;9 098 419;4 133 995;4 786 415;5 244 658;0;0;8 756 909;15 796 035;7 749 411;3 913 997;3 298 930;440 600;68 770;32 069;316 738;245 376;116 022;73 130;34 120;95 821;57 961;24 750;9 826;15 262;10 807;5 792;533;200;576;1 236;44 391;17 763
  г.Севастополь;14 489 596;4 854 802;12 962 980;4 210 394;78 210;14 584;18 957 167;31 675 324;1 706 364;663 324;660 146;1 094 490;158 756;59 164;235 926;425 681;0;0;424 206;668 813;128 080;48 888;69 613;23 962;2 840;551;477 284;794 880;11 577;0;4 840;13 392;1 491;709;2 407;4 498;528;232;71;7;2 344;8 647;900;427
  Еврейская автономная область;4 940 920;1 807 986;4 554 493;1 593 172;48 670;24 385;2 606 487;3 263 009;429 196;205 176;95 678;149 892;53 043;23 621;37 636;48 796;0;0;58 042;101 169;42 250;21 094;29 462;6 924;3 007;104;60 615;45 089;53;2 142;449;958;511;229;196;183;164;39;1;1;84;209;75;40
  Ненецкий автономный округ;997 907;134 501;971 330;111 184;4 630;6 540;2 810 511;4 968 379;57 257;19 252;37 629;53 928;3 509;1 582;16 205;26 376;0;0;21 424;27 591;1 977;1 409;8 604;533;0;68;139 974;243 402;596;0;362;863;82;37;152;200;19;15;14;0;208;553;42;16
  Ханты-Мансийский автономный округ - Югра;79 077 594;40 535 950;68 146 708;28 563 121;348 662;127 070;36 360 067;56 046 039;12 052 742;12 350 387;1 984 209;3 243 170;690 351;643 295;734 719;806 335;0;0;1 249 490;2 431 254;513 000;586 141;480 975;128 290;6 506;7 290;196 590;98 524;22 805;13 181;7 181;18 307;6 933;4 645;3 274;5 009;2 132;1 283;146;33;455;631;3 605;2 772
  Чукотский автономный округ;1 759 578;226 518;1 722 185;212 272;15 297;19 531;2 223 423;2 564 856;106 985;17 562;31 646;37 822;10 375;1 081;12 228;13 828;0;0;19 418;23 995;7 319;518;13 371;2 027;29;1;101 759;115 572;508;0;243;455;102;41;107;95;27;15;7;0;96;278;40;17
  Ямало-Ненецкий автономный округ;34 280 291;27 155 991;27 713 783;17 839 921;191 464;96 735;10 280 494;14 962 894;7 061 312;9 771 124;526 422;756 661;356 903;498 593;205 071;201 871;0;0;321 350;555 483;287 963;458 861;175 765;74 890;2 030;404;91 333;113 420;3 606;3 032;1 338;4 635;2 392;3 163;529;1 308;622;756;36;25;340;1 305;1 854;2 528
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
