"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57"
"Псковская область","56348562","15776685","51393349","13335044","148480","70031","20110764","36902736","5469307","2492483","1191388","2172912","719942","300122","432553","611145","0","0","758835","1561704","629047","287447","225936","30169","12525","2416","27964","58976","88700","72765","0","0","2373","8715","2987","1304","937","2031","692","331","0","0","12","25","265","106","8","11","31","6","0","0","0","0","0","0","0","0"
"Ростовская область","298079021","258150107","260663754","212833549","1102822","559203","124423904","421084296","40251456","46964433","7307704","25262394","4247337","4907482","2502477","6138498","0","0","4806968","19121717","3799911","4621036","1098155","544053","86405","31870","292915","163500","1721486","2130359","40702","0","15200","87488","14498","14280","5903","28158","3362","3689","137","0","137","328","9267","9695","74","124","183","137","0","0","0","0","0","0","0","0"
"Рязанская область","82591440","37887549","76911325","33588728","240181","128981","45852827","95507940","6821493","4334803","2654662","5606104","977918","607523","925391","1402533","48","113","1729222","4203456","846081","559664","324747","78776","23001","2735","144943","139024","44652","42477","38041","3116","5141","18531","4111","2355","1884","5361","952","658","85","8","139","269","113","69","19","35","54","15","0","х","0","0","0","3","0","0"
"Самарская область","270216072","94375820","248833420","84470865","525788","124643","134986499","260490700","23981951","10323414","7989252","15642736","3619645","1555595","2717987","3799737","0","0","5271198","11842894","3216616","1451717","963064","215011","33480","3661","219271","25323","35155","1869","15569","1133","16216","51775","15567","6762","5792","13682","3989","2324","46","3","111","79","50","15","68","59","157","50","0","0","0","0","0","0","0","0"
"Саратовская область","108947595","66527811","99724147","58994685","432602","144715","60371057","156592756","9881095","7777199","3622144","9144232","1485916","1184197","1395534","2585144","0","0","2226609","6559089","1320647","1114778","414401","145600","42434","6731","34565","279084","7717","7018","10118","40","10108","35126","7190","4192","4419","9519","1987","971","52","2","63","1021","24","71","21","30","56","31","0","0","0","0","0","0","0","0"
"Сахалинская область","100710816","35738118","92072989","32236621","234496","121087","49838210","68843376","10073602","3860959","2997280","4007835","1455793","570669","924030","921060","0","0","2073250","3086686","1299983","527217","357072","95337","18175","3856","48404","43643","66274","8799","125810","6314","3806","9834","3375","1612","1656","3052","799","560","165","15","22","28","189","35","34","36","75","18","0","х","0","0","0","28","0","0"
"Свердловская область","700870441","511383854","585572199","369492528","2491771","1659236","93687111","313156932","125239929","144910796","5694707","18690448","8515820","9373001","1927195","4675074","0","0","3767514","14015373","7132289","8767715","3225073","1093625","77054","50595","0","0","9540093","11852560","184515","314671","14962","70450","36748","33168","6803","19463","9234","8801","284","173","0","0","26611","23541","49","81","401","191","0","0","0","0","0","0","0","0"
"Смоленская область","112811354","68117884","95270002","54397590","678178","174229","20759375","45205197","18482401","14685715","1149254","2664620","1480445","1124462","393108","661900","0","0","756146","2002722","1249215","1021300","534918","198687","11997","4361","105470","48244","1217548","1052729","15968","7341","2900","10269","6214","4370","1104","2720","1523","1273","56","23","61","52","2493","1974","9","9","72","43","0","0","0","0","0","0","0","0"
"Тамбовская область","44703776","27700026","41166393","24742944","85239","48247","26056902","56075749","3968682","3193472","1486117","3225621","589516","484156","545523","888886","0","0","940595","2336654","517787","455060","157335","62653","4482","2092","84916","90311","8589","1419","67762","2542","3295","14999","2660","1739","1314","4453","779","465","163","7","93","179","24","7","10","12","22","13","0","х","0","х","0","17","0","21"
"Тверская область","116550380","33728104","108258561","29819442","283923","71154","50990870","105875920","9950138","4060200","3042246","6283764","1506072","610295","1092545","1664598","0","0","1949701","4619185","1316913","576716","426872","67481","26792","1222","68345","70334","6370","4372","0","0","6567","19888","6014","2248","2657","4757","1441","540","0","0","71","296","32","19","25","23","73","18","0","0","0","0","0","0","0","0"
