GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69
Свердловская область;13 175;3 346;0;0;119 719;330;36;0;18 906;5 927;4 266;3 404;1 977;837;85;155;49;108;3 528;1 032;3 954;17 604;2 571;6 258;12 167;14 861;556;374;81 452;181;59;2;0;6;17;13;5;44;0;34 129;28 082;44 538;118 698;26 265;35 395;8 379;2;9;240;12 816;15 625;2 349;23 612;5 749;25 562;213 036;327;948;510 196;204;602;1;0;36;496;11;18;4 945;30 570;15
Тюменская область;5 433;1 273;0;0;56 667;413;69;2 983;3 830;1 475;1 094;1 374;563;262;34;28;6;21;1 683;607;1 196;6 343;949;3 198;5 198;9 173;724;271;27 546;174;30;0;0;4;9;64;74;66;2 285;12 274;8 225;12 202;46 530;8 132;11 549;2 903;1;2;39;5 761;5 595;2 399;27 089;7 059;43 145;139 453;376;647;282 869;168;268;0;0;30;265;567;166;10 176;79 497;24
Челябинская область;11 878;81;0;0;86 327;634;6;9 787;11 464;3 682;3 146;1 983;1 495;532;56;108;23;36;4 659;909;3 552;14 005;1 709;5 075;8 885;12 973;288;288;67 357;223;25;9;0;16;19;316;35;6;4 738;19 598;26 881;49 310;100 042;26 105;30 479;7 905;3;3;81;24 317;17 020;7 516;63 019;12 903;67 020;242 691;273;1 109;620 706;232;368;6;0;145;720;664;122;804;12 715;0
Ханты-Мансийский АО - Югра;5 573;15;0;0;120 697;1 471;24;7 602;7 801;2 123;2 312;2 689;622;329;19;43;14;17;5 289;4 449;1 698;13 676;2 231;16 270;26 328;23 257;1 733;781;95 025;775;201;0;0;9;21;314;50;23;8 279;29 205;12 706;29 161;103 943;11 907;19 404;2 122;4;4;28;29 246;103 720;2 575;60 587;17 263;227 941;687 450;1 108;3 336;1 312 112;810;5 129;0;0;57;982;1 569;1 068;15 482;6 336;0
Ямало-Hенецкий АО;2 006;30;0;0;49 964;1 093;180;2 176;3 263;746;600;809;157;43;6;28;6;13;2 398;2 755;656;4 059;1 228;7 495;7 716;13 137;826;709;33 344;353;169;1;0;0;6;422;25;174;4 024;9 076;2 809;5 036;23 485;2 719;2 079;280;2;3;33;5 870;23 052;1 249;14 969;9 670;89 650;218 684;474;1 741;423 342;457;1 829;2;0;0;271;517;216;106 361;1 218;0
СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;50 048;3 319;0;193;486 731;5 986;267;42 181;55 565;14 316;9 785;9 173;3 998;1 979;184;399;99;205;26 099;7 027;14 319;67 784;8 898;26 182;41 918;76 644;2 827;2 195;332 536;1 902;1 081;13;9;40;78;1 298;980;262;24 651;86 107;64 567;109 035;355 298;65 733;102 386;20 344;7;8;236;90 488;85 306;23 212;251 214;54 424;341 033;1 082 132;1 321;6 561;2 604 781;1 168;19 127;31;602;156;1 680;25 078;21 270;33 824;108 076;44
Республика Алтай;944;33;0;0;7 227;58;12;803;1 143;252;123;152;36;27;2;5;2;7;532;38;225;1 021;163;490;485;1 235;41;63;5 664;40;11;1;0;0;1;0;6;12;501;1 763;786;1 199;6 405;627;1 855;326;0;0;6;1 615;343;220;2 029;432;2 525;4 405;16;149;23 550;55;99;1;0;0;22;0;101;259;3 358;0
Республика Тыва;833;11;0;17;5 698;47;1;765;1 044;106;33;71;11;10;1;13;1;0;491;37;115;546;91;300;412;902;39;25;4 292;32;10;0;0;2;0;0;1;1;499;1 519;499;319;2 655;245;563;171;1;0;0;1 465;452;155;1 531;510;3 144;8 912;15;83;25 103;24;108;0;0;5;0;0;1;3;62;0
Республика Хакасия;1 358;28;0;0;12 382;88;14;1 611;1 603;402;201;213;61;24;3;21;4;3;688;51;340;1 562;170;540;1 020;2 161;85;75;8 603;56;14;0;0;0;1;4;10;14;779;2 773;1 715;2 012;7 144;893;1 296;321;1;1;3;1 774;466;402;4 586;843;5 228;29 243;49;229;57 837;40;172;0;0;0;28;4;8;599;3 897;0
Алтайский край;7 114;0;0;0;56 587;163;10;6 783;6 380;1 611;1 060;940;467;226;12;56;15;12;4 059;420;2 806;11 252;1 037;3 156;3 731;7 317;281;213;44 708;102;18;0;0;2;4;16;11;10;5 502;14 277;5 982;12 819;39 551;7 488;12 880;1 132;1;1;36;21 719;10 450;5 478;52 656;8 174;43 115;97 984;255;844;322 506;101;286;0;0;13;134;15;59;682;0;0
Красноярский край;7 384;2 498;0;0;102 328;1 809;89;4 728;7 862;2 816;1 985;1 893;951;438;41;66;18;45;3 840;2 070;1 844;11 158;1 857;5 774;9 285;17 369;524;447;56 221;519;356;1;0;5;14;459;202;88;1 659;11 825;11 438;20 246;63 054;12 474;18 300;3 575;0;0;38;11 056;21 567;2 167;32 638;9 205;71 010;246 017;109;1 703;512 664;293;8 994;0;0;21;181;9 225;6 984;18 357;60 092;0
Иркутская область;8 273;35;0;0;81 288;1 110;38;6 091;9 078;2 113;1 543;1 452;668;350;28;87;14;28;4 702;958;1 919;11 854;2 271;5 460;10 041;15 466;452;311;57 796;360;281;6;7;20;23;165;217;38;3 850;13 105;10 510;16 868;51 793;10 082;17 185;2 801;1;2;23;10 903;8 938;2 108;34 518;12 395;59 224;280 035;157;825;507 760;90;2 801;27;442;60;396;1 115;4 056;4 428;2 550;0
Кемеровская область - Кузбасс;5 164;497;0;124;62 786;190;16;4 499;6 963;1 920;1 256;1 131;488;219;20;29;5;12;2 698;1 811;1 240;6 313;834;2 519;4 080;9 791;244;359;37 894;138;22;0;0;3;11;1;4;11;2 477;11 283;12 721;18 000;50 730;9 347;12 547;1 579;0;1;24;7 694;18 983;2 421;28 013;6 116;57 562;107 997;179;1 238;330 072;44;101;0;0;12;260;4;7;442;16 652;44
Новосибирская область;9 696;188;0;52;77 920;855;42;7 468;12 243;2 783;2 082;1 809;765;409;46;45;26;58;4 119;588;2 634;10 846;1 218;2 648;5 851;9 702;446;300;55 581;266;55;4;1;5;16;152;195;42;3 904;14 406;10 911;23 114;82 184;15 572;24 240;7 015;0;0;36;21 150;14 810;5 220;49 029;8 896;36 145;165 582;157;449;444 484;118;629;2;148;28;361;4 549;2 450;1 307;18 852;0
Омская область;5 874;20;0;0;48 166;1 155;30;6 437;5 722;1 282;824;882;333;165;19;47;12;37;2 919;536;2 350;8 610;742;2 783;4 081;7 213;248;162;37 268;121;252;1;1;0;1;422;264;30;3 481;9 262;5 557;7 595;26 534;4 655;7 147;1 748;2;3;55;6 317;3 677;3 668;29 865;4 577;28 690;74 326;132;362;203 611;152;5 101;1;12;0;30;9 354;6 954;3 940;2 563;0
Томская область;3 408;9;0;0;32 349;511;15;2 996;3 527;1 031;678;630;218;111;12;30;2;3;2 051;518;846;4 622;515;2 512;2 932;5 488;467;240;24 509;268;62;0;0;3;7;79;70;16;1 999;5 894;4 448;6 863;25 248;4 350;6 373;1 676;1;0;15;6 795;5 620;1 373;16 349;3 276;34 390;67 631;252;679;177 194;251;836;0;0;17;268;812;650;3 807;50;0
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;25 540;174;2;273;258 061;7 420;165;16 508;31 463;6 331;4 103;4 647;1 210;546;57;228;55;96;12 314;4 177;6 174;32 137;5 845;16 766;26 326;47 127;2 308;1 188;170 958;3 594;1 008;22;19;17;39;679;1 190;144;12 520;55 675;26 862;43 293;171 421;24 145;32 071;7 429;5;11;164;47 463;60 984;8 658;117 765;38 651;193 379;615 067;1 273;3 577;1 410 915;4 472;27 171;20;2 387;100;896;15 719;92 962;22 774;13 538;190
Республика Бурятия;2 461;2;0;0;19 419;350;15;2 402;2 463;405;249;237;45;35;1;26;16;9;1 550;97;667;3 315;460;1 125;1 426;2 967;144;47;14 245;182;57;1;2;1;8;33;48;4;1 700;5 362;1 802;2 518;6 412;613;1 618;6;1;2;14;4 329;1 137;758;13 060;2 615;11 042;28 418;32;53;72 488;57;563;1;142;6;166;431;313;108;6;0
Республика Саха (Якутия);3 731;75;0;0;37 970;1 158;22;2 003;5 836;676;475;596;108;39;1;44;9;7;1 891;614;489;3 992;735;3 894;5 121;8 012;447;132;25 990;451;187;0;3;1;0;161;286;22;1 430;9 397;1 882;3 230;11 398;1 301;1 161;103;1;2;14;10 092;7 407;827;18 093;5 671;54 574;140 916;92;131;264 040;198;649;0;45;4;0;1 363;1 869;1 679;3 427;0
Приморский край;5 248;16;2;5;45 060;1 268;30;2 612;6 581;1 718;1 097;1 288;351;179;26;39;14;39;1 958;1 136;1 057;6 059;1 113;2 404;5 233;7 997;129;48;33 518;390;206;13;9;4;21;76;518;27;1 362;9 285;6 682;10 066;55 324;8 636;12 105;4 201;1;2;76;3 508;7 262;1 057;16 903;6 417;18 100;109 108;78;134;243 751;750;15 498;7;1 287;15;371;9 632;72 801;7 774;2 438;187
Хабаровский край;3 496;32;0;0;38 866;1 665;17;1 903;4 984;1 354;798;871;249;122;10;25;2;13;1 458;813;980;5 287;1 059;2 176;4 405;5 859;342;144;27 654;856;193;0;2;1;1;187;114;17;1 962;9 517;6 356;9 968;40 399;5 738;8 362;1 053;1;0;16;8 488;20 139;1 921;24 896;8 301;29 430;100 996;130;324;271 357;388;2 304;0;36;2;23;1 161;4 702;3 601;2 994;0
Амурская область;2 622;0;0;0;29 414;322;12;1 730;2 077;345;226;283;107;42;5;10;2;0;917;186;497;2 273;372;1 410;1 898;3 809;39;11;11 927;86;28;0;0;0;2;44;12;6;1 888;4 328;1 705;3 481;12 793;1 800;2 333;97;0;0;0;3 138;2 622;536;6 324;1 773;19 493;49 080;35;38;92 092;130;550;0;0;0;110;125;261;349;0;0
Камчатский край;1 512;0;0;0;12 952;1 145;13;781;1 409;374;208;284;47;27;5;3;5;3;554;250;324;1 529;287;753;736;3 114;434;354;8 213;792;126;0;1;0;0;99;79;12;716;4 517;2 488;3 145;14 402;1 664;2 172;938;0;3;3;2 884;5 414;649;7 282;2 276;10 554;17 474;317;1 475;81 000;1 620;4 017;0;60;0;0;2 342;4 788;2 017;0;0
Магаданская область;835;12;0;0;12 962;234;23;485;1 241;229;166;279;39;22;0;3;1;0;286;180;265;1 001;295;778;1 657;3 166;119;98;7 406;145;36;0;0;0;0;26;18;23;298;1 618;573;870;4 176;528;598;0;0;0;0;762;1 873;485;4 514;2 280;11 147;38 152;73;244;79 508;196;543;0;0;0;0;82;268;3 135;3 794;0
Сахалинская область;2 089;8;0;196;24 193;877;20;1 009;2 535;661;518;469;128;43;6;12;1;19;1 191;424;520;2 415;564;1 323;2 963;4 432;379;207;15 149;451;79;7;2;7;4;46;86;20;721;5 065;3 091;6 946;18 758;2 343;2 421;872;0;0;30;6 924;10 229;1 020;11 307;4 437;18 422;80 281;339;745;177 154;808;1 983;8;817;58;174;315;5 677;2 384;777;3
Забайкальский край;2 893;3;0;0;27 807;63;0;2 952;3 338;387;270;290;98;34;2;57;4;4;2 166;324;1 220;5 457;742;2 193;2 262;6 121;15;5;21 666;49;9;0;0;2;2;0;1;0;1 700;3 861;1 202;1 908;6 166;1 197;1 114;153;1;2;5;5 636;2 516;1 158;12 211;3 234;14 934;36 966;4;3;91 502;17;50;0;0;12;31;0;0;0;1;0
Еврейская автономная область;388;23;0;0;3 676;29;1;300;466;109;59;33;30;3;1;5;1;0;223;39;87;507;73;141;204;555;4;9;2 307;22;2;0;0;0;0;1;1;1;205;1 097;657;785;1 131;176;187;6;0;0;0;1 205;774;116;1 750;574;1 911;5 362;4;39;15 915;16;22;0;0;0;0;1;1;21;94;0
Чукотский АО;265;3;0;72;5 742;309;12;331;533;73;37;17;8;0;0;4;0;2;120;114;68;302;145;569;421;1 095;256;133;2 883;170;85;1;0;1;1;6;27;12;538;1 628;424;376;462;149;0;0;0;0;6;497;1 611;131;1 425;1 073;3 772;8 314;169;391;22 108;292;992;4;0;3;21;267;2 282;1 706;7;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
