"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32"
"Республика Коми","2251","1703","536","23","0","0","513","0","1041151197","26294875","936686304","23096938","17413779","0","932684268","913589366","19094902","20120230","19856747","617758","263483","518525","27234","0","0","491291","92784","0","0","0","92784","0","0"
"Республика Крым","3355","2832","463","358","0","0","104","0","465865850","130214435","438015569","119908687","17322288","3453857","332886320","318106840","14779480","3546895","3405464","358634","145959","1713501","1500374","0","0","213127","37125","37116","0","0","9","0","1365117"
"Республика Марий Эл","2511","2340","150","50","0","0","100","0","76626729","4377671","67324920","4475010","15581088","170495","78260503","62849910","15410593","1621482","1360881","14316","260601","120267","92957","0","0","27310","3409","3409","0","0","0","0","0"
"Республика Мордовия","1878","1775","80","60","0","0","20","0","156206375","50447644","153253516","50550000","6061962","1447747","108016944","102582576","5434368","2300318","2205628","135889","97546","1107892","251020","0","0","856872","29619","0","0","0","29619","0","0"
"Республика Саха (Якутия)","3150","3039","90","32","0","0","58","0","1674939196","132372307","1530706063","125001499","5327","0","1386869525","1386864199","5327","17881373","17881588","157978","107","4008330","1451378","0","0","2556952","0","0","0","0","0","11349117","0"
"Республика Северная Осетия - Алания","1584","1538","45","33","0","0","11","0","137496801","24904030","133346331","25635432","2032164","3943","93099915","90168348","2931568","1797549","1754183","12090","42830","568667","562938","0","0","5729","27","0","0","0","27","0","0"
"Республика Татарстан","9220","8510","651","259","0","0","390","0","1490046922","178970434","1417229412","179076105","96924457","0","1342561202","1234209533","108351668","27781952","25783497","456408","1999202","5137219","2244860","0","0","2892359","395","395","0","0","0","0","0"
"Республика Тыва","718","683","35","17","0","0","18","0","29568216","5520180","29246187","5702086","1349683","0","23176111","21415683","1760428","500859","471629","0","29326","49693","10068","0","0","39625","109","109","0","0","0","0","0"
"Удмуртская Республика","5271","5003","184","68","0","0","115","8","255814613","28408714","244215035","25994191","55024116","391430","282577332","214607325","67970007","5572429","4585922","314745","986138","559958","62121","0","0","497837","10158","3807","0","0","6351","0","3222"
"Республика Хакасия","1465","1030","442","26","0","0","416","0","128974282","1181486","125384294","1206884","11321280","546600","118748382","106865355","11883027","2395666","2249205","234817","147501","33579","26533","0","0","7046","74904","788","0","0","74116","0","0"
"Чеченская Республика","1354","1261","83","8","0","0","74","0","199388304","31260060","182698131","23855225","99953","0","163881006","158245893","5635113","2889856","2794475","7496","95811","948878","432001","0","0","516877","41","41","0","0","0","0","0"
"Чувашская Республика","2593","2374","203","66","0","0","132","0","146137477","24793034","149219208","26271659","22522442","120905","143689419","118498180","25191239","2797994","2563106","99158","235149","582702","369652","0","0","213050","918","844","0","0","74","0","0"
"Алтайский край","6529","6405","63","56","0","0","6","0","212774903","15898566","201552489","13392373","49277233","16894","231535568","188117395","43418172","4856337","3977496","424548","793565","291960","256231","0","0","35729","2957","2901","0","0","56","0","1399"
"Краснодарский край","18024","17101","536","163","2","0","371","5","2654659612","486850532","2541978027","506474468","166505625","477050","2133710162","1927329306","206380856","37956471","34581046","1993939","3509763","17643105","7787016","1815269","0","8040820","170512","8514","0","0","161998","0","652160"
"Красноярский край","7744","4043","3671","71","0","0","3601","0","1448754448","224808217","1390906387","238128978","18348732","2106832","1123604967","1103146049","20458917","22302667","21976469","1228749","326204","6576651","320812","0","0","6255839","42062","1751","0","0","40311","0","178404"
"Приморский край","5144","4767","216","67","0","0","147","109","718635656","65904415","675378134","42503774","50777926","911398","690962604","632482405","58480199","13126154","12209370","800585","915257","2316581","872375","0","0","1444206","169189","172","0","0","169017","0","12423"
"Ставропольский край","6142","5893","232","113","0","0","117","0","404776745","57526303","375353619","46802530","35846873","20729","364014394","326999340","37015054","7628568","7067477","169754","671971","1042739","138240","0","0","904499","473","151","0","0","322","0","0"
"Хабаровский край","3014","2902","85","42","0","0","39","0","738210553","20430976","650575609","20211464","13616823","0","646676079","628203647","18472431","12235646","11912607","1851714","323831","1525408","316355","0","0","1209053","22","22","0","0","0","0","29403"
"Амурская область","2492","2316","117","30","0","0","84","0","842417762","91743638","778169364","77633243","18074648","50230","705115202","682861025","22254178","9682225","9477470","2337217","206866","1473893","664053","0","0","809840","878","145","0","0","733","4078750","111629"
"Архангельская область","3125","3064","27","27","0","0","0","22","416569317","25664192","375377828","25211045","12586354","1036","364066290","349523500","14542789","7543444","7302105","542952","241341","554643","554643","0","0","0","21","21","0","0","0","0","0"
"Астраханская область","2211","1338","731","41","0","0","695","0","434157241","28896030","420978396","27925073","13359484","139193","409677600","393034078","16643522","7755759","7449181","261414","306388","1809180","294727","0","0","1514453","8151","506","0","0","7645","0","37308"
"Белгородская область","4479","4149","328","57","0","0","271","0","364393994","13321911","356657533","13162378","54290645","662688","402726203","339613531","63112673","8439147","7270894","163017","1163004","277837","277837","0","0","0","7488","1239","0","0","6249","0","13"
"Брянская область","3887","3715","151","75","0","0","76","1","175986571","28111455","164839603","28403174","25890959","67278","167206325","135828916","31377408","3376554","2801134","88167","572939","733627","120965","0","0","612662","5110","916","0","0","4194","0","2590"
"Владимирская область","4339","3045","1377","112","0","0","1280","0","267118881","39578717","254378464","39894834","19790879","261258","220367844","195522018","24845826","4330964","4129196","393956","201976","948890","508537","0","0","440353","209356","3904","0","0","205452","0","0"
"Волгоградская область","5267","4853","383","133","0","0","253","3","563161806","184568486","535425555","181053603","3764802","1099636","373396163","369031283","4364880","7301762","7239475","554600","61537","4032610","234859","0","0","3797751","24987","1722","0","0","23265","0","239594"
"Вологодская область","4672","4312","206","70","0","0","136","156","734144161","110425254","666411357","103848861","26079054","430930","572864181","542974023","29890158","11970018","11569257","594238","400761","2204410","1099255","0","0","1105155","10676","3181","0","0","7495","0","12337"
"Воронежская область","6961","6183","741","129","0","0","605","25","620056521","42506893","604325998","38585197","9313004","369082","580909776","561953764","18956013","11002320","10781226","391513","217113","2002573","123514","0","0","1879059","31231","537","0","0","30694","0","180576"
"Ивановская область","2155","1713","67","46","0","0","21","0","108084822","2219451","103300667","2019188","5996480","0","97418480","89888466","7530014","2092307","1954560","34251","136529","46776","9962","0","0","36814","239","239","0","0","0","0","1244"
"Иркутская область","5156","3095","2061","75","0","0","1978","0","927552546","84648378","894228937","82052818","48825549","67247","849032161","796344869","52687292","16246429","15500078","2194192","746348","2724581","480052","0","0","2244529","3621","1169","0","0","2452","71219","208640"
"Калининградская область","3430","2989","412","157","0","0","256","0","276161332","36748775","265540059","35338614","68231587","2305800","294728809","229687504","65041304","5941264","4800268","100479","1140586","977273","963311","0","0","13962","103871","61936","0","0","41935","0","195"
"Калужская область","5245","3167","1969","105","0","0","1878","0","375606255","164003845","365008944","157210688","22843053","1034448","236600865","206658410","29942455","4854517","4359372","130554","497802","3487988","1046304","0","0","2441684","30882","1063","0","0","29819","0","0"
"Камчатский край","1078","974","87","9","0","0","78","0","136345428","5641068","124831365","3604711","9956663","92782","129632487","115498036","14134450","2650759","2419934","0","230825","199971","16947","0","0","183024","28556","319","0","0","28237","0","0"
