"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57"
"Калужская область","86 507 750","43 820 967","79 560 996","38 758 399","295 128","120 640","42 710 751","102 689 599","8 197 303","5 529 114","2 502 377","6 151 535","1 034 895","684 283","879 371","1 684 927","0","0","1 623 005","4 466 608","887 310","633 361","390 274","110 672","16 340","1 188","60 198","860","176 857","139 125","3 751","2 089","4 846","20 369","4 198","2 741","2 008","5 813","1 008","757","5","4","24","5","258","123","0","0","0","0","0","0","0","0"
"Камчатский край","65 491 362","37 759 356","58 150 961","30 617 472","252 957","38 627","18 032 753","33 153 160","8 448 644","7 267 426","1 026 926","1 933 293","853 812","731 340","333 189","519 001","0","0","693 709","1 414 293","758 977","707 367","241 370","58 404","5 566","382","61 755","54 567","385 650","352 951","0","X","2 122","6 155","3 097","2 267","1 211","2 233","974","908","11","X","53","103","1 991","1 303","X","X","X","X","28","0","0","0"
"Кемеровская область - Кузбасс","119 499 151","43 225 479","111 354 893","38 596 351","342 378","83 139","85 410 950","140 858 107","9 923 765","4 828 271","4 859 592","8 332 570","1 443 147","703 704","1 940 290","2 659 722","0","0","2 919 301","5 672 820","1 262 212","654 863","497 344","109 745","9 781","3 309","264 963","104 682","39 759","20 079","13 465","1 183","9 664","35 736","6 854","3 600","3 730","10 087","1 793","1 088","76","13","185","183","77","33","0","0","0","0","0","0","0","0"
"Кировская область","124 868 860","44 539 045","116 795 669","39 580 158","340 117","118 486","49 361 750","105 031 136","9 756 853","5 160 502","2 641 913","5 757 102","1 371 295","717 141","1 018 438","1 949 100","0","0","1 623 475","3 810 749","1 135 135","656 199","618 473","124 823","24 114","5 852","316 053","497 206","80 210","35 562","46 555","15 988","6 545","22 236","6 777","3 144","2 965","5 687","1 861","702","137","20","245","452","186","60","0","0","0","0","0","0","0","0"
"Костромская область","67 953 375","31 428 286","63 571 902","27 819 279","445 523","128 471","28 386 226","59 022 938","5 827 083","3 876 513","1 691 227","3 522 043","854 070","562 249","596 750","1 123 598","0","0","1 094 477","2 398 416","756 973","531 981","274 986","67 764","34 314","10 955","11 947","11 812","14 047","15 963","6 895","2 883","3 116","11 106","3 546","2 021","1 403","2 682","959","430","22","5","19","21","79","30","0","0","0","0","0","0","0","0"
"Курганская область","43 891 566","24 125 322","41 697 608","21 183 755","230 990","77 136","32 457 952","151 555 823","4 029 295","3 016 764","1 278 922","3 275 257","551 446","414 032","496 869","1 173 261","0","70","782 025","2 101 953","468 680","385 804","200 230","57 725","11 900","4 103","668 460","5 781 348","47 121","34 959","34 857","3 081","2 506","10 319","2 610","1 866","975","2 099","730","457","46","7","165","1 683","96","91","X","X","X","X","0","0","28","0"
"Курская область","51 504 463","45 457 156","48 200 700","39 893 979","193 559","146 213","28 578 042","91 049 570","4 112 031","5 758 484","1 687 366","5 051 481","607 594","829 808","604 295","1 437 613","0","0","1 083 071","3 613 840","526 100","801 785","224 474","55 835","7 499","2 266","27 317","366 121","8 513","27 473","42 957","4 573","3 175","18 493","2 946","2 307","1 426","5 883","792","590","99","8","17","426","18","44","0","0","0","0","0","0","0","0"
"Ленинградская область","213 538 881","269 775 037","172 499 031","171 145 219","1 087 450","386 422","40 714 805","172 154 466","43 576 712","99 841 956","2 150 938","10 102 224","2 248 691","5 079 407","776 729","2 732 041","0","0","1 374 154","7 370 172","1 784 913","4 784 023","1 119 670","544 077","4 643","8 637","291 936","192 038","3 969 648","9 711 363","34 452","49 986","6 469","35 940","11 110","15 270","3 056","8 557","2 912","3 412","120","62","116","336","7 737","11 259","0","0","0","0","0","0","0","0"
"Липецкая область","81 255 794","36 951 402","74 317 622","31 890 393","432 951","167 521","25 141 642","80 329 069","7 754 951","5 226 414","1 416 503","4 520 368","1 144 003","766 435","512 005","1 296 329","52","-28","904 446","3 224 067","1 010 713","736 012","306 006","63 528","9 347","9 865","92 035","286 684","17 643","9 404","11 864","8 065","2 389","18 487","4 121","3 472","811","6 412","883","1 184","34","9","41","250","67","36","0","0","0","0","0","0","0","0"
"Магаданская область","18 640 764","12 336 081","17 368 885","10 681 159","13 448","33 340","14 100 257","22 038 139","1 739 034","1 682 268","818 734","1 301 561","248 345","245 907","287 180","296 575","0","0","531 554","1 004 986","218 898","228 215","76 953","33 688","1 127","4 278","27 210","18 269","12 457","5 748","1 166","0","878","2 977","649","438","381","860","140","118","3","0","11","17","22","3","0","0","0","0","0","0","0","0"
