GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Смоленская область;5 243;0;0;81;0;42 994;157;4;4 517;4 763;1 388;917;554;22;46;6;18;1 461;254;785;5 730;843;1 041;12 594;4 860;192;127;34 916;81;17;2;0;4;4;9;0;4;3 309;10 519;8 626;12 679;26 050;2 800;3;2;46;6 226;3 160;1 268;20 147;4 909;10 275;231 231;167;490;338 450;252;780;0;0;81;327;18;0;448;0;0;8 295
Тамбовская область;3 282;0;0;16;0;40 008;42;7;4 064;3 833;976;694;383;23;28;7;6;1 614;120;914;5 467;610;1 857;3 970;4 794;40;67;24 542;20;10;0;0;2;3;0;0;7;6 092;12 909;7 622;10 484;19 697;4 180;3;3;23;9 210;2 841;1 858;25 680;4 810;25 815;105 690;34;287;232 737;36;222;0;0;24;198;0;0;139;0;0;1 341
Тверская область;4 701;0;0;853;0;45 357;549;113;3 219;4 283;1 456;912;502;12;106;17;32;1 314;707;1 043;6 865;1 062;1 377;4 123;7 631;500;273;27 018;213;99;4;0;19;12;38;38;113;2 336;9 958;6 756;13 295;23 739;2 459;3;2;26;8 246;16 735;2 121;31 878;8 025;19 395;118 074;420;1 017;260 587;86;2 132;3;0;195;448;10;7;8 937;0;0;17 156
Томская область;3 970;0;0;6;0;43 044;776;20;3 962;7 086;1 344;952;711;20;27;3;17;2 169;542;746;5 697;676;2 758;5 003;6 559;484;407;31 688;280;60;0;0;7;10;83;32;19;2 367;10 115;5 904;8 442;25 303;2 812;2;1;16;7 527;5 621;1 234;19 746;4 328;33 347;111 653;254;1 139;235 607;249;687;0;0;35;347;236;352;4 491;0;0;65
Тульская область;4 892;0;0;420;0;47 643;114;6;3 614;4 816;1 985;1 241;728;18;61;4;20;1 773;268;980;6 557;992;1 531;4 785;7 498;53;107;29 355;33;6;0;0;1;1;26;2;6;3 073;15 296;15 154;17 907;32 630;2 704;5;2;58;7 910;4 464;2 025;30 165;7 581;21 167;129 161;48;409;286 597;66;221;0;0;9;17;34;36;69;0;0;28 978
Тюменская область;6 829;0;0;1 141;0;79 363;798;63;3 689;5 731;2 269;1 837;1 669;78;44;15;45;1 717;832;1 066;8 612;1 448;3 203;9 545;13 571;865;378;41 732;252;81;0;0;6;6;73;25;40;2 580;18 247;13 219;20 078;57 296;10 112;2;2;89;6 412;8 027;2 115;38 256;10 798;44 645;257 654;436;829;479 421;294;806;0;0;43;193;75;218;9 254;0;0;105 944
Ульяновская область;4 345;0;0;93;0;34 210;163;276;3 099;4 451;1 090;810;480;25;19;5;5;2 196;116;794;5 375;591;1 155;3 858;3 974;76;110;24 044;74;37;5;0;0;2;3;0;267;2 772;14 938;7 648;10 838;21 001;3 523;1;1;8;7 241;1 393;1 598;24 518;3 855;15 504;106 544;52;319;217 860;72;995;3;0;0;76;16;0;12 152;0;0;4 701
Челябинская область;14 539;0;0;103;0;108 261;730;7;10 392;13 296;4 814;4 070;2 231;115;91;31;106;3 975;923;2 762;15 339;2 145;4 281;12 842;15 956;293;347;77 895;212;43;5;0;12;31;210;17;7;3 843;19 159;37 395;61 763;112 911;18 929;3;3;242;23 307;23 638;5 559;69 061;16 611;58 012;356 245;254;1 413;787 744;256;844;7;0;119;1 158;164;56;2 114;0;0;19 365
Ярославская область;5 863;0;0;183;0;44 066;277;2;3 741;5 639;1 800;1 271;745;48;43;10;12;1 890;1 075;929;7 370;940;1 335;3 973;6 539;347;191;30 770;125;63;2;1;4;6;7;13;2;4 258;17 817;12 840;18 180;38 462;7 444;3;2;32;9 446;15 849;1 899;32 207;6 637;17 259;95 998;298;655;270 895;262;2 268;5;973;53;340;132;51;66;0;0;11 074
Г.Москва;79 443;0;1;771;0;787 781;2 689;874;57 418;228 463;57 215;35 341;32 388;2 985;257;133;1 077;12 751;5 884;14 815;97 341;20 211;12 567;88 786;78 374;409;781;664 681;742;625;45;12;35;114;366;390;559;49 579;675 738;414 950;497 869;1 835 779;513 165;19;48;4 735;36 093;72 807;16 686;267 848;108 358;140 325;1 888 624;343;3 813;6 009 575;2 995;36 581;243;5 058;626;9 602;5 248;25 084;376 876;0;281;344 499
Г.Санкт-Петербург;37 260;0;2;36;0;272 901;4 184;298;18 673;56 175;18 976;15 480;10 209;677;87;51;490;6 724;5 993;5 479;36 227;6 543;6 429;37 070;34 168;272;453;222 309;753;558;39;18;15;50;683;585;223;31 750;196 045;145 818;229 407;559 220;127 077;9;25;1 752;44 350;100 655;10 807;161 838;46 596;76 150;846 590;245;1 788;2 451 016;1 400;32 758;58;14 563;270;4 793;36 893;109 378;58 141;0;265;48 117
Г.Севастополь;1 239;0;0;0;0;8 066;295;0;823;1 176;329;158;114;3;11;1;5;556;220;219;1 106;237;277;937;998;5;3;6 168;47;37;6;0;1;15;76;46;0;281;894;1 257;2 214;3 587;408;0;0;4;657;947;215;2 656;921;1 768;12 318;5;9;27 719;43;939;3;0;5;306;1 542;6 152;0;0;0;0
Еврейская автономная область;409;0;0;11;0;4 542;30;1;272;487;104;54;40;0;8;1;1;258;29;73;597;72;153;354;1 131;3;18;2 508;9;3;0;0;0;0;2;0;1;174;867;645;717;1 256;0;0;0;3;1 465;629;100;2 047;548;2 137;9 953;2;151;20 541;1;26;0;0;0;0;2;0;23;0;0;84
Ненецкий автономный округ;203;0;0;81;0;2 539;158;4;78;99;33;23;25;1;0;1;5;55;40;28;157;25;183;167;498;134;113;919;58;33;0;0;0;0;4;2;0;60;170;127;146;432;88;0;0;1;212;566;27;435;129;1 862;3 304;5;47;7 470;5;128;0;0;0;0;12;13;0;0;0;1 551
Ханты-Мансийский автономный округ - Югра;6 587;0;0;73;0;127 732;1 774;426;7 689;7 533;2 357;2 433;2 696;62;62;12;36;4 418;4 531;1 151;15 109;2 515;11 866;33 446;25 235;1 652;1 141;95 039;728;240;1;1;9;14;188;84;24;8 094;29 904;15 111;30 139;105 263;9 384;6;4;84;25 790;112 234;1 859;67 735;19 639;165 985;903 251;1 093;4 645;1 484 874;782;6 219;1;22;132;747;320;2 016;9 789;0;0;5 476
Чукотский автономный округ;370;0;0;0;0;7 448;467;23;269;622;88;50;30;1;5;15;15;156;149;44;523;233;716;836;2 796;264;153;3 751;187;132;0;0;0;1;6;44;7;439;1 749;597;652;930;114;0;8;41;639;2 063;73;2 042;1 627;8 567;14 379;188;468;33 806;356;1 888;0;0;0;31;53;5 280;654;0;0;0
Ямало-Ненецкий автономный округ;2 309;0;0;70;0;48 082;1 358;332;1 839;3 560;814;691;845;21;38;9;18;1 716;1 795;327;3 542;1 190;5 671;9 020;11 792;742;953;31 071;366;196;0;0;0;6;325;26;328;2 076;10 254;3 242;5 521;26 762;2 194;3;4;89;4 301;17 531;665;16 616;9 816;81 819;242 882;383;2 399;421 580;453;2 272;0;0;0;280;198;275;260 097;0;0;9 173
Донецкая Народная Республика;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х
Луганская Народная Республика;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х
Запорожская область;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х
Херсонская область;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х;х
