GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76
Кабардино-Балкарская Республика;1 092;118;3;6;120;9 217;2;33;1 493;958;294;119;225;22;8;40;10;3;6;1;2;627;29;431;1 033;146;408;459;577;5;3;6 379;1;0;0;0;0;0;0;1;33;665;1 261;1 313;1 158;11 640;589;216;365;680;231;0;0;2;793;178;164;1 202;290;1 198;4 081;461;1;2;23 944;1;0;0;0;0;0;0;0;538;774;30;173
Карачаево-Черкесская Республика;935;7;1;15;0;9 801;9;0;1 611;1 345;206;150;215;21;14;4;16;4;6;0;0;670;49;357;1 131;121;576;794;915;8;5;7 272;7;0;0;0;0;0;0;1;0;774;1 918;672;980;6 128;472;505;48;1 169;319;0;0;0;1 055;331;269;1 895;289;2 839;8 911;1 412;3;7;26 042;2;0;0;0;0;0;0;0;0;16;1;627
Республика Северная Осетия-Алания;1 191;0;1;20;66;8 908;3;0;1 666;1 039;257;126;180;15;13;6;4;3;0;0;2;790;43;521;1 234;184;481;633;1 133;3;2;7 216;3;0;0;0;0;0;0;0;0;798;1 737;772;965;4 252;215;179;161;274;328;0;0;3;1 227;210;299;1 679;429;1 668;6 366;1 326;1;5;20 379;1;0;0;0;0;0;0;0;0;0;0;1 255
Чеченская Республика;1 191;22;0;2;0;10 953;0;0;2 045;1 874;196;237;336;25;2;2;4;0;1;0;0;1 165;29;303;925;105;642;1 303;1 231;0;6;9 130;0;0;0;0;0;0;0;0;0;1 205;2 211;711;2 509;7 948;223;49;47;346;0;0;0;0;2 010;249;223;1 582;322;3 083;11 312;1 801;0;12;33 336;0;0;0;0;0;0;0;0;0;80;0;3 047
Ставропольский край;7 148;25;0;210;0;76 186;154;67;11 809;7 900;2 059;1 190;1 452;140;111;187;195;11;94;38;17;5 439;436;5 279;14 178;1 020;5 272;4 133;9 364;8;28;60 278;83;9;1;0;6;10;26;14;66;6 244;13 024;10 946;17 157;56 252;4 160;3 686;3 554;13 274;1 018;2;7;19;9 095;3 232;4 097;32 729;3 979;31 816;53 942;12 627;4;74;242 645;82;122;0;0;37;315;18;40;3 973;347;0;76 280
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;44 226;1 300;3;1 188;0;399 232;7 836;180;58 809;50 269;14 003;7 794;7 205;682;872;930;924;95;808;141;148;26 062;5 213;25 085;70 410;6 205;23 084;23 612;49 160;173;195;318 610;3 088;1 129;46;17;38;142;1 423;1 207;169;47 297;106 140;91 493;109 397;328 025;20 541;27 371;22 620;68 376;12 655;37;27;225;64 534;48 478;27 774;215 117;38 771;231 211;442 651;77 123;327;827;1 749 073;2 688;31 919;64;2 199;332;4 823;10 287;52 269;9 169;19 113;779;267 331
Республика Адыгея;1 295;4;0;24;0;9 631;9;4;1 576;1 214;352;185;230;21;20;26;34;2;42;1;3;753;40;525;1 359;163;703;671;1 578;12;13;7 837;7;2;0;0;0;0;0;0;0;1 181;2 496;2 031;2 364;8 793;597;706;510;2 374;110;2;0;2;1 581;355;607;3 931;992;8 150;15 102;1 865;6;46;47 736;7;26;0;0;0;0;0;0;0;812;0;3 375
Республика Калмыкия;930;8;0;3;0;5 668;49;1;1 390;629;157;52;49;5;3;2;1;0;50;2;0;449;18;371;985;48;337;170;508;1;0;4 793;37;7;0;0;0;0;0;4;1;1 186;1 540;1 092;741;1 724;69;97;22;2;0;3;0;0;2 089;255;534;3 078;303;4 160;3 384;1 442;1;0;20 552;59;118;0;0;0;0;0;45;2;91;0;103
Республика Крым;3 408;3;0;27;0;28 399;285;11;4 756;3 378;749;373;376;25;52;45;72;7;88;9;7;2 658;404;2 484;5 927;593;1 611;1 554;3 117;7;2;25 097;58;55;5;0;1;32;32;101;11;1 361;2 268;1 523;1 530;6 311;205;434;368;1 935;359;0;0;0;2 461;1 553;1 520;9 010;1 649;5 793;16 191;1 409;5;5;51 245;36;823;2;0;2;470;375;1 694;540;1;0;1 015
Краснодарский край;15 432;18;3;433;0;151 825;1 497;56;22 271;18 999;6 066;3 555;3 458;314;363;376;462;62;267;59;59;9 603;1 795;8 480;23 333;2 396;8 293;10 511;18 369;65;101;117 993;510;300;14;10;20;80;159;334;48;21 438;51 810;44 761;52 448;172 211;10 014;11 849;10 326;38 778;9 233;23;22;135;27 785;23 014;9 815;80 188;18 559;101 323;227 715;29 141;250;450;827 262;683;13 175;37;1 550;172;3 344;921;18 500;4 109;2 713;779;105 981
