GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49
  Кировская область;104 037 791;37 421 495;97 521 848;33 343 244;323 970;154 272;40 648 529;73 027 693;8 320 374;4 171 878;1 886 188;3 234 326;1 147 707;556 760;694 796;1 075 390;0;0;1 191 392;2 158 700;940 132;500 573;513 347;115 006;19 753;12 280;527 775;1 043 239;43 932;34 717;34 450;1 815;7 086;20 621;7 520;3 125;2 997;4 458;2 015;701;179;16;520;2 717;324;171;17;77;74;25
  Костромская область;58 540 274;37 702 154;54 562 659;33 736 019;640 673;122 380;18 258 853;35 189 216;4 508 847;4 310 966;1 067 264;2 017 540;646 400;607 341;377 308;619 719;0;0;689 956;1 397 801;537 378;574 524;280 882;71 679;19 415;8 073;31 676;95 289;18 954;33 613;2 919;2 219;3 185;9 604;3 926;2 294;1 398;2 060;961;467;20;1;113;1 248;171;237;7;19;54;39
  Курганская область;32 541 773;17 898 230;29 905 412;16 311 594;139 612;32 224;11 123 950;23 527 880;2 894 338;1 916 032;638 967;1 031 474;404 849;256 110;249 451;324 929;0;16;389 516;706 529;347 677;234 652;142 973;48 908;11 598;984;32 600;330 962;15 821;17 960;15 932;14 079;2 342;7 139;2 928;1 746;926;1 428;853;375;34;17;16;155;52;51;6;31;32;19
  Курская область;37 108 721;37 271 917;34 489 329;33 456 957;128 733;71 525;17 060 088;42 087 219;3 007 917;3 939 575;1 016 085;2 447 357;445 314;583 073;361 679;733 598;0;0;654 406;1 713 869;377 948;543 007;166 984;80 679;9 891;1 117;12 105;65 046;6 882;12 928;15 626;656;3 082;16 097;3 144;2 425;1 237;3 847;792;534;87;2;140;1 429;113;143;5;12;22;28
  Ленинградская область;130 601 086;135 463 193;109 067 438;90 805 758;550 236;243 365;30 569 041;73 531 984;25 648 413;44 994 667;1 783 264;4 330 269;1 373 653;2 412 336;619 019;1 137 391;0;0;1 164 245;3 192 969;1 093 249;2 231 232;698 673;335 976;9 497;1 873;66 069;45 354;1 852 407;3 723 770;31 350;34 348;6 031;25 298;9 548;10 977;2 779;5 506;2 390;2 423;127;76;36;147;6 776;8 097;27;77;73;80
  Липецкая область;64 165 026;34 212 719;59 121 920;30 277 687;464 026;194 662;13 545 422;31 893 161;5 693 242;3 994 215;815 261;1 895 463;769 037;495 279;282 840;553 062;0;0;532 421;1 342 393;658 874;446 839;278 649;97 635;13 437;13 380;1 541;6 206;81 033;80 482;21 699;10 935;2 261;15 099;4 778;3 833;730;4 360;965;1 152;38;20;12;42;315;312;3;11;47;27
  Магаданская область;15 571 957;11 725 948;14 211 698;10 182 583;13 394;10 538;9 653 237;13 139 182;1 604 007;1 582 148;576 952;790 037;229 587;239 194;195 368;151 797;0;0;381 584;638 253;206 912;228 196;60 823;22 302;1 239;0;6 930;7 535;15 501;3 101;2 139;0;871;2 632;703;479;341;722;139;138;5;0;11;9;27;6;4;10;7;17
  Московская область;532 593 390;191 617 859;488 592 315;169 446 954;1 718 622;482 493;368 989 611;704 512 655;48 830 978;23 301 057;22 389 967;42 343 239;7 349 682;3 501 309;7 435 577;9 719 250;0;925;14 954 293;32 619 688;6 550 925;3 293 619;1 911 548;415 631;95 027;43 533;699;24 360;50 959;19 229;170 088;8 992;51 198;169 381;33 277;17 740;21 921;41 172;8 418;5 050;591;65;2;45;324;86;208;306;420;157
  Мурманская область;34 885 327;8 547 564;30 697 807;6 697 602;260 897;31 881;59 536 738;87 610 269;4 508 031;1 883 548;754 910;1 146 389;266 600;106 645;302 965;484 371;0;0;451 740;662 125;168 863;88 144;248 414;38 667;2 774;1 084;2 672 238;3 936 539;234 296;141 372;2 395;565;5 205;12 109;2 796;830;1 794;2 338;907;230;17;6;3 238;8 625;856;469;31;33;10;3
  Нижегородская область;218 884 474;90 426 379;203 369 347;81 993 884;1 313 712;456 472;90 946 655;146 342 585;17 913 950;8 817 361;5 466 598;8 788 152;2 713 543;1 340 514;1 948 240;2 507 430;0;0;3 518 357;6 280 566;2 326 127;1 214 798;925 877;256 643;93 670;22 137;36 478;24 686;9 757;268;0;0;14 516;45 904;15 746;7 864;5 182;10 843;3 648;2 018;0;0;14;20;9;5;38;46;166;74
  Новгородская область;35 570 309;12 438 739;33 578 606;11 067 087;216 157;126 590;13 454 889;22 069 005;2 419 173;1 375 095;767 434;1 232 712;345 496;181 120;287 906;399 330;22;4;479 506;833 378;261 296;160 986;204 987;44 393;8 527;8 051;38 637;82 809;11 319;14 526;6 625;794;2 397;8 419;2 849;1 379;736;1 691;616;294;29;8;100;884;153;150;5;17;25;10
  Новосибирская область;324 831 375;93 572 188;302 786 381;85 951 455;1 362 277;221 088;129 050 447;191 893 636;25 811 183;8 750 489;7 828 916;11 398 411;3 928 534;1 300 614;2 606 790;2 926 493;0;0;5 222 818;8 471 919;3 381 499;1 180 807;1 385 039;273 723;49 771;9 520;0;0;0;0;115 878;11 635;20 349;52 912;22 213;7 737;7 421;11 916;5 176;1 975;330;36;0;0;0;0;62;59;185;71
  Омская область;83 904 912;49 279 476;77 442 006;44 039 387;168 645;78 436;54 000 366;146 803 513;7 690 150;5 372 444;2 253 398;4 018 648;999 732;622 425;820 842;1 386 011;0;15;1 432 555;2 632 728;875 024;554 619;316 003;147 797;5 874;5 241;946 564;4 477 296;105 042;95 037;64 865;16 697;9 158;27 116;7 045;3 855;3 598;5 061;2 081;743;248;31;1 117;8 038;381;485;25;55;51;42
  Оренбургская область;88 124 757;54 519 068;80 660 175;48 165 987;323 626;154 270;21 016 513;41 625 496;9 079 062;7 152 525;1 261 864;2 474 029;937 732;732 426;463 824;739 020;0;0;798 039;1 735 010;756 186;635 945;463 491;186 641;5 463;2 896;0;0;323 140;281 206;18 186;12 444;5 705;19 178;7 294;5 707;2 794;5 969;1 975;1 694;57;32;0;0;4 886;3 616;2;9;66;34
  Орловская область;35 096 886;21 699 147;32 775 250;19 344 065;177 177;40 864;13 648 547;24 928 274;2 645 342;2 408 313;804 553;1 457 518;373 107;357 463;284 985;446 076;0;0;519 568;1 011 692;303 948;329 442;186 189;56 284;9 436;3 785;15 911;7 574;19 608;9 205;29 776;13;2 510;10 678;2 473;1 766;1 024;2 818;549;419;141;3;28;38;60;27;4;5;26;19
  Пензенская область;67 428 756;50 924 266;62 773 471;46 326 955;345 193;78 498;27 591 075;69 407 428;5 370 595;4 624 562;1 557 121;3 659 424;813 359;691 236;552 021;1 125 848;0;0;1 005 100;2 533 560;704 185;639 497;277 878;115 614;40 170;6 124;117 346;410 057;0;10 609;96 081;23 856;4 849;22 162;4 508;3 337;1 868;4 793;1 147;659;171;24;71;226;0;3;19;26;56;58
  Пермский край;164 392 350;77 676 779;153 211 127;69 833 232;959 416;467 540;59 330 615;121 914 569;13 348 833;8 429 256;3 150 079;6 387 945;1 734 180;947 289;1 040 178;1 859 532;0;0;2 109 895;4 528 538;1 404 609;808 071;879 160;295 677;31 149;8 203;422 698;888 836;151 812;173 234;40 725;12 830;12 479;36 928;14 062;7 359;4 685;9 123;3 366;2 100;185;37;788;2 468;787;676;23;29;91;44
  Псковская область;43 185 955;14 067 515;40 179 914;12 338 847;127 267;115 418;17 141 912;22 353 901;3 525 106;1 778 055;919 321;1 284 447;447 074;226 881;332 733;371 682;0;0;586 624;912 684;355 553;209 984;222 477;36 675;5 851;1 234;117 513;925;48 369;24 347;63 458;15 443;2 585;8 278;3 218;1 351;986;1 646;742;285;225;36;39;12;251;73;9;11;23;9
  Ростовская область;221 173 426;182 426 655;196 567 817;153 734 274;857 523;467 043;89 664 530;225 727 219;27 204 247;29 858 645;5 321 540;13 224 586;2 798 631;3 015 635;1 856 791;3 574 775;0;0;3 464 749;9 648 272;2 430 548;2 748 501;959 624;513 566;42 445;9 526;101 394;214 780;980 976;1 215 095;117 699;0;15 407;75 169;14 967;13 581;5 662;22 083;3 288;3 246;371;0;413;1 670;9 578;9 416;47;106;190;137
  Рязанская область;63 797 224;28 956 778;59 037 438;26 254 960;317 833;147 173;32 270 467;51 737 274;5 329 033;2 994 981;1 817 369;2 918 649;723 006;390 421;619 292;789 848;0;0;1 198 077;2 128 734;603 039;349 034;284 170;79 594;8 248;1 926;123 654;157 367;27 937;33 207;23 481;3 343;5 067;16 141;4 311;2 360;1 719;4 113;945;592;61;8;190;1 145;201;120;11;41;50;20
  Самарская область;201 309 808;59 271 683;187 232 581;53 816 072;720 228;100 044;90 711 496;125 910 012;16 178 045;5 842 578;5 435 035;7 555 972;2 448 444;888 161;1 915 357;1 968 751;0;0;3 519 649;5 587 478;2 124 707;806 984;801 534;179 882;22 625;4 648;46 067;22 472;5 520;4 394;10 702;880;16 008;40 934;16 460;6 383;5 359;10 490;4 090;2 114;54;9;114;139;47;17;33;51;174;57
