GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Пензенская область;4 093;0;0;2;0;35 147;84;8;3 555;3 515;986;693;390;29;47;11;14;1 551;176;946;6 029;712;1 253;3 517;5 501;81;105;23 391;31;8;0;0;1;5;16;3;8;5 260;11 907;7 165;11 144;22 193;5 619;4;4;46;7 568;3 333;1 906;27 881;5 504;17 142;101 233;71;445;222 294;56;167;0;0;15;232;3;1;505;0;0;254
Пермский край;9 461;0;0;55;0;74 094;1 216;99;5 660;9 777;3 104;1 968;1 728;72;64;10;57;3 329;1 730;1 357;11 136;1 515;3 784;9 043;11 175;607;580;54 464;183;375;0;3;11;16;188;11;61;9 610;35 480;23 420;28 604;70 660;11 899;8;5;188;19 922;35 981;2 760;49 865;11 614;52 656;242 350;312;1 314;583 177;241;5 932;0;155;26;352;7 936;146;24 974;0;0;233
Псковская область;2 685;0;0;70;0;24 003;285;23;2 637;2 587;629;364;253;11;73;6;6;806;60;670;4 012;461;705;2 667;3 187;82;63;15 936;78;22;0;0;2;2;32;1;12;3 388;8 588;5 087;5 886;12 629;1 574;4;2;15;3 664;992;1 254;17 196;3 449;9 903;81 988;62;205;154 045;87;346;0;0;21;57;15;9;862;0;0;10 040
Ростовская область;15 081;0;0;582;0;144 758;1 706;24;13 674;19 750;5 176;3 206;2 123;123;123;21;74;6 610;1 291;5 353;20 652;2 505;4 988;11 394;17 344;64;36;96 589;497;189;10;2;4;11;192;369;18;10 113;31 962;36 918;50 921;115 961;24 160;6;4;316;15 851;8 219;6 270;59 448;11 660;37 345;201 117;46;149;586 113;616;4 818;84;96;32;488;1 913;21 692;2 524;0;0;14 188
Рязанская область;4 777;0;0;271;0;43 896;150;13;3 717;4 317;1 325;929;522;36;47;8;10;1 859;162;1 022;6 289;817;1 445;3 449;5 579;132;90;25 913;75;29;0;0;2;2;15;0;12;2 789;9 706;9 403;14 601;29 281;6 983;2;1;38;6 456;2 192;1 913;23 346;5 213;18 289;95 846;118;368;219 077;158;1 116;0;0;41;150;22;0;1 075;0;0;34 805
Самарская область;13 641;0;0;41;0;125 172;910;52;17 181;18 210;4 326;3 325;1 998;111;119;57;293;5 545;1 232;3 128;17 425;2 257;5 692;13 668;15 800;350;377;94 450;318;279;6;3;10;44;34;35;52;19 531;55 608;29 137;52 112;108 908;21 094;27;34;1 156;20 707;25 534;5 975;79 750;17 293;79 162;369 863;322;1 634;864 796;653;6 476;16;1 151;150;3 037;220;574;961;0;0;9 702
Саратовская область;7 850;0;0;2;0;80 000;479;12;8 261;8 856;2 217;1 712;919;47;27;11;41;3 902;648;2 413;12 287;1 572;3 809;6 971;10 961;208;254;53 232;214;138;0;3;6;11;18;1;12;9 110;30 350;17 709;27 343;47 479;7 404;1;5;141;18 941;13 638;4 276;51 626;12 039;52 647;186 707;188;1 031;472 230;505;6 709;0;292;90;773;14;2;554;0;0;118
Сахалинская область;2 434;0;0;38;0;28 066;3 397;30;964;2 762;750;546;545;6;19;1;20;1 383;491;480;3 056;751;1 438;3 693;6 867;374;325;16 903;509;92;4;3;6;5;43;201;17;527;4 788;3 033;6 365;18 124;951;1;0;23;8 619;11 870;993;14 578;6 199;20 487;103 946;339;1 316;199 560;993;2 681;15;1 050;46;271;341;7 531;1 740;0;0;4 091
Свердловская область;17 565;0;0;5 819;0;145 140;524;46;0;21 649;6 815;5 147;3 931;200;173;63;174;3 500;1 047;3 335;17 668;2 825;5 733;14 397;19 258;479;417;86 500;184;73;3;0;17;41;7;13;35;0;22 256;34 672;53 074;136 668;24 871;9;15;471;14 020;16 953;1 971;24 268;6 582;23 696;267 007;280;1 248;601 664;225;875;1;0;97;1 106;4;130;3 048;0;0;82 467
Смоленская область;5 139;0;0;39;0;42 836;155;4;4 150;4 774;1 323;861;561;17;47;7;16;1 411;218;892;5 898;861;1 075;13 209;4 665;197;117;35 303;78;19;1;0;4;3;11;0;4;2 988;10 696;8 430;12 528;26 759;2 511;2;2;39;6 147;3 302;1 432;20 879;5 143;10 843;269 860;168;442;379 051;261;996;0;0;72;233;22;0;179;0;0;1 168
