"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103"
"42","Кемеровская область - Кузбасс","641270","587631","48424","5215","14111033","13898765","13898743","13897925","818","22","22","0","40259","0","40259","108104","63906","367","7032526","515128","157877","37195","0","34312","50","9082","35841","1764","50","803","38119","24455","16489","388494","244171","144323","956621","94034","65680","304721","3376132","2657815","0","0","119","144","202477","0","2457","1115","30100","58670","360541","16410","118589","1034","560","587294","2113873","1554183","18112","541578","466832","247032","17781","202019","2694899","4318301","1600952","1381607","3303790","2725527","323238","11992","38452","966","831","481386","95080","461265","61306","447140","11413","113454","149017","117086","5359","26572","662967","1669632","967348","6848","2577841","4462000","4393597","707589","234307","251483","40998","109775","443","54429","0"
"43","Кировская область","900342","726686","172008","1648","43103","0","0","0","0","0","0","0","0","0","0","32725","10377","10377","5393173","598639","100551","136940","0","43287","0","6169","113750","77710","69","51350","460319","50011","35708","0","0","0","516033","100889","243952","50372","2056398","236831","0","0","17339","3749","108435","0","238","190","96135","526089","88896","18537","58033","5547","435","252246","659953","435225","88253","136475","166276","92262","11659","62355","678717","1647431","482718","1036372","838369","557401","5758","6502","27745","1491","2287","208686","68504","287160","20099","147734","12929","17700","99603","91727","1951","5925","262076","598718","263082","1814","1191208","1857121","1958995","276447","59634","124977","28300","46827","0","22490","0"
"44","Костромская область","308986","200334","102130","6522","17030","0","0","0","0","0","0","0","0","0","0","17030","0","0","2043145","124581","31998","31107","0","25512","0","19539","55937","18246","0","17622","283928","23429","23882","0","0","0","92993","34222","38677","47332","293386","2448","0","0","81840","11549","3730","3730","168","69","2274","30854","107312","180462","38278","36307","0","602301","343367","146943","84040","112385","83111","57538","2457","23116","333081","809401","227671","485236","471815","275425","809","4271","0","1560","8732","146977","39121","118931","20754","136203","7775","24129","3148130","3145680","50","2400","118532","215179","170101","903","659724","936374","762033","161793","35569","65282","12463","30375","63","13557","0"
"45","Курганская область","404323","359724","37141","7458","58558","0","0","0","0","0","0","0","44393","0","44393","13248","917","917","4536088","637225","65460","414815","0","29093","50","3683","17191","1026","0","218","46807","16852","6604","2486","0","2486","4045","167663","9211","139527","1197167","13754","0","0","0","819","2961","0","14317","953","4847","39092","426714","424333","1264020","0","0","98452","228223","210","56237","171776","110291","82542","2336","25413","398981","1225710","454110","666225","440135","337614","9413","4006","176475","346","0","56979","45196","114296","10828","181842","9157","14247","35228","28394","1821","5013","133004","508723","130506","1663","995253","1306417","1116760","184620","52727","70484","12355","29937","0","17212","0"
"46","Курская область","2044990","2034284","7220","3486","1123327","0","0","0","0","0","0","0","1112461","1112461","0","10758","108","0","2629361","867854","216541","52396","185015","17976","1863","43749","23154","37064","0","36027","21207","96571","24202","222","222","0","55270","163405","277638","53299","107056","2764","0","0","0","223","13151","0","328","328","256520","268962","122136","42825","89784","0","491","58604","1500752","1271849","105870","123033","130554","61925","9183","59446","510226","1285168","469098","727823","630714","433709","856","8684","65672","50","50","136330","60575","236437","17752","170394","10767","23406","22373","17035","297","5041","196379","511156","232528","1537","1140241","1918858","1653456","223998","55230","96486","17626","37011","0","27226","0"
"47","Ленинградская область","1452908","1227243","178460","47205","417990","0","0","0","0","0","0","0","0","0","0","417200","790","99","11162371","1177668","282555","56989","138","46496","298640","191576","56078","5457","0","2051","245169","856905","72825","734360","0","734360","1311813","32771","568103","1109483","1178341","49666","0","0","250","42765","233008","162","7572","4626","188770","322053","483113","118763","1317280","430155","6475","846707","1600083","1046288","187102","366692","518295","312583","17712","188000","3044851","3180480","1149550","1503555","2999961","1016553","10843","26730","242023","31012","9376","1931495","11525","473677","62590","321625","18512","44153","69256","43506","1827","23923","975168","1447582","841474","6620","1315839","2901899","3110971","766323","311796","284668","47402","154004","475","48823","0"
"48","Липецкая область","2895370","2848854","42988","3528","131594","39","0","0","0","39","39","0","0","0","0","131506","50","0","7462286","1263089","201796","62799","212641","133914","22618","6443","46618","3102","0","3003","16881","173847","18060","0","0","0","150934","44001","163107","181208","4026043","3481621","0","3481462","874","37744","3687","0","109261","108625","20397","535152","368491","41059","98270","0","0","149052","505267","251338","117450","136479","235610","107924","5359","122327","981115","1312108","460069","713906","797058","612112","3177","8280","67633","64","768","132965","51149","154687","13364","336958","19132","27717","30458","20157","50","10251","245105","564241","357660","1458","1073223","1686627","1764938","288231","99392","115097","19681","50745","129","24819","0"
"49","Магаданская область","223842","16324","26258","181260","3982318","18680","18680","18680","0","0","0","0","3918270","200","3918070","5689","39679","0","181485","30149","4275","4246","0","1131","0","436","359","0","0","0","164","0","2242","0","0","0","110521","0","1329","2399","8144","50","0","0","0","0","6017","6017","0","0","94","0","10051","50","0","0","0","14416","673012","510428","0","162584","56605","47512","0","9093","329577","490097","257627","173304","546320","154788","495","2999","0","9462","49640","311877","20553","39266","7205","95624","8217","20303","10628","10109","50","469","68889","321231","179423","280","906774","627840","752492","168508","42047","41327","4995","23750","125","5367","0"
"50","Московская область","2182866","1794004","364412","24450","333648","6577","246","246","0","6331","6331","0","1762","1","1761","266989","58321","32029","45135951","7054398","1284233","824389","2006","1900575","5604","832546","938989","140966","1101","114459","435666","1169142","558591","252046","65233","186814","2648135","1792174","2441363","2844345","8181299","421357","21","0","400598","265192","680666","14911","26761","15871","2218084","1560543","3046110","961843","3116488","12222","1866593","3037044","5330505","1468097","1600383","2262025","1887748","557990","120935","1208823","11264039","56796702","15989636","37515601","16637838","8366211","212007","270493","271536","34895","148350","7470734","617648","3048749","643934","3815979","64605","520148","2541651","762131","1316096","463424","3676426","18210085","5054849","54807","8152086","14342915","14442541","3579324","1270934","1568437","243507","961782","6879","769646","0"
"51","Мурманская область","1444531","35662","40443","1368426","1274986","0","0","0","0","0","0","0","899890","796861","103029","317061","58034","57985","2322040","163759","1227","10234","0","3007","0","6343","5925","65","0","0","2753","1388","16794","294","0","294","36031","11","6737","32623","1485789","0","0","0","53","0","1449043","0","4455","21","1276","257","5080","13","301925","301603","322","251970","1150432","723483","31256","395693","195595","140968","10520","44107","678544","853732","262824","484006","1621849","419142","175","6576","26760","92151","2921","1051720","55915","283459","50298","157628","16155","35670","46681","39241","356","7084","389334","749600","262614","3137","3048132","2105165","2295337","401686","161994","120204","17652","56510","99","17883","0"
"52","Нижегородская область","1081907","957586","114822","9499","47831","0","0","0","0","0","0","0","2708","0","2708","44577","546","546","20273421","1080645","191847","229621","34709","62283","12790","135375","221356","35219","154","10141","259518","411772","66568","371486","0","371486","2335301","309838","792918","650778","5207765","333158","0","0","1745739","8146","13103","50","130104","295","1538974","392399","801179","2854191","1849796","554560","666190","883270","1832127","980505","341255","510367","598850","307721","85590","205539","3791769","11208893","3730339","5812763","8367149","6877449","3194540","26237","801963","342076","893","966143","180588","725477","100226","1748453","45105","890686","300119","238051","6343","55725","1273038","7770807","1321891","11019","3610832","6438277","4979424","1347271","511619","420809","89889","158960","481","79000","0"
"53","Новгородская область","303858","228522","65219","10117","15319","0","0","0","0","0","0","0","0","0","0","15238","81","0","2543051","287374","128405","38044","0","10354","0","19271","19617","770","0","0","278026","81770","90924","0","0","0","614381","407","50318","404091","127564","50","0","50","0","453","11213","0","0","0","-4486","117240","161737","34633","36663","67","35367","212397","369763","192795","57185","119783","162371","108018","427","53926","355334","1018655","469132","485901","463115","336631","249","5643","128007","287","0","86499","39698","135882","42885","89824","13396","13473","38109","32047","0","6062","241970","307272","128080","1181","677635","823266","913273","197170","34560","63227","12921","27356","0","13852","0"
"54","Новосибирская область","1376900","1191759","175703","9438","428999","239758","238450","238450","0","1308","1308","0","15689","0","15689","134818","38733","3704","9921105","1414586","364716","130318","31","119713","126","63928","142318","14668","1980","5694","114313","131345","114536","58883","0","58790","711114","403904","328908","1009272","1708977","3927","0","0","130033","108956","194590","13643","37030","27099","703552","512738","412648","38119","1391267","4108","1010852","526190","1454971","835568","34436","584967","372058","234366","29222","108470","2726114","7384577","3576149","2989857","10299071","7211958","5174788","25389","44268","5670","874284","1457640","749519","774744","84501","1932721","34105","589914","2935957","2637806","26254","271897","1449728","4659439","1675276","15499","2815521","6721118","5399633","1224747","385562","407933","80696","212622","199","68701","0"
"55","Омская область","977055","927358","42535","7162","7387","3063","0","0","0","3063","1760","1303","61","50","11","1878","2385","2300","5141472","658787","167106","128959","0","60020","2665","14674","35969","9071","50","5484","22343","42291","32732","585788","0","585788","413814","3445","366952","146502","601516","3124","0","0","84565","9684","10","0","13424","1511","515393","36310","155541","5915","681548","10169","670553","750196","853176","484435","96895","271846","235969","60777","113903","61289","1396753","2647988","888184","1492935","3154739","2481681","35539","10829","784676","91210","9652","473317","98879","397896","42019","442125","17930","36831","52991","41556","1317","10118","644143","1882875","374111","5854","1795204","3535151","3032028","568290","234473","186794","37979","82307","94","37194","0"
"56","Оренбургская область","980955","955022","21334","4599","3345481","1552442","737","0","737","1551705","1086977","464728","855297","125","855172","380879","556863","556854","4871306","349239","106247","79234","48","21812","0","10907","19126","6802","0","6591","15562","3744","10015","283675","0","283675","175769","305","40549","297487","3106510","885441","0","0","217438","5992","216100","0","2534","0","7024","57788","157774","83189","80302","58","463","143727","1096843","738339","226615","131889","300378","130794","7757","161827","1013913","2138078","447606","1461378","1707187","1108891","117323","15408","244762","214","0","501167","96915","292591","22803","223123","18453","67611","121466","106769","1961","12736","399519","701256","465160","6458","1712435","2778153","2697299","377120","123476","165901","29092","75645","119","41796","0"
"57","Орловская область","1127518","1125154","761","1603","11105","0","0","0","0","0","0","0","0","0","0","11105","0","0","1977989","349006","42877","8484","99772","10569","0","10937","42871","2887","0","2887","8062","7857","4847","393","0","393","7946","23206","60101","311200","335410","11794","0","0","107","2024","28907","11053","68120","60845","184632","73083","332256","143857","1491","0","0","67378","321338","148515","56399","116424","105099","55914","1831","47354","346705","1091541","448535","549856","488372","297752","722","6213","39487","89","0","146067","44464","102506","11710","96464","8851","12846","26179","20797","99","5283","140544","206982","121510","1392","765125","1250457","1111424","155591","30294","69342","13177","30147","50","19104","0"
"58","Пензенская область","1112988","1090295","18836","3857","11913","0","0","0","0","0","0","0","0","0","0","11828","85","0","3981487","600108","4910","62187","115726","174004","302","11549","33161","17601","0","8464","84278","175050","26431","18","0","18","61307","46939","32948","142461","661093","4","0","0","0","990","4061","0","87599","13638","848528","69673","356537","70078","18641","0","0","550780","506459","306154","131564","68740","146657","76602","9410","60645","655859","2130969","608966","1379390","707424","515689","1036","13793","44833","43","30","125515","66147","151199","16793","187966","10276","14582","45619","36991","2194","6434","319094","367280","1640708","2301","1140870","1762606","1689245","303746","92530","123293","21680","63089","231","29170","0"
"59","Пермский край","770418","581818","185111","3489","3254493","1965641","0","0","0","1965641","1965641","0","0","0","0","130792","1158060","1157824","16562324","602176","111783","243353","315","47913","588","69151","99340","18985","6","17649","266373","430084","283710","515057","117469","397588","3940930","83248","279275","607367","2926751","283081","0","0","12824","47955","398538","0","72336","44026","605622","518502","1953613","26174","2128869","16035","2000439","1158596","1447551","1046657","204110","196783","415075","265664","17637","131774","2518989","4679119","1618172","2552791","2365771","1700708","34431","22260","451913","78957","160","459792","126154","643723","86414","1499055","21356","841424","180795","120632","22404","37759","786395","2362440","758051","8328","2698751","4390715","4003183","618080","192709","285066","57726","120250","309","62189","0"
"60","Псковская область","513967","439674","67579","6714","35398","0","0","0","0","0","0","0","22","22","0","35375","0","0","1721015","482729","337432","45825","0","4654","0","9775","66006","41945","0","39498","63074","5020","18829","0","0","0","13892","2026","93299","45404","78083","474","0","0","3712","0","89","0","2420","50","19249","408908","153566","4920","16268","373","50","193368","345941","170699","29575","145667","139921","61020","729","78172","261113","763326","188727","506031","490625","312112","653","5027","89146","1803","18","131155","45537","124975","27945","97786","6113","22566","22044","18973","300","2771","127800","176626","102101","916","743510","756076","922775","162808","29392","68881","12968","28125","0","12433","0"
"61","Ростовская область","2838963","2749226","22198","67539","638252","460217","458339","458339","0","1878","0","1878","0","0","0","170823","7212","5263","12292490","1179313","123122","142685","0","60929","48757","218057","429992","59832","99","56254","82733","171204","57720","152643","0","152643","440236","27385","565262","626974","3231782","157303","0","0","521524","45455","250876","251","84607","77771","405063","359236","1569184","185122","1767370","5728","1254922","653696","2381263","1635452","377102","368709","927959","717171","36109","174679","3123072","8375313","3367431","4111624","8057154","5935761","4108403","37536","110560","125913","147195","1621574","226711","833886","114074","898685","58107","153659","544601","499276","12005","33320","1244636","2746757","1549762","11751","4144359","6023570","5333451","1015633","305423","454583","103172","213953","551","142479","0"
"62","Рязанская область","895645","843219","45811","6615","26255","0","0","0","0","0","0","0","0","0","0","26170","41","41","4638965","493320","26493","114643","5065","29905","0","76784","67062","72839","0","1318","122186","11919","39420","376614","0","376614","120813","104320","287231","568697","557159","1160","0","0","1679","51054","78201","65980","46892","13408","504412","69620","496475","214737","30867","65","577","394585","764485","474753","158192","131540","139896","69949","11427","58520","1295022","1999198","723387","1081551","859298","549910","13527","12782","178440","40013","447","205168","63760","177956","23745","522921","8582","290785","90484","74231","1846","14407","354970","488891","230668","1937","1135739","1837904","1612550","348111","73184","121232","25843","57034","1977","28277","0"
"63","Самарская область","936402","873912","44816","17674","2652243","1024662","18","18","0","1024644","1024644","0","68","0","68","53555","1573958","1572394","14577143","1306015","180757","109422","86","235431","3248","63334","31701","11741","0","9730","38875","70062","30084","1141503","0","1141503","1873471","248140","444899","560664","1993664","6071","6022","0","17057","8580","346499","63","29408","2040","109346","689313","677610","3058519","1528838","52297","1431195","460685","1573862","1080846","283053","209963","494731","251983","22985","219763","3361821","6329300","2542021","2859784","7644732","5914789","3388544","21669","921787","127346","72","1381881","220644","918661","98852","1612834","30772","458996","22593801","22467344","102519","23938","1152714","3577898","1540553","13036","3066647","4750277","4745173","837151","405943","412420","67194","171857","213","100382","0"
"64","Саратовская область","1507868","1473120","26466","8282","823533","245448","7","0","7","245441","175587","69854","199","0","199","39193","538691","538691","6084471","836117","345931","68773","37669","8508","36","40203","88398","1576","0","403","21293","32293","21157","201901","0","201901","188518","83360","217447","355065","1048778","311547","0","0","8344","5749","176","0","2163","145","681074","219022","642514","113427","742363","7395","358743","541421","1684190","1400637","164480","119073","296529","200083","13562","82884","1400107","2843972","1010796","1540472","4202616","3463843","2407347","17522","389745","23831","0","602433","112509","396729","35372","469586","14323","30947","116228","74215","1638","40375","576956","1010268","528601","4350","1825367","3372979","3073993","454226","126370","228280","47461","107147","99","62337","0"
"65","Сахалинская область","1269578","234918","49576","985084","1955602","1500686","471782","17089","454693","1028904","909498","119406","0","0","0","50028","404887","404834","464560","215233","11514","20510","0","22524","0","798","5315","78","0","0","11488","99","9778","22","0","22","14390","0","7067","43848","25039","0","0","0","0","969","0","0","0","0","3824","45","175","80","901","701","200","103856","886979","403575","41990","441414","192516","134312","428","57776","1601741","1163062","478502","586206","1668434","659842","600","26892","152029","153626","171181","627942","55843","259489","47657","182295","28100","33098","411839","409942","521","1376","390090","842979","300052","2809","2017458","2178793","1920016","399874","113751","97041","13626","61178","50","14028","0"
"66","Свердловская область","1540256","1226968","310674","2614","2577250","121","58","35","23","63","63","0","1835132","893743","941389","650163","91833","35176","31099814","1118595","186214","344320","50","90587","911","64981","144182","10672","0","5298","469224","99254","114427","202","83","98","1382443","126964","587548","1859468","13929386","2619554","0","143810","2071020","76204","5136716","63863","206637","22778","1444734","981962","2026943","113686","4162995","3806","339294","2370650","3015936","2014353","293618","707965","1069645","463835","75036","530774","5799317","13985236","5979347","7103505","11211277","8025504","5256283","38815","495686","942","671214","2259578","254039","1485920","189326","2479818","66702","678587","981003","886523","26549","67931","1949691","6235932","2229866","29919","5147454","9948020","7625095","1730699","617487","657712","114954","312828","637","113960","0"
"67","Смоленская область","274104","225356","40086","8662","33359","0","0","0","0","0","0","0","0","0","0","33359","0","0","3780483","549969","262963","48694","0","12121","50","44568","178489","5269","0","5082","147300","4272","21410","707","0","707","330761","4875","304172","230204","906543","81433","0","0","32","11408","9868","0","11826","1553","335744","168467","112933","136488","69274","0","0","216867","1094952","843068","65286","186598","165992","93470","1938","70584","584632","1783271","792356","743473","1050648","821997","3078","9184","60848","0","41","173420","55190","139038","14664","171354","23813","14841","56155","21563","20349","14243","203632","332253","249797","2000","924974","1234459","1365683","201665","52077","97221","18046","44223","250","18255","0"
"68","Тамбовская область","1920282","1866345","51151","2786","3729","0","0","0","0","0","0","0","179","0","179","3550","0","0","2761695","612665","45835","24246","220335","32026","0","54686","43011","21995","0","2804","45648","7352","3528","0","0","0","385160","0","10714","80293","208479","167","0","0","101328","0","0","0","16157","50","602366","56072","124295","288","261913","120","73","211204","477992","301674","93552","82765","67375","34459","5431","27485","418570","1092094","317955","669662","743186","512232","652","8025","260154","0","0","183649","47305","111494","8398","136502","3121","21982","21213","15129","347","5737","172504","403867","263259","1705","912452","1168534","1209451","166517","48455","86254","15433","38280","98","21583","0"
"69","Тверская область","622595","532030","83584","6981","47529","0","0","0","0","0","0","0","0","0","0","24536","22993","22804","5070679","486224","174530","66614","70","105943","50","58317","102500","77712","0","39397","280961","78871","119942","4891","0","4891","107719","20891","143256","164286","1314255","7956","0","0","1307","2533","5104","21","19311","18155","135723","204950","467584","93837","924294","7580","147208","178473","1266857","851395","123297","292165","184966","92302","15353","77311","756588","2071881","874170","972828","1150658","769352","12789","18199","77905","16514","70932","186419","107441","298237","114114","272427","15290","23328","70533","58016","527","11990","438272","669196","387364","3532","1473555","1933195","1857554","352392","80567","149310","25313","74724","112","28352","0"
"70","Томская область","575622","462363","109353","3906","1504405","958691","0","0","0","958691","756783","201908","20965","0","20965","10380","514370","514283","2817982","343564","119462","65404","0","113439","0","2669","16132","15434","0","15185","241739","1150","45106","59450","0","59450","220674","69765","27088","112050","573313","1614","0","0","1","0","460866","0","13455","0","76420","496775","87010","-341","27384","13959","99","289161","808985","561353","44375","203256","159047","93592","14492","50963","929594","3514427","1064568","2323061","1429980","1088142","3882","9809","457299","95627","10134","174951","61126","269621","14343","352300","6448","40180","60150","52517","1738","5895","296682","1516902","192943","5735","1283376","3215087","1930438","304916","34443","137941","23096","63871","956","24341","0"
"71","Тульская область","726065","716504","7561","2000","274692","0","0","0","0","0","0","0","0","0","0","273230","1462","0","10839847","868643","156569","149940","147","118660","896","45629","88827","45685","0","36726","50225","100862","24219","40","9","31","1529243","71543","189412","506000","5146216","1183603","54","0","10174","74587","80097","0","95564","92466","554062","240183","323890","444222","140872","342","2495","350518","892140","342624","252858","296659","205523","130130","20060","55333","1130251","2232659","810389","1068668","1171988","570173","1036","18022","49178","3773","37","537903","60102","246802","35996","338896","10868","27802","81141","68049","1001","12091","392888","2457807","519037","3472","1331729","2645912","2439732","542662","201609","181661","34584","86040","662","28352","0"
"72","Тюменская область","1194351","976407","187973","29971","1922024","1428944","0","0","0","1428944","943478","68937","780","4","776","21368","470932","470845","4283297","295943","52709","64120","0","29104","0","8025","21571","638","0","441","65431","31649","18294","233692","0","233692","642846","78588","139379","238407","710461","181963","0","0","2991","55539","16823","0","82","82","336212","133467","538349","71231","11921","10282","188","678089","1220306","926502","99836","193968","331454","120678","7572","203204","3856624","2680321","861189","1372146","3509504","2492062","27120","15008","1596595","137190","77044","706623","96585","513152","56106","535898","30273","62556","126210","90732","1766","33712","721150","2979956","620892","10626","1912352","3109001","3243235","589869","267271","216607","53728","102346","80","43709","0"
"73","Ульяновская область","380550","345115","31991","3444","113171","64768","0","0","0","64768","64768","0","0","0","0","48403","0","0","3034519","280687","15835","57276","40162","23173","0","35127","38640","1984","0","1578","67071","21980","49708","30227","0","30227","20854","1201","101538","210855","485340","11710","0","0","4374","5662","25602","0","87636","57554","266318","148126","163579","744405","104494","20898","70896","239212","631543","390765","127251","113527","199630","137652","7329","54649","511641","1893619","389816","1352113","872119","548784","5446","8187","38","1679","131874","128694","61088","195216","16788","362647","17130","13513","52371","29921","4109","18341","273760","2359000","260410","6657","1131928","2048826","1799124","253516","95210","103102","20138","50289","0","26161","0"
"74","Челябинская область","1344118","1283710","52904","7504","1071084","9499","9499","114","9385","0","0","0","671575","18137","653438","366444","23565","604","25098516","1407627","125360","199089","0","64081","28","74706","69845","53678","0","50474","71772","74365","44182","93182","92779","347","1176738","82817","355504","1666676","9628887","3870473","360112","0","703418","317941","555052","6","167091","19376","680024","410782","2305901","3816037","746815","901","359821","2274869","1477159","777680","172409","527071","703941","364420","12885","326636","2791254","5541055","2327918","2348089","5262399","4594944","2709883","23598","243005","184","2380","510860","154031","673751","69360","798718","37583","125435","822661","764554","12994","45113","975785","2949765","1146336","7985","3238696","6076760","5016628","947155","384589","442227","67512","169093","745","78518","0"
"76","Ярославская область","595878","561185","32409","2284","38017","41","0","0","0","41","41","0","0","0","0","37829","146","106","6523374","278054","82739","73898","0","32401","19909","48381","74680","74304","135","35632","66205","157186","45229","404094","0","404094","587623","35194","641793","213124","378373","1841","0","0","172","108","582","0","20259","15807","109255","378157","547330","497486","1646215","187439","1334110","288381","989071","369188","84713","535170","322867","213838","15964","93065","1032214","2034366","942256","809177","4961251","4563577","3838626","8264","247468","41447","50","291158","65019","377693","82078","477687","11272","73094","65868","54726","297","10845","340781","1045602","537630","2253","1322893","2238611","2044926","440837","154766","185266","28260","89854","0","30301","0"
"77","г.Москва","718082","575028","66417","76637","13885618","6075425","149885","149840","45","5925540","5915986","9554","351652","983","350669","389742","7068799","6807592","64133556","7782676","1661843","1449542","5593","1176306","14030","611784","1436170","436836","0","391662","616582","798484","1149370","1000864","0","1000864","3388826","2875843","2219823","2162499","6375532","305517","18","221","61297","40940","1103164","33193","87466","10499","6445663","2566751","3942941","1096033","7660011","58004","6369515","10376532","13812918","10745950","860326","2206642","5205950","2200471","870514","2134965","61930954","133631959","69451964","53905930","60912767","32979778","11652705","406338","775700","676836","7135531","18098009","2022613","15452076","2045424","69003963","2484342","11358277","109087613","92224735","9958503","6904375","22972981","110796277","28010392","406462","30952618","45267299","39841813","13431630","5433850","6724717","969132","2248997","51896","2222587","0"
"78","г.Санкт-Петербург","310875","182861","87782","40232","1036959","257691","368","368","0","257323","253601","3723","563","47","516","56264","722441","718296","38714650","2128169","249501","193373","1252","1597389","280857","446039","1032380","113352","23","71493","362689","619259","586541","1798654","0","1798605","1082147","2082268","998623","1308388","4079867","164196","198","0","99032","85499","18198","1475","177718","104910","5249886","1659990","4803721","603281","5066157","3517429","1298620","2814993","4545052","2544161","636492","1364399","1339168","19790","741322","578056","21925808","49416045","20245239","26363889","27547851","16165369","7156755","170438","640911","707403","2195049","7466731","1013299","4785861","670362","15276080","206605","7594677","11565392","10916844","96271","552277","6595796","25500569","7313440","83903","6736678","22364729","17710839","5203613","1472773","1598856","269540","735904","27202","353168","0"
"92","г.Севастополь","63980","45540","7419","11021","4931","0","0","0","0","0","0","0","0","0","0","4898","33","33","357969","40345","3763","4834","0","16247","0","1906","5283","1059","0","1009","3028","1412","3554","0","0","0","1752","0","8457","24653","23314","0","0","0","0","91","0","0","50","0","2739","4047","5123","54","151294","151294","0","63702","160981","101038","35040","24902","48210","23297","1258","23655","572323","825298","140178","633867","287923","181501","50","1888","0","6539","15","98342","1526","146016","18353","118725","1772","8904","21570","14540","1692","5338","233353","278255","122444","1285","1053634","743673","652306","165716","45607","68136","15265","39684","0","16262","0"
"79","Еврейская автономная область","40624","24479","16145","0","153706","0","0","0","0","0","0","0","135640","133711","1929","18066","0","0","128584","10856","3248","200","0","664","0","0","2148","1093","0","1093","2763","1811","330","0","0","0","1197","0","3000","91198","4071","0","0","0","0","64","0","0","275","275","50","0","5872","0","521","0","0","3010","145170","38957","5502","100711","9823","4203","50","5570","43731","142873","17966","113609","68256","49513","1087","762","0","0","0","8591","10152","15959","2060","21632","2197","9129","5686","5356","99","231","43114","46355","11491","198","302863","304260","362737","49875","13080","15573","2326","7994","0","2709","0"
"83","Ненецкий автономный округ","79752","48717","50","30985","213556","209977","0","0","0","209977","208064","1913","0","0","0","23","3556","3556","45037","27694","18622","50","0","184","0","50","320","0","0","0","384","0","820","0","0","0","2802","0","206","9278","365","0","0","0","0","0","0","0","50","0","50","0","35","0","59","10","0","2790","114187","70860","7139","36187","10091","0","2751","7340","50509","77940","18991","54738","172608","26545","59","431","0","8796","84680","44135","8452","37831","2888","35907","4163","8412","15094","14888","0","206","23209","46982","19096","81","184109","249139","163892","40972","1888","15894","1504","7811","0","363","0"
"86","Ханты-Мансийский автономный округ - Югра","246941","41432","189464","16045","36845553","20112930","0","0","0","20112930","20112930","0","39","0","39","27753","16704832","16704783","2318182","133370","37667","2530","0","9526","0","3945","7600","306","0","91","123689","149","13725","424473","0","424473","23933","36","10089","114917","283433","469","0","0","155","2701","0","0","0","0","4276","4302","71721","12295","7980","6611","467","1068417","2694305","2170595","27885","495825","435430","163539","133471","138420","3653273","2007532","488972","1088414","7354841","5359891","133487","26536","2758736","159816","863738","895216","76180","577698","42887","732745","27063","42650","654683","268122","359523","27038","706563","1330606","1480145","16086","3548624","6236464","5639854","927713","284530","344301","52467","127972","2007","36154","0"
"87","Чукотский автономный округ","121342","111206","3058","7078","1158382","38606","38606","291","38315","0","0","0","1119513","35848","1083665","0","264","0","102450","19994","3798","4685","0","403","0","0","248","0","0","0","43","0","149","0","0","0","50","0","99","10","221","0","0","0","0","0","0","0","0","0","0","0","0","0","490","490","0","80743","657692","484430","10084","163178","4082","1100","1948","1034","228244","197876","96686","97870","295586","28542","0","1577","0","56593","69365","125826","15260","52000","3579","21962","5452","1592","11740","10940","800","0","21139","86585","25458","0","474957","368777","258146","65595","4971","14091","843","5930","0","1125","0"
"89","Ямало-Ненецкий автономный округ","159405","83095","10216","66094","12899048","9469832","0","0","0","9469832","2119719","7350113","90","0","90","72407","3356718","3356709","754691","73268","41680","279","0","3621","0","1011","2198","489","0","489","3102","50","3183","185968","0","185968","8326","50","1861","95027","54076","49241","0","0","0","0","0","0","0","0","112","67","6123","120","50","0","0","315989","2455746","1567441","29610","858695","48211","196","9565","38450","1992096","2528619","2120244","306998","3125715","1972161","167716","13910","851906","38440","345843","728221","41050","400531","64803","278427","21461","23028","170715","160172","8257","2286","401279","1656778","912099","3529","2655929","2857888","1946911","437630","136809","182587","15763","63324","165","11085","0"
